epoch,train_total_loss,train_recon_loss,train_kl_loss,train_heatmap_loss,train_occupancy_loss,train_impedance_loss,val_total_loss,val_recon_loss,val_kl_loss,val_heatmap_loss,val_occupancy_loss,val_impedance_loss,val_expert_kl_loss,val_sigma_floor_loss,val_physics_ri_loss,val_physics_critic_sup_loss,val_physics_ar_loss
1,705.1090698242188,493.06170654296875,0.4364427328109741,121.44258117675781,0.4481422007083893,1.5419094562530518,15.616068081777604,4.896364924360494,0.46734227337798134,0.048131412704337816,0.5356935594902664,0.34368491429285924,0.11389434890302479,nan,0.0,0.0,0.0
25,59.93799591064453,35.542171478271484,1.505090355873108,4.817802429199219,0.44240811467170715,2.1209053993225098,9.431863821920802,8.42271930077037,1.5420552736423054,0.022120208880238114,0.5177087962138848,1.7085233496837928,0.7886712174923693,nan,0.0,0.0,0.0
25,60.15260314941406,35.601932525634766,1.4805018901824951,4.778542518615723,0.4502544403076172,2.2015187740325928,10.35474096947029,8.621182992810109,1.525148366806937,0.022325450558306984,0.5230990990263517,1.7710033650280999,0.7633412604937788,nan,0.0,0.0,0.0
50,51.40201187133789,31.023387908935547,1.6193729639053345,4.350627422332764,0.4108620882034302,1.4916356801986694,7.820490688574119,6.643548353773649,1.6363144243349794,0.02019207260464547,0.47356784038367816,1.1693964603005862,0.871302384089251,nan,0.0,0.0,0.0
50,50.610260009765625,30.326091766357422,1.573146104812622,4.183642387390137,0.4089745879173279,1.5732630491256714,7.879541674598318,6.802472913851504,1.6075327704187299,0.020251244413437414,0.47179870234161125,1.2324104460536456,0.8808592413781119,nan,0.0,0.0,0.0
75,46.09876251220703,28.147111892700195,1.6535923480987549,3.9661943912506104,0.38898637890815735,1.2662934064865112,6.746708408730929,5.766983895028224,1.7064011995909645,0.019349188431257717,0.437417422772431,0.9375681740338685,0.9503464864902809,nan,0.0,0.0,0.0
75,46.113426208496094,28.588533401489258,1.6224886178970337,4.034989356994629,0.38768240809440613,1.2912414073944092,7.914023913320948,5.853561677893654,1.6656799160066198,0.019777229500430652,0.4353291730045295,0.9709920629126126,0.9801401024470564,nan,0.0,0.0,0.0
100,43.7008171081543,27.233760833740234,1.6495027542114258,3.8640568256378174,0.3775300085544586,1.1662214994430542,7.41500617832434,5.509706641806931,1.7183930419507574,0.019192285921623108,0.4225888790898636,0.8764984524640881,1.0028498336428502,nan,0.0,0.0,0.0
100,42.66549301147461,26.57329750061035,1.6371667385101318,3.7542471885681152,0.37236180901527405,1.1588400602340698,6.041452681432005,5.298427805548808,1.6588352342120936,0.01886794195876869,0.4105092217443419,0.8294406396443726,1.0282882317656377,nan,0.0,0.0,0.0
125,42.07743453979492,26.69790267944336,1.6842875480651855,3.827554225921631,0.3684450387954712,1.068718433380127,6.389496637172386,5.089763642334547,1.7246020680568257,0.018938195011883853,0.4032766031803655,0.769204311194967,1.067455527968094,nan,0.0,0.0,0.0
