epoch,train_sec,val_sec,total_sec,val_ran,train_loss,val_loss
1,60.23,24.88,85.10,1,705.109070,15.6161
2,43.07,0.00,43.07,0,119.109276,
3,41.26,0.00,41.26,0,86.903526,
4,50.74,0.00,50.74,0,74.725288,
5,69.45,0.00,69.45,0,66.599358,
6,62.04,0.00,62.04,0,59.857807,
7,71.53,0.00,71.53,0,54.969696,
8,71.39,0.00,71.39,0,51.732185,
9,71.76,0.00,71.76,0,49.668453,
10,71.58,0.00,71.58,0,48.088379,
2,73.47,0.00,73.47,0,278.507507,
3,55.02,0.00,55.02,0,165.518158,
4,56.35,0.00,56.35,0,136.198334,
5,68.07,0.00,68.07,0,121.691246,
2,124.32,0.00,124.32,0,281.292175,
6,106.72,0.00,106.72,0,109.414154,
3,105.50,0.00,105.50,0,159.052872,
7,104.74,0.00,104.74,0,98.735306,
4,104.23,0.00,104.23,0,134.963745,
8,103.64,0.00,103.64,0,92.128265,
5,101.38,0.00,101.38,0,121.317429,
9,102.53,0.00,102.53,0,86.223839,
6,101.77,0.00,101.77,0,110.572609,
10,102.03,0.00,102.03,0,83.432983,
7,102.11,0.00,102.11,0,101.527985,
11,102.07,0.00,102.07,0,79.976707,
8,102.29,0.00,102.29,0,92.760155,
12,101.93,0.00,101.93,0,77.218811,
9,102.11,0.00,102.11,0,87.331940,
13,102.51,0.00,102.51,0,73.845352,
10,102.19,0.00,102.19,0,83.468872,
14,101.91,0.00,101.91,0,72.473839,
11,101.89,0.00,101.89,0,80.008080,
15,102.26,0.00,102.26,0,69.891884,
12,102.15,0.00,102.15,0,77.917755,
16,101.99,0.00,101.99,0,69.615891,
13,102.10,0.00,102.10,0,75.756683,
17,102.57,0.00,102.57,0,66.799042,
14,101.96,0.00,101.96,0,72.559326,
18,102.31,0.00,102.31,0,66.132332,
15,102.16,0.00,102.16,0,71.135033,
19,101.70,0.00,101.70,0,65.386795,
16,102.01,0.00,102.01,0,70.407066,
20,101.82,0.00,101.82,0,64.417671,
17,102.33,0.00,102.33,0,67.777145,
21,102.48,0.00,102.48,0,63.587811,
18,102.40,0.00,102.40,0,65.957565,
22,102.44,0.00,102.44,0,62.610710,
19,102.77,0.00,102.77,0,65.811386,
23,102.60,0.00,102.60,0,61.564861,
20,101.88,0.00,101.88,0,62.995884,
