candidate_id,mhz,k,badness,quality_score,uncertainty,pred_p99_mean,selected_reason
72,200.0,5,63.49531648574277,-63.49531648574277,63.49531648574277,10.267420411109924,worst_uncertainty
21,200.0,5,59.24013130738624,-59.24013130738624,59.24013130738624,11.07047963142395,worst_uncertainty
26,200.0,5,58.313247097198484,-58.313247097198484,58.313247097198484,10.193461100260416,worst_uncertainty
49,250.0,5,57.79813148902713,-57.79813148902713,57.79813148902713,8.91802453994751,worst_uncertainty
9,250.0,5,45.75843743583218,-45.75843743583218,45.75843743583218,7.823378523190816,worst_uncertainty
89,250.0,5,37.70088807537866,-37.70088807537866,37.70088807537866,6.537548303604126,worst_uncertainty
58,250.0,5,29.97402232911608,-29.97402232911608,29.97402232911608,8.470654527346293,worst_uncertainty
74,80.0,5,28.764092025192266,-28.764092025192266,28.764092025192266,10.120482762654623,worst_uncertainty
82,250.0,5,28.412344809702546,-28.412344809702546,28.412344809702546,7.631337285041809,worst_uncertainty
83,100.0,5,21.67360698933064,-21.67360698933064,21.67360698933064,9.678055127461752,worst_uncertainty
50,250.0,5,21.027675964868404,-21.027675964868404,21.027675964868404,7.090534925460815,worst_uncertainty
71,200.0,5,20.170345324528316,-20.170345324528316,20.170345324528316,8.044526934623718,worst_uncertainty
54,250.0,5,20.169347109770964,-20.169347109770964,20.169347109770964,7.39230211575826,worst_uncertainty
14,250.0,5,18.54851665122263,-18.54851665122263,18.54851665122263,8.318203330039978,worst_uncertainty
66,250.0,5,18.508458911589035,-18.508458911589035,18.508458911589035,6.155942400296529,worst_uncertainty
28,130.0,5,16.746939488487588,-16.746939488487588,16.746939488487588,6.210832953453064,worst_uncertainty
