epoch,beta,hm_mu_mean,hm_sigma_mean,occ_mu_mean,occ_sigma_mean,imp_mu_mean,imp_sigma_mean,fused_mu_mean,fused_mu_std,fused_sigma_mean,fused_mu_min,fused_mu_max,kl_gaussian,val_recon,val_total
1,0.000000,0.0189,0.9944,0.0338,1.0078,-0.0240,1.0225,-0.0063,0.2609,0.4420,-0.6738,0.5536,0.4680,11.0198,11.4900
25,0.015000,-0.0514,0.8525,0.0046,0.8872,-0.0325,0.6138,-0.0487,0.2427,0.5759,-0.7913,0.4838,0.8349,10.9091,11.0712
50,0.030625,-0.0533,0.7699,-0.0241,0.8918,0.0069,0.5219,-0.0346,0.2841,0.7133,-0.9186,0.6348,1.1389,10.8263,11.0882
75,0.046250,-0.0245,0.7417,-0.0393,0.9344,0.0323,0.4950,-0.0178,0.2888,0.7807,-1.1270,0.6158,1.2709,9.8505,10.1724
100,0.061875,-0.0423,0.7311,-0.0551,0.9552,0.0347,0.4887,-0.0238,0.3523,0.8052,-1.3561,0.7430,1.3598,9.3604,9.7373
125,0.077500,-0.0779,0.7160,-0.0653,0.9564,0.0516,0.4884,-0.0267,0.4304,0.8262,-1.1907,1.1735,1.4362,8.9820,9.4128
150,0.093125,-0.1039,0.7310,-0.0855,0.9342,0.0564,0.4912,-0.0372,0.5209,0.8613,-1.3220,1.5452,1.5288,8.7138,9.2011
175,0.101000,-0.1323,0.7203,-0.1028,0.9200,0.0527,0.5121,-0.0459,0.5557,0.8994,-1.5183,1.9332,1.5606,8.4097,8.9058
200,0.102786,-0.1453,0.7164,-0.1325,0.9299,0.0430,0.5074,-0.0502,0.5573,0.9650,-1.7985,1.7644,1.6469,8.2568,8.7800
225,0.104571,-0.1707,0.6915,-0.1716,0.8929,0.0187,0.5172,-0.0706,0.5207,0.9690,-1.8805,1.4235,1.6275,8.5021,9.0298
250,0.106357,-0.1515,0.6691,-0.1724,0.8529,0.0485,0.5073,-0.0508,0.5084,0.9842,-1.7612,1.3197,1.6717,8.3060,8.8728
275,0.108143,-0.1334,0.6705,-0.1768,0.8288,0.0549,0.5083,-0.0377,0.4763,0.9906,-1.5976,1.1829,1.6641,8.1589,8.7319
300,0.109929,-0.1573,0.6490,-0.1662,0.8000,0.0513,0.5094,-0.0514,0.4543,0.9926,-1.4719,0.8683,1.6678,8.0138,8.6043
325,0.110000,-0.1534,0.6552,-0.1521,0.7777,0.0475,0.5131,-0.0474,0.4444,1.0000,-1.4274,0.8438,1.6681,8.0107,8.5986
350,0.110000,-0.1618,0.6560,-0.1412,0.7616,0.0519,0.5121,-0.0464,0.4404,1.0190,-1.3676,0.8485,1.6972,8.0188,8.6194
375,0.110000,-0.1312,0.6128,-0.1252,0.7306,0.0746,0.5037,-0.0302,0.4374,1.0447,-1.2897,1.0840,1.7602,8.3649,9.0002
400,0.110000,-0.1672,0.5946,-0.1122,0.7232,0.0709,0.5027,-0.0290,0.4510,1.0514,-1.3020,1.2941,1.7920,8.3844,9.0398
425,0.110000,-0.1995,0.5802,-0.1169,0.7073,0.0527,0.4933,-0.0421,0.4998,1.0628,-1.4409,1.4376,1.8528,8.3354,9.0240
450,0.110000,-0.1990,0.5725,-0.1011,0.6997,0.0398,0.4968,-0.0419,0.4903,1.0719,-1.3172,1.5115,1.8581,8.3353,9.0239
475,0.110000,-0.2028,0.5782,-0.0971,0.6916,0.0466,0.4946,-0.0411,0.4891,1.0714,-1.3887,1.4411,1.8607,8.4319,9.1219
500,0.110000,-0.2020,0.5759,-0.0946,0.6847,0.0438,0.5003,-0.0392,0.4895,1.0775,-1.3302,1.3519,1.8723,8.3521,9.0493
525,0.110000,-0.2147,0.5771,-0.0904,0.6810,0.0512,0.5028,-0.0388,0.4840,1.0838,-1.3169,1.3311,1.8748,8.3307,9.0208
550,0.110000,-0.2191,0.5733,-0.0876,0.6756,0.0461,0.5044,-0.0399,0.4623,1.0944,-1.2424,1.1861,1.8781,8.2539,8.9445
575,0.110000,-0.2237,0.5650,-0.0852,0.6723,0.0370,0.5052,-0.0437,0.4680,1.0954,-1.2797,1.1007,1.8840,8.2610,8.9557
600,0.110000,-0.2312,0.5713,-0.0846,0.6659,0.0413,0.5081,-0.0412,0.4708,1.0972,-1.2135,1.0123,1.8911,8.4493,9.1523
