epoch,beta,hm_mu_mean,hm_sigma_mean,occ_mu_mean,occ_sigma_mean,imp_mu_mean,imp_sigma_mean,fused_mu_mean,fused_mu_std,fused_sigma_mean,fused_mu_min,fused_mu_max,kl_gaussian,val_recon,val_total
1,0.000000,0.0771,0.9418,-0.0257,1.0217,0.0206,0.9665,0.0257,0.1987,0.4900,-0.4009,0.4000,0.3801,15.9483,16.0600
25,0.015000,0.1460,0.7624,-0.1063,0.7891,-0.1233,0.6288,0.0524,0.3024,0.9080,-0.9119,0.8776,1.2120,10.4607,10.6606
50,0.030625,0.1758,0.8174,-0.1073,0.8349,-0.1494,0.6103,0.0334,0.2994,1.0250,-0.7799,1.0322,1.3965,8.9991,9.2645
75,0.046250,0.1265,0.9258,-0.0900,0.9040,-0.1342,0.6041,0.0214,0.2189,1.1061,-0.6943,0.5367,1.4479,8.3623,8.6441
100,0.061875,0.1237,0.8910,-0.0859,0.9426,-0.1723,0.6213,0.0443,0.2240,1.1817,-0.5509,0.7395,1.5262,7.7196,8.0267
125,0.077500,0.1022,0.9097,-0.0781,0.9771,-0.1648,0.6313,0.0433,0.1843,1.1851,-0.3344,0.5467,1.5029,7.3759,7.7033
150,0.093125,0.1149,0.9042,-0.0692,0.9961,-0.2052,0.6416,0.0178,0.1759,1.2287,-0.4565,0.5723,1.5605,7.0061,7.3692
175,0.100875,0.1026,0.8605,-0.0749,1.0019,-0.1813,0.6527,0.0327,0.1537,1.2394,-0.2625,0.5423,1.5613,6.8212,7.1857
200,0.102438,0.1019,0.7970,-0.0773,1.0193,-0.1725,0.6464,0.0257,0.1306,1.2460,-0.2312,0.4487,1.5758,6.6814,7.0527
225,0.104000,0.1062,0.7379,-0.0780,1.0112,-0.1894,0.6521,0.0319,0.1397,1.2606,-0.3075,0.4049,1.6074,8.1959,8.5767
250,0.105563,0.0980,0.7516,-0.0690,1.0156,-0.1891,0.6453,0.0051,0.1442,1.2820,-0.4038,0.3140,1.6418,8.0334,8.4234
275,0.107125,0.1164,0.7073,-0.0513,1.0268,-0.1808,0.6373,0.0305,0.1149,1.2739,-0.2207,0.3999,1.6361,7.8655,8.2625
300,0.108688,0.0885,0.7329,-0.0429,1.0292,-0.1764,0.6455,0.0194,0.1266,1.2791,-0.2137,0.4747,1.6298,7.6781,8.0723
325,0.110000,0.0799,0.6740,-0.0583,1.0238,-0.1719,0.6428,0.0168,0.1205,1.2831,-0.2099,0.2840,1.6648,7.6001,8.0139
350,0.110000,0.0916,0.6690,-0.0365,1.0254,-0.1738,0.6360,0.0207,0.1133,1.3026,-0.1657,0.3546,1.6922,7.5384,7.9531
375,0.110000,0.0707,0.6780,-0.0413,1.0238,-0.1618,0.6427,0.0244,0.0930,1.2881,-0.1633,0.3261,1.6580,7.4002,7.8068
400,0.110000,0.0843,0.6967,-0.0529,1.0230,-0.1649,0.6396,0.0156,0.1244,1.2954,-0.2739,0.3338,1.6709,7.3020,7.7107
425,0.110000,0.0630,0.6379,-0.0376,1.0225,-0.1783,0.6430,0.0100,0.1402,1.3072,-0.2509,0.3143,1.7125,6.7069,7.1336
450,0.110000,0.0828,0.6570,-0.0387,1.0178,-0.1657,0.6414,0.0271,0.1236,1.3035,-0.2182,0.3910,1.6968,6.6275,7.0487
475,0.110000,0.0736,0.6452,-0.0169,1.0217,-0.1568,0.6530,0.0452,0.1211,1.3048,-0.2717,0.3899,1.6941,6.5370,6.9539
