gen_sample,nn_train_sample,nn_train_K,combined_score,heatmap_mse,impedance_mse,occupancy_hamming,occupancy_exact
data_sample_86,sample_19074,16,4.348617076873779,4.054045677185059,0.025340687483549118,14,False
data_sample_87,sample_1551,16,4.224333763122559,3.9349660873413086,0.020136846229434013,14,False
data_sample_88,sample_17883,16,4.160032749176025,3.8845789432525635,0.006223076023161411,14,False
data_sample_89,sample_25903,16,4.2000274658203125,3.9253249168395996,0.00547202629968524,14,False
data_sample_90,sample_4722,16,4.16276741027832,3.9215617179870605,0.010436219163239002,12,False
data_sample_91,sample_5648,16,4.176920413970947,3.914674758911133,0.03147617354989052,12,False
data_sample_92,sample_10004,16,4.115484237670898,3.8736515045166016,0.0110633485019207,12,False
data_sample_93,sample_11846,16,4.208217144012451,3.9193708896636963,0.01961553655564785,14,False
data_sample_94,sample_21322,16,4.027922630310059,3.749289035797119,0.009402848780155182,14,False
data_sample_95,sample_26749,16,4.475252151489258,4.2311296463012695,0.01335348840802908,12,False
data_sample_96,sample_6433,16,4.117879390716553,3.9179372787475586,0.007634414825588465,10,False
data_sample_97,sample_5419,16,4.307714462280273,4.029942989349365,0.00854069460183382,14,False
data_sample_98,sample_6563,16,4.068238258361816,3.8234620094299316,0.014006775803864002,12,False
data_sample_99,sample_14745,16,4.390859127044678,4.145544052124023,0.014545787125825882,12,False
