epoch,beta,hm_mu_mean,hm_sigma_mean,occ_mu_mean,occ_sigma_mean,imp_mu_mean,imp_sigma_mean,fused_mu_mean,fused_mu_std,fused_sigma_mean,fused_mu_min,fused_mu_max,kl_gaussian,val_recon,val_total
190,0.030000,-0.3048,0.6699,-0.0449,0.5125,-0.4565,0.5298,-0.2802,0.8263,1.0918,-2.9786,1.9529,2.0314,4.1783,4.6024
195,0.030000,-0.3041,0.6690,-0.0468,0.5071,-0.4686,0.5322,-0.2861,0.8403,1.0948,-3.2679,1.9001,2.0550,4.0611,4.4985
200,0.030000,-0.3004,0.6642,-0.0513,0.5160,-0.4775,0.5386,-0.3075,0.8539,1.0864,-3.4763,1.9321,2.0516,4.1752,4.6000
205,0.030000,-0.2462,0.6590,-0.0422,0.5080,-0.4711,0.5427,-0.2782,0.8552,1.0968,-3.5846,2.2948,2.0671,4.0053,4.4417
210,0.030000,-0.2261,0.6581,-0.0225,0.5045,-0.4501,0.5508,-0.2414,0.8632,1.0997,-3.5314,2.5373,2.0692,3.9320,4.3710
215,0.030000,-0.2018,0.6525,-0.0122,0.4990,-0.4684,0.5486,-0.2336,0.8794,1.1104,-3.4261,2.6508,2.1080,3.8439,4.3018
220,0.030000,-0.1610,0.6585,0.0099,0.5042,-0.4464,0.5514,-0.2022,0.8847,1.1265,-3.3037,2.5005,2.1242,3.9263,4.3755
225,0.030000,-0.1311,0.6448,0.0292,0.5036,-0.4441,0.5518,-0.1836,0.9009,1.1384,-3.2478,2.3249,2.1608,3.7653,4.2218
230,0.030000,-0.1072,0.6484,0.0436,0.4979,-0.4256,0.5551,-0.1546,0.9125,1.1411,-3.2719,2.1993,2.1793,3.7818,4.2497
235,0.030000,-0.1009,0.6380,0.0574,0.5054,-0.4385,0.5575,-0.1586,0.9336,1.1425,-3.2815,2.4887,2.2017,3.7011,4.1630
240,0.030000,-0.0880,0.6432,0.0750,0.4956,-0.4197,0.5669,-0.1186,0.9358,1.1452,-3.3396,2.7907,2.2103,3.7644,4.2381
245,0.030000,-0.0923,0.6402,0.0886,0.5016,-0.4197,0.5547,-0.1286,0.9416,1.1661,-3.2875,2.8824,2.2518,3.5556,4.0292
250,0.030000,-0.0828,0.6376,0.0959,0.5005,-0.4331,0.5567,-0.1221,0.9389,1.1695,-3.3317,2.9383,2.2576,3.5489,4.0253
255,0.030000,-0.0959,0.6339,0.0967,0.4982,-0.4462,0.5525,-0.1314,0.9380,1.1812,-3.3591,2.8543,2.2832,3.5690,4.0566
260,0.030000,-0.0996,0.6331,0.1056,0.4988,-0.4486,0.5539,-0.1296,0.9206,1.1825,-3.3230,2.7072,2.2687,3.4226,3.9078
265,0.030000,-0.1033,0.6325,0.1135,0.4989,-0.4513,0.5513,-0.1339,0.9201,1.1946,-3.2605,2.4765,2.2891,3.4552,3.9428
