candidate_id,mhz,k,badness,quality_score,uncertainty,pred_p99_mean,selected_reason
83,200.0,5,158.11860857561956,-158.11860857561956,158.11860857561956,11.352277278900146,worst_uncertainty
20,200.0,5,144.2386369331994,-144.2386369331994,144.2386369331994,14.636656602223715,worst_uncertainty
76,250.0,5,143.17919676115812,-143.17919676115812,143.17919676115812,13.69683007399241,worst_uncertainty
22,250.0,5,113.04027482418314,-113.04027482418314,113.04027482418314,11.108542601267496,worst_uncertainty
89,200.0,5,104.90706771231264,-104.90706771231264,104.90706771231264,13.764420509338379,worst_uncertainty
70,200.0,5,100.34791020532708,-100.34791020532708,100.34791020532708,17.78100570042928,worst_uncertainty
15,200.0,5,85.27302572980763,-85.27302572980763,85.27302572980763,11.563945094744364,worst_uncertainty
8,200.0,5,80.63664722192263,-80.63664722192263,80.63664722192263,12.677769859631857,worst_uncertainty
64,80.0,5,75.55363366747622,-75.55363366747622,75.55363366747622,15.712656577428183,worst_uncertainty
36,250.0,5,53.64506732633212,-53.64506732633212,53.64506732633212,9.171972791353861,worst_uncertainty
39,250.0,5,45.88729834216024,-45.88729834216024,45.88729834216024,10.13132651646932,worst_uncertainty
56,250.0,5,43.083440893398226,-43.083440893398226,43.083440893398226,8.748442570368448,worst_uncertainty
74,250.0,5,42.968132952728034,-42.968132952728034,42.968132952728034,9.063071727752686,worst_uncertainty
12,130.0,5,41.50974941184045,-41.50974941184045,41.50974941184045,12.19450298945109,worst_uncertainty
18,250.0,5,36.59422362732651,-36.59422362732651,36.59422362732651,7.829235553741455,worst_uncertainty
32,200.0,5,35.26131501719121,-35.26131501719121,35.26131501719121,11.642640272776285,worst_uncertainty
