epoch,train_heatmap_loss,train_tier_a,train_peak_log1p,train_valley_log1p,val_heatmap_loss,val_tier_a,val_peak_log1p,val_valley_log1p
1,3.345043659210205,2.1953048706054688,0.6764340400695801,0.47330570220947266,1.8111137811173783,1.2649444224986623,0.4188400297722918,0.12732932919517476
25,0.9208235144615173,0.6772992610931396,0.23444049060344696,0.009083679877221584,0.12163524630856007,0.1008500504366895,0.013288877545756863,0.00749631852823052
50,0.8137649297714233,0.6045739650726318,0.20381124317646027,0.0053797634318470955,0.06912576467432874,0.06167294757163271,0.0048653671359445184,0.002587450271908273
75,0.6310710906982422,0.4729105532169342,0.15441784262657166,0.0037425225600600243,0.04944933968338561,0.044355831865934614,0.0035187411731346808,0.0015747666715624485
75,0.6369289755821228,0.47611257433891296,0.15708224475383759,0.0037343581207096577,0.04764476822728806,0.043221908157810254,0.00304111800939241,0.0013817420382884905
100,0.7410609722137451,0.5529720783233643,0.18472342193126678,0.003365276148542762,0.03949419429644625,0.03628017311876124,0.002233534719686004,0.0009804863358867611
125,0.6198491454124451,0.4661935865879059,0.1510053277015686,0.0026503901463001966,0.034969278971882574,0.031974937100993826,0.002006060794550688,0.0009882811721949342
150,0.5412589907646179,0.4043439030647278,0.1344677060842514,0.002447392325848341,0.02844289722753332,0.02651593157268585,0.0012922461152056906,0.0006347195741948375
175,0.6080105304718018,0.45907384157180786,0.14656774699687958,0.0023688990622758865,0.03211168404272262,0.027242273845254107,0.003985860361222257,0.0008835498922246885
200,0.5736636519432068,0.43282800912857056,0.13869018852710724,0.002145598642528057,0.02705602285234218,0.02406060870023484,0.0020960019371333593,0.0008994122694662594
225,0.5609081387519836,0.4229682385921478,0.13588948547840118,0.0020507776644080877,0.022896284277134752,0.021196434044457497,0.0011505432090068116,0.0005493071480119165
250,0.5545692443847656,0.41820502281188965,0.13435450196266174,0.0020100518595427275,0.02188276908499129,0.019543525905526698,0.0018544505048107276,0.0004847927103215393
275,0.5426188111305237,0.4108213782310486,0.12987318634986877,0.0019241056870669127,0.018847955711820023,0.01758589147332501,0.0008265099678921731,0.0004355543028028246
300,0.4944388270378113,0.37455007433891296,0.11813964694738388,0.0017491575563326478,0.017047854833938975,0.015985632790847026,0.000702074887429146,0.0003601472037150822
325,0.44165876507759094,0.3347625434398651,0.1052769348025322,0.0016191949835047126,0.01847126921837,0.016465127131247773,0.0009068974747045085,0.0010992446518007745
350,0.4962799549102783,0.37146976590156555,0.12312466651201248,0.0016854965360835195,0.016491716366974597,0.015252974502583767,0.0009216746367375426,0.0003170671852979254
375,0.41791415214538574,0.31703123450279236,0.09938117861747742,0.0015018091071397066,0.02515425670178647,0.02024668814971092,0.0044528201440388855,0.00045474832753670657
400,0.47839510440826416,0.3608619272708893,0.11579390615224838,0.001739179017022252,0.02867756206938561,0.02404895580195366,0.004292484719623277,0.0003361214463787272
