epoch,train_impedance_loss,train_impedance_legacy,train_impedance_peak,val_impedance_loss,val_impedance_legacy,val_impedance_peak
1,1.4411534070968628,1.4411534070968628,0.0,0.41663382979149516,0.41663382979149516,0.0
25,0.7747090458869934,0.7747090458869934,0.0,0.48010857498392145,0.48010857498392145,0.0
50,0.5468646883964539,0.5468646883964539,0.0,0.3510521884928358,0.3510521884928358,0.0
75,0.4659035801887512,0.44258788228034973,0.023315684869885445,0.30996726561099924,0.28774482309818267,0.02222243977829497
75,0.4626741409301758,0.43937844038009644,0.0232955664396286,0.31063923797708876,0.2884274462436108,0.022211790235435708
100,0.413406640291214,0.3900531232357025,0.023353569209575653,0.27833469243759806,0.2565275923368779,0.021807098880093148
125,0.3798626661300659,0.3567945659160614,0.02306821011006832,0.2525172844212106,0.2311385337976699,0.021378749656550428
150,0.3586675226688385,0.33599933981895447,0.02266814559698105,0.23229975719401177,0.21149276025751804,0.020806996211251046
175,0.3360440731048584,0.31365901231765747,0.0223850104957819,0.2126643198601743,0.1922837657497284,0.020380553547689254
200,0.3247966170310974,0.30294543504714966,0.02185114473104477,0.20492226284869175,0.1849643645134378,0.019957898497740004
225,0.3131328225135803,0.2915743887424469,0.021558376029133797,0.1963065080186154,0.1767048549778918,0.01960165303279745
250,0.305199533700943,0.2839338481426239,0.02126573771238327,0.19035753176567402,0.1711302327348831,0.019227299197240078
275,0.29738354682922363,0.27646440267562866,0.020919090136885643,0.18307042851092967,0.1642162305243472,0.01885419903679731
300,0.2914476692676544,0.2707001864910126,0.020747506991028786,0.17719767727750413,0.1587277334421239,0.018469943042765273
325,0.2824136018753052,0.2618424892425537,0.02057102508842945,0.17303002692283467,0.15486010319374977,0.01816992542131784
350,0.2720676362514496,0.25164133310317993,0.0204263087362051,0.16238474034248515,0.144594836425274,0.01778990389343272
375,0.27016645669937134,0.24981053173542023,0.020355938002467155,0.15817594116038464,0.1407939611280218,0.017381979469606217
400,0.264204740524292,0.24399317800998688,0.020211583003401756,0.15385860534424478,0.13667460683178395,0.017183998441125486
