#Design: ProKI_design;Power Bus Pin Impedance Power_GND
#Produced on;2026-04-12 16:53:09;by PI/EMI Analysis 2023.0.0.50417;Zuken GmbH - Germany

Frequency;IC1_Port1(8): Magnitude;IC1_Port1(8): Re;IC1_Port1(8): Img
(Hz);(Ω);;
1.00000e+06;2.86754e-02;2.24185e-03;-2.85877e-02
1.10000e+06;2.35717e-02;2.27495e-03;-2.34617e-02
1.20000e+06;1.91033e-02;2.30789e-03;-1.89634e-02
1.30000e+06;1.51277e-02;2.34099e-03;-1.49454e-02
1.40000e+06;1.15489e-02;2.37458e-03;-1.13021e-02
1.50000e+06;8.31230e-03;2.40900e-03;-7.95557e-03
1.60000e+06;5.42861e-03;2.44460e-03;-4.84703e-03
1.70000e+06;3.14459e-03;2.48177e-03;-1.93113e-03
1.80000e+06;2.65342e-03;2.52096e-03;8.27888e-04
1.90000e+06;4.30465e-03;2.56266e-03;3.45873e-03
2.00000e+06;6.52824e-03;2.60747e-03;5.98490e-03
2.10000e+06;8.83476e-03;2.65608e-03;8.42604e-03
2.20000e+06;1.11336e-02;2.70929e-03;1.07989e-02
2.30000e+06;1.34069e-02;2.76809e-03;1.31180e-02
2.40000e+06;1.56550e-02;2.83368e-03;1.53964e-02
2.50000e+06;1.78840e-02;2.90752e-03;1.76461e-02
2.60000e+06;2.01020e-02;2.99140e-03;1.98781e-02
2.70000e+06;2.23182e-02;3.08759e-03;2.21036e-02
2.80000e+06;2.45426e-02;3.19893e-03;2.43333e-02
2.90000e+06;2.67862e-02;3.32907e-03;2.65785e-02
3.00000e+06;2.90607e-02;3.48269e-03;2.88512e-02
3.10000e+06;3.13796e-02;3.66594e-03;3.11647e-02
3.20000e+06;3.37581e-02;3.88695e-03;3.35336e-02
3.30000e+06;3.62144e-02;4.15669e-03;3.59751e-02
3.40000e+06;3.87699e-02;4.49014e-03;3.85090e-02
3.50000e+06;4.14509e-02;4.90819e-03;4.11593e-02
3.60000e+06;4.42898e-02;5.44046e-03;4.39544e-02
3.70000e+06;4.73276e-02;6.12996e-03;4.69289e-02
3.80000e+06;5.06158e-02;7.04049e-03;5.01238e-02
3.90000e+06;5.42200e-02;8.26897e-03;5.35857e-02
4.00000e+06;5.82213e-02;9.96609e-03;5.73619e-02
4.10000e+06;6.27150e-02;1.23707e-02;6.14828e-02
4.20000e+06;6.77940e-02;1.58636e-02;6.59119e-02
4.30000e+06;7.34886e-02;2.10362e-02;7.04135e-02
4.40000e+06;7.95849e-02;2.86961e-02;7.42313e-02
4.50000e+06;8.51753e-02;3.94664e-02;7.54800e-02
4.60000e+06;8.79511e-02;5.21347e-02;7.08334e-02
4.70000e+06;8.45460e-02;6.12590e-02;5.82697e-02
4.80000e+06;7.42426e-02;6.06870e-02;4.27675e-02
4.90000e+06;6.15162e-02;5.22739e-02;3.24297e-02
5.00000e+06;5.14114e-02;4.24175e-02;2.90497e-02
5.10000e+06;4.57689e-02;3.45258e-02;3.00461e-02
5.20000e+06;4.40179e-02;2.90951e-02;3.30311e-02
