candidate_id,mhz,k,badness,quality_score,uncertainty,p99_var,peak_loc_spread_px,pred_p99_mean,selected_reason
518,90.0,3,1488.1896585193451,-1488.1896585193451,1488.1896585193451,1449.2991426803617,38.89051583898345,37.455883185068764,worst_uncertainty_stratified_mhz
790,90.0,3,1120.9390872945341,-1120.9390872945341,1120.9390872945341,1083.3107882512757,37.62829904325851,29.700277010599773,worst_uncertainty_stratified_mhz
372,100.0,3,630.0627336559884,-630.0627336559884,630.0627336559884,592.478384076232,37.58434957975638,24.733485221862793,worst_uncertainty_stratified_mhz
687,200.0,3,552.8798661089224,-552.8798661089224,552.8798661089224,514.582781798669,38.297084310253524,27.697773933410645,worst_uncertainty_stratified_mhz
747,265.0,3,46.9196227389009,-46.9196227389009,46.9196227389009,3.074567272076719,43.84505546682418,10.145556767781576,worst_uncertainty_stratified_mhz
234,265.0,3,46.636478183756466,-46.636478183756466,46.636478183756466,2.5582648705005795,44.07821331325589,8.868131160736084,worst_uncertainty_stratified_mhz
707,435.0,3,41.201667170730445,-41.201667170730445,41.201667170730445,1.7283991417353264,39.47326802899512,5.111931284268697,worst_uncertainty_stratified_mhz
144,510.0,3,68.83844204906634,-68.83844204906634,68.83844204906634,34.75806320401502,34.08037884505133,14.943105936050415,worst_uncertainty_stratified_mhz
723,510.0,3,58.33542170068992,-58.33542170068992,58.33542170068992,23.506873385008173,34.82854831568174,15.88101577758789,worst_uncertainty_stratified_mhz
509,90.0,3,1035.8669184224693,-1035.8669184224693,1035.8669184224693,998.2386193792108,37.62829904325851,30.882246176401775,worst_uncertainty_stratified_mhz
566,90.0,3,874.2794526325545,-874.2794526325545,874.2794526325545,850.7977812932122,23.481671339342284,37.167351722717285,worst_uncertainty_stratified_mhz
471,90.0,3,826.559601926446,-826.559601926446,826.559601926446,803.0808881626982,23.47871376374779,28.883107900619507,worst_uncertainty_stratified_mhz
201,90.0,3,779.9836602646607,-779.9836602646607,779.9836602646607,742.5841653185759,37.39949494608479,34.619654178619385,worst_uncertainty_stratified_mhz
26,90.0,3,763.1879958389402,-763.1879958389402,763.1879958389402,725.5596967956817,37.62829904325851,27.776633659998577,worst_uncertainty_stratified_mhz
734,90.0,3,724.9301860217248,-724.9301860217248,724.9301860217248,692.0389511204121,32.89123490131274,35.40222851435343,worst_uncertainty_stratified_mhz
334,90.0,3,555.8884491479979,-555.8884491479979,555.8884491479979,522.9470027788889,32.941446369109066,41.51842451095581,worst_uncertainty_stratified_mhz
112,90.0,3,552.9810062808176,-552.9810062808176,552.9810062808176,523.2801832469539,29.700823033863706,36.29661337534586,worst_uncertainty_stratified_mhz
364,90.0,3,511.5416194036034,-511.5416194036034,511.5416194036034,473.9133203603449,37.62829904325851,34.79811223347982,worst_uncertainty_stratified_mhz
500,90.0,3,467.3556405005011,-467.3556405005011,467.3556405005011,424.46365730757543,42.891983192925714,27.796807765960693,worst_uncertainty_stratified_mhz
238,90.0,3,431.13673767253306,-431.13673767253306,431.13673767253306,407.65802390878525,23.47871376374779,35.094194412231445,worst_uncertainty_stratified_mhz
775,90.0,3,422.46969595403215,-422.46969595403215,422.46969595403215,383.5820372433306,38.88765871070152,23.756352424621582,worst_uncertainty_stratified_mhz
622,90.0,3,416.31972475460293,-416.31972475460293,416.31972475460293,372.124136739508,44.1955880150949,29.878309726715088,worst_uncertainty_stratified_mhz
220,100.0,3,402.1103059848302,-402.1103059848302,402.1103059848302,372.4094829509665,29.700823033863706,29.886224190394085,worst_uncertainty_stratified_mhz
313,90.0,3,388.8829817581497,-388.8829817581497,388.8829817581497,357.3829817581497,31.5,29.364529609680176,worst_uncertainty_stratified_mhz
481,100.0,3,340.4066218689752,-340.4066218689752,340.4066218689752,302.7783228257167,37.62829904325851,26.949867248535156,worst_uncertainty_stratified_mhz
508,90.0,3,340.20142660043336,-340.20142660043336,340.20142660043336,301.17792940536725,39.02349719506612,25.05075216293335,worst_uncertainty_stratified_mhz
791,90.0,3,331.8626657526814,-331.8626657526814,331.8626657526814,302.1641809428464,29.698484809834994,27.377954800923664,worst_uncertainty_stratified_mhz
