epoch,train_impedance_loss,train_impedance_legacy,train_impedance_peak,val_impedance_loss,val_impedance_legacy,val_impedance_peak
1,1.4400097131729126,1.4400097131729126,0.0,0.39463492175366016,0.39463492175366016,0.0
25,0.8500434756278992,0.8500434756278992,0.0,0.5758898757873697,0.5758898757873697,0.0
50,0.6599099040031433,0.6599099040031433,0.0,0.4743172139563459,0.4743172139563459,0.0
75,0.5601319670677185,0.5601319670677185,0.0,0.4102437284398586,0.4102437284398586,0.0
100,0.5177486538887024,0.5061171054840088,0.01163169089704752,0.373962217188896,0.36276446707705234,0.011197750004840658
125,0.4901554584503174,0.4667649269104004,0.023390496149659157,0.3587498224796133,0.33679562033490934,0.021954202556863745
150,0.4664185047149658,0.4431805908679962,0.02323794737458229,0.3388057546412691,0.31724530851587335,0.021560446363180243
175,0.44751614332199097,0.4243848919868469,0.0231312345713377,0.3224110509486909,0.30120314600619863,0.021207902132672197
200,0.42559686303138733,0.40260225534439087,0.02299465797841549,0.3045387100666127,0.2836526241074217,0.020886087473085586
225,0.41460129618644714,0.3919224441051483,0.022678865119814873,0.29330532620561883,0.27273303346431,0.02057229119174658
250,0.40031903982162476,0.37784188985824585,0.02247724123299122,0.2911261256704939,0.2708970892936625,0.02022903473611842
275,0.3868477940559387,0.36459922790527344,0.02224854566156864,0.2732952765327819,0.25355347046192656,0.019741806486978177
300,0.3760649561882019,0.354135662317276,0.021929314360022545,0.26013692953485124,0.24070868923309002,0.019428239180211058
325,0.36994868516921997,0.3483095169067383,0.021639157086610794,0.2563292636516246,0.23740299667449707,0.01892626496388557
350,0.36159542202949524,0.3403194546699524,0.021275997161865234,0.2508677339934288,0.23233399993561685,0.018533734311448766
375,0.35531431436538696,0.3342617154121399,0.021052639931440353,0.24101304766979623,0.22286965548992158,0.018143393555061615
400,0.3475699722766876,0.326501727104187,0.021068280562758446,0.2408499703128287,0.22299758975810194,0.017852379849299473
425,0.3461794853210449,0.3252631425857544,0.020916344597935677,0.23675139039120777,0.2191060927320034,0.017645296850737104
450,0.34088870882987976,0.3201877772808075,0.020701033994555473,0.23008764512995455,0.21268243662854458,0.017405209329692608
475,0.33784303069114685,0.31724831461906433,0.020594658330082893,0.22709247190901574,0.2099216969089305,0.01717077503178982
500,0.33678728342056274,0.31624433398246765,0.020543158054351807,0.22387232159046416,0.20686875137876956,0.017003569898611688
525,0.33326518535614014,0.3129461407661438,0.020318899303674698,0.22626005867694288,0.20943069033166195,0.016829369252825035
550,0.3283018469810486,0.3080403208732605,0.020261535421013832,0.21996896419119327,0.2033235067382772,0.016645456909974838
575,0.3263229727745056,0.30609098076820374,0.020232120528817177,0.21692624206238606,0.20042556676458806,0.016500674925268966
600,0.3230498135089874,0.30299845337867737,0.020051343366503716,0.21368387601477035,0.19729533303291238,0.016388543199827063
625,0.3163417875766754,0.29617875814437866,0.020163048058748245,0.20443734051065243,0.1881352701719771,0.016302070120706204
650,0.3110738694667816,0.2910225987434387,0.02005106396973133,0.2005323864678119,0.18438964574895006,0.016142740314628215
675,0.3082377314567566,0.288344144821167,0.01989363133907318,0.19744741345973724,0.18151660745448253,0.01593080616774077
