epoch,train_heatmap_loss,train_tier_a,train_peak_log1p,train_phys_blob,val_heatmap_loss,val_tier_a,val_peak_log1p,val_phys_blob
350,1.9460312128067017,0.4376606345176697,0.5484979748725891,0.11653269827365875,0.33764097408244487,0.03443888716480801,0.11025530450086628,0.004281869186037735
375,1.6916694641113281,0.3684464693069458,0.48117196559906006,0.092995285987854,0.3304680102317173,0.03149929178199188,0.10871589773363297,0.003389738332361875
400,1.6415467262268066,0.3461590111255646,0.4710502624511719,0.08839885145425797,0.36231873120889474,0.03492187524718079,0.11905340214822772,0.0035730363501526564
425,1.651998519897461,0.3554176390171051,0.47148415446281433,0.08937107771635056,0.8085835549013585,0.052615441226429166,0.2748974960858506,0.016441630035598242
450,1.8352123498916626,0.39394187927246094,0.5240983963012695,0.10144498199224472,0.30677560447781144,0.02919776342849766,0.10093739677470738,0.0015601655119732564
475,2.287090539932251,0.3966817557811737,0.5401168465614319,0.15009792149066925,0.39767495668518565,0.035051214016852274,0.1036067835837873,0.0030322509531283282
500,2.3687708377838135,0.4109044671058655,0.5593905448913574,0.15225349366664886,0.2555979496770675,0.033136743825679466,0.06356034458981669,0.0012776124588604306
525,2.0900826454162598,0.3687460124492645,0.4918103516101837,0.13265888392925262,0.24031293091994665,0.027014687582985676,0.060942355178283045,0.0014753666900338338
550,2.176583766937256,0.37342309951782227,0.5151890516281128,0.13392935693264008,0.43739252784940164,0.027821911580035778,0.11702017609144945,0.004503136694671319
575,2.425621271133423,0.41603517532348633,0.5741673111915588,0.1498856246471405,0.646713548801339,0.040531731029793266,0.17319480525819878,0.00190212489498742
600,2.2860379219055176,0.39768436551094055,0.53952956199646,0.14020013809204102,0.3873604782696428,0.03789797770417212,0.09984642867600636,0.0024846036791270716
