epoch,beta,hm_mu_mean,hm_sigma_mean,occ_mu_mean,occ_sigma_mean,imp_mu_mean,imp_sigma_mean,fused_mu_mean,fused_mu_std,fused_sigma_mean,fused_mu_min,fused_mu_max,kl_gaussian,val_recon,val_total
1,0.000000,0.2569,0.9112,0.0246,1.0006,-0.0369,1.0377,0.0497,0.5780,0.4303,-1.7207,2.3971,0.6363,5.2862,34.0625
25,0.015000,0.3228,0.4192,0.0290,0.8426,-0.0945,0.6101,0.1040,0.8814,0.9172,-2.1567,3.1653,1.8633,7.2172,12.9052
50,0.030625,0.3146,0.3831,0.1377,0.7794,-0.0916,0.5454,0.1187,0.7068,0.9863,-1.0550,2.5901,1.9284,7.1142,8.4034
75,0.046250,0.3084,0.3462,0.1513,0.7703,-0.0811,0.5159,0.1260,0.6782,1.0200,-0.9065,2.5070,2.0090,6.9065,11.3318
100,0.061875,0.2349,0.3644,0.1623,0.7722,-0.1002,0.5097,0.0664,0.6453,1.0314,-0.8976,2.2701,1.9939,6.2763,11.0052
125,0.077500,0.2416,0.3472,0.2508,0.7685,-0.0715,0.5084,0.1224,0.6351,1.0926,-0.9547,2.1996,2.0874,5.9445,7.1284
150,0.093125,0.2092,0.3387,0.2484,0.7763,-0.1127,0.5097,0.0762,0.5990,1.1476,-0.8754,1.9611,2.1270,5.7098,6.9278
175,0.101000,0.1785,0.3218,0.2465,0.7917,-0.1002,0.4966,0.0528,0.5919,1.1873,-0.7927,1.8713,2.1946,5.4889,6.6025
200,0.102786,0.1459,0.3145,0.2764,0.7981,-0.0770,0.4962,0.0682,0.5543,1.2141,-0.9461,1.7264,2.2154,5.6198,7.3982
225,0.104571,0.1373,0.3099,0.2915,0.8170,-0.0990,0.4900,0.0336,0.5584,1.2499,-1.0075,1.6955,2.2700,5.8209,9.6097
250,0.106357,0.1004,0.2983,0.2800,0.8193,-0.0869,0.4919,0.0275,0.5159,1.2701,-0.8385,1.4955,2.2825,5.7524,7.2300
275,0.108143,0.0798,0.2796,0.2915,0.8270,-0.0981,0.4869,0.0065,0.5365,1.3132,-0.8847,1.4783,2.3739,5.8243,7.5045
300,0.109929,0.0782,0.2801,0.3109,0.8417,-0.0798,0.4804,0.0083,0.4918,1.3292,-0.9199,1.3176,2.3793,5.7422,7.1139
325,0.110000,0.0601,0.2862,0.3087,0.8444,-0.0636,0.4828,0.0089,0.4926,1.3296,-1.0275,1.2372,2.3794,5.6071,7.0228
350,0.110000,0.0215,0.2823,0.3267,0.8497,-0.0849,0.4874,-0.0233,0.4627,1.3674,-0.9701,1.0926,2.4206,5.4355,7.3394
375,0.110000,0.0026,0.2692,0.3020,0.8551,-0.0827,0.4843,-0.0266,0.4712,1.3846,-1.0458,1.1297,2.4658,5.2605,6.8856
400,0.110000,-0.0296,0.2614,0.3091,0.8637,-0.0932,0.4832,-0.0348,0.4517,1.4028,-1.0026,1.0429,2.4958,5.2092,7.1020
425,0.110000,-0.0362,0.2669,0.2975,0.8666,-0.0882,0.4830,-0.0357,0.4283,1.3988,-1.1192,0.9619,2.4680,5.0849,6.4407
450,0.110000,-0.0506,0.2720,0.3028,0.8677,-0.0951,0.4800,-0.0451,0.4224,1.3922,-1.0156,0.8322,2.4570,5.0140,6.4342
475,0.110000,-0.0560,0.2671,0.2966,0.8692,-0.1210,0.4806,-0.0689,0.4347,1.4049,-1.1064,0.9434,2.4911,4.9405,6.3134
500,0.110000,-0.0453,0.2579,0.2821,0.8642,-0.0861,0.4851,-0.0600,0.4147,1.4578,-1.0394,0.7029,2.5642,5.5320,8.0378
525,0.110000,-0.0619,0.2623,0.2753,0.8657,-0.0953,0.4807,-0.0503,0.4204,1.4552,-1.0195,0.7918,2.5640,5.0808,6.6422
550,0.110000,-0.0372,0.2565,0.2839,0.8656,-0.1286,0.4787,-0.0414,0.4541,1.4705,-1.1784,0.7717,2.6125,4.9889,6.8408
575,0.110000,-0.0513,0.2510,0.2643,0.8604,-0.1972,0.4883,-0.1089,0.4419,1.4896,-1.1305,0.7394,2.6471,4.9972,6.6370
