451,99.75,0.00,99.75,0,69.353378,
452,93.86,0.00,93.86,0,67.816284,
453,94.80,0.00,94.80,0,67.221703,
454,94.10,0.00,94.10,0,61.429256,
455,95.04,0.00,95.04,0,66.734932,
456,96.12,0.00,96.12,0,61.221748,
457,95.63,0.00,95.63,0,64.569862,
458,95.10,0.00,95.10,0,66.278976,
459,93.95,0.00,93.95,0,65.261101,
460,94.80,0.00,94.80,0,65.703720,
461,93.73,0.00,93.73,0,57.469692,
462,94.68,0.00,94.68,0,63.492584,
463,95.54,0.00,95.54,0,65.836143,
464,95.58,0.00,95.58,0,65.175957,
465,93.68,0.00,93.68,0,61.270859,
466,95.28,0.00,95.28,0,62.325447,
467,105.97,0.00,105.97,0,64.138069,
468,109.36,0.00,109.36,0,62.192024,
469,109.49,0.00,109.49,0,62.970165,
470,109.39,0.00,109.39,0,65.294716,
471,110.14,0.00,110.14,0,68.734032,
472,109.83,0.00,109.83,0,64.394806,
473,108.70,0.00,108.70,0,64.310364,
474,108.71,0.00,108.71,0,57.221184,
475,109.40,89.56,198.96,1,61.574852,10.7504
476,109.79,0.00,109.79,0,59.555557,
477,112.07,0.00,112.07,0,63.692196,
478,113.60,0.00,113.60,0,63.811508,
479,111.90,0.00,111.90,0,62.122906,
480,112.08,0.00,112.08,0,60.496342,
481,112.68,0.00,112.68,0,64.112419,
482,113.56,0.00,113.56,0,63.566341,
483,114.71,0.00,114.71,0,63.918873,
484,112.78,0.00,112.78,0,58.758957,
485,111.67,0.00,111.67,0,61.130024,
486,110.58,0.00,110.58,0,60.120579,
487,111.61,0.00,111.61,0,60.999222,
488,110.91,0.00,110.91,0,58.130917,
489,111.04,0.00,111.04,0,57.259956,
490,111.28,0.00,111.28,0,59.821980,
491,109.85,0.00,109.85,0,58.543201,
492,111.58,0.00,111.58,0,60.112984,
493,109.99,0.00,109.99,0,60.803837,
494,110.32,0.00,110.32,0,58.979050,
495,111.62,0.00,111.62,0,64.536690,
496,112.64,0.00,112.64,0,59.999279,
497,111.48,0.00,111.48,0,60.245903,
498,111.60,0.00,111.60,0,63.264824,
499,109.54,0.00,109.54,0,56.593735,
500,107.98,84.42,192.40,1,57.211769,9.2862
501,107.41,0.00,107.41,0,57.114086,
502,106.09,0.00,106.09,0,57.283691,
451,110.08,0.00,110.08,0,8.807511,
452,106.04,0.00,106.04,0,9.295382,
453,104.85,0.00,104.85,0,8.990194,
454,104.31,0.00,104.31,0,8.484735,
455,103.69,0.00,103.69,0,8.770000,
456,104.46,0.00,104.46,0,8.447701,
457,106.02,0.00,106.02,0,8.714943,
458,105.04,0.00,105.04,0,8.635245,
459,105.52,0.00,105.52,0,8.921968,
460,103.83,0.00,103.83,0,8.460402,
461,104.07,0.00,104.07,0,8.718706,
462,105.00,0.00,105.00,0,8.625489,
463,104.04,0.00,104.04,0,8.701314,
464,104.68,0.00,104.68,0,8.965242,
465,105.99,0.00,105.99,0,9.055588,
466,106.12,0.00,106.12,0,8.618427,
467,104.22,0.00,104.22,0,8.943717,
468,103.80,0.00,103.80,0,8.713847,
469,105.32,0.00,105.32,0,8.725401,
470,104.33,0.00,104.33,0,8.554741,
471,104.36,0.00,104.36,0,8.571895,
472,103.24,0.00,103.24,0,8.730213,
473,103.46,0.00,103.46,0,8.341437,
474,105.21,0.00,105.21,0,8.500330,
475,105.47,85.24,190.71,1,8.448207,3.6479
476,104.11,0.00,104.11,0,8.613914,
477,102.99,0.00,102.99,0,8.634297,
478,105.14,0.00,105.14,0,8.698027,
479,106.90,0.00,106.90,0,8.748942,
480,104.22,0.00,104.22,0,8.676596,
481,106.70,0.00,106.70,0,8.835184,
482,107.37,0.00,107.37,0,8.872858,
483,105.73,0.00,105.73,0,8.538131,
484,105.29,0.00,105.29,0,8.811131,
485,104.32,0.00,104.32,0,8.701067,
486,105.21,0.00,105.21,0,8.522808,
487,105.71,0.00,105.71,0,8.504223,
488,106.39,0.00,106.39,0,8.773009,
489,104.84,0.00,104.84,0,8.534743,
490,105.75,0.00,105.75,0,8.542747,
491,107.34,0.00,107.34,0,8.655694,
492,105.73,0.00,105.73,0,8.440578,
493,106.88,0.00,106.88,0,8.779249,
494,107.14,0.00,107.14,0,8.675359,
495,106.82,0.00,106.82,0,8.620007,
496,105.13,0.00,105.13,0,8.400290,
497,105.11,0.00,105.11,0,8.526711,
498,105.15,0.00,105.15,0,8.482067,
499,105.05,0.00,105.05,0,8.523881,
500,105.34,83.39,188.73,1,8.482998,3.5268
501,105.06,0.00,105.06,0,8.556159,
502,105.87,0.00,105.87,0,8.760459,
503,105.11,0.00,105.11,0,8.681063,
504,104.72,0.00,104.72,0,8.636238,
505,104.75,0.00,104.75,0,8.572795,
506,104.75,0.00,104.75,0,8.559216,
507,105.73,0.00,105.73,0,8.692863,
508,104.87,0.00,104.87,0,8.431849,
509,111.51,0.00,111.51,0,8.396060,
510,107.57,0.00,107.57,0,8.466468,
511,105.75,0.00,105.75,0,8.475265,
512,105.17,0.00,105.17,0,8.670573,
513,104.92,0.00,104.92,0,8.296647,
514,106.26,0.00,106.26,0,8.570071,
515,105.60,0.00,105.60,0,8.388460,
516,104.12,0.00,104.12,0,8.319455,
517,105.22,0.00,105.22,0,8.495270,
518,104.81,0.00,104.81,0,8.322646,
519,105.81,0.00,105.81,0,8.622347,
520,104.64,0.00,104.64,0,8.380095,
521,104.48,0.00,104.48,0,8.496590,
