k,num_samples,decode_mhz
7,1,200.0
8,1,200.0
9,1,200.0
10,1,200.0
11,1,200.0
12,1,200.0
13,1,200.0
14,1,200.0
15,1,200.0
16,1,200.0
17,1,200.0
