candidate_id,mhz,k,badness,quality_score,uncertainty,heatmap_mc_mse,decoder_mc_rce,epistemic_score,disagreement_score,prior_tension_score,peak_bias_score,p99_var,p99_mc_range,peak_loc_spread_px,pred_p99_mean,selected_reason
403,120.0,3,79.70137428799907,-79.70137428799907,79.70137428799907,0.14990890099242313,5.153038108413965,5.302947009406388,73.51832755663104,1.9003829429760768,0.0,51.6013436192898,22.998676300048828,20.83529157463365,8.354132533073425,worst_uncertainty_stratified_mhz
1461,120.0,3,56.06514262694361,-56.06514262694361,56.06514262694361,0.9986439673840147,3.0562094515123435,4.054853418896358,47.46905493371892,12.463355281015833,0.0,21.650997349260628,14.884627103805542,36.75148806511105,6.496516734361649,worst_uncertainty_stratified_mhz
601,120.0,3,40.415407680255335,-40.415407680255335,40.415407680255335,0.6032780531898283,2.0704061825317868,2.6736842357216153,32.46255996857159,14.63999282980998,0.0,9.665345413135512,8.842941045761108,36.75148806511105,5.0090131759643555,worst_uncertainty_stratified_mhz
1554,150.0,3,23.90656679498423,-23.90656679498423,23.90656679498423,0.015917892252585983,0.008975349677298818,0.0248932419298848,19.88447954904863,11.36135208280607,0.0,0.14163369748865762,1.2111897468566895,38.27450195626326,4.540642499923706,worst_uncertainty_stratified_mhz
1129,150.0,3,22.34115393742023,-22.34115393742023,22.34115393742023,0.12511223252718365,0.018963721702859114,0.14407595423004277,18.50130721649275,10.4617054523003,0.0,0.403376568984811,2.212639331817627,33.983221963198254,4.6462366580963135,worst_uncertainty_stratified_mhz
1519,150.0,3,22.323521356793595,-22.323521356793595,22.323521356793595,0.007344183021227846,0.00923161995259957,0.016575802973827415,18.91695053274305,9.643809947650713,0.0,0.09249913262010523,1.110609531402588,36.538293268843304,5.1859612464904785,worst_uncertainty_stratified_mhz
649,150.0,3,19.9224963321804,-19.9224963321804,19.9224963321804,0.026883571870207974,0.03603835687859978,0.06292192874880775,16.442878246598504,9.676102614170146,0.0,0.27751605124585055,1.8309805393218994,30.499743851383407,4.381184995174408,worst_uncertainty_stratified_mhz
268,155.0,3,26.606606954049774,-26.606606954049774,26.606606954049774,0.02386479376338792,0.011429448232898402,0.03529424199628632,22.851124469217684,10.566226465975635,0.0,0.26876756923836354,1.676389217376709,43.48832458258193,5.888823390007019,worst_uncertainty_stratified_mhz
907,155.0,3,26.60327680349986,-26.60327680349986,26.60327680349986,0.0600548233792832,0.026530951915820965,0.08658577529510417,22.97519915486933,10.067860451294852,0.0,0.1912214562971002,1.3723673820495605,44.1955880150949,6.162219882011414,worst_uncertainty_stratified_mhz
1046,155.0,3,25.77920025097079,-25.77920025097079,25.77920025097079,0.03581792245105274,0.01757347719081806,0.0533913996418708,22.36790697624196,9.538504454957447,0.0,0.2384370047415949,1.4667458534240723,42.79219408957666,6.284326612949371,worst_uncertainty_stratified_mhz
700,155.0,3,25.416193602972545,-25.416193602972545,25.416193602972545,0.03835459889315363,0.013880816553196722,0.05223541544635035,22.185132136620123,9.054664367690098,0.0,0.06316081019582498,0.7331681251525879,43.51077452769601,6.481600284576416,worst_uncertainty_stratified_mhz
443,155.0,3,24.79736899269856,-24.79736899269856,24.79736899269856,0.007413418088542532,0.01662371165104908,0.02403712973959161,21.244003264438128,10.021383175900633,0.0,0.2555358182510048,1.344627857208252,40.632307035165994,5.78527557849884,worst_uncertainty_stratified_mhz
492,155.0,3,24.714957599074673,-24.714957599074673,24.714957599074673,0.03987694698348815,0.023005599084789004,0.06288254606827715,21.21838552751187,9.774922318332107,0.0,0.08693568779368377,0.8744955062866211,41.38840417314975,5.912716507911682,worst_uncertainty_stratified_mhz
455,155.0,3,24.134300840636303,-24.134300840636303,24.134300840636303,0.05936754116263295,0.011474223878186689,0.07084176504081964,20.981547856396205,8.781284458517131,0.0,0.04652727553228431,0.5761251449584961,41.293916016769344,6.3729177713394165,worst_uncertainty_stratified_mhz
