#Design: H-shape;Power Bus Pin Impedance Power_GND
#Produced on;2026-05-12 12:28:34;by PI/EMI Analysis 2023.0.0.50417;Zuken GmbH - Germany

Frequency;IC1_Port1(8): Magnitude;IC1_Port1(8): Re;IC1_Port1(8): Img
(Hz);(Ω);;
1.00000e+06;2.86563e-02;2.24092e-03;-2.85685e-02
1.10000e+06;2.35563e-02;2.27301e-03;-2.34464e-02
1.20000e+06;1.90933e-02;2.30470e-03;-1.89536e-02
1.30000e+06;1.51247e-02;2.33626e-03;-1.49431e-02
1.40000e+06;1.15547e-02;2.36797e-03;-1.13094e-02
1.50000e+06;8.32825e-03;2.40012e-03;-7.97491e-03
1.60000e+06;5.45387e-03;2.43298e-03;-4.88112e-03
1.70000e+06;3.16508e-03;2.46689e-03;-1.98297e-03
1.80000e+06;2.61358e-03;2.50218e-03;7.54901e-04
1.90000e+06;4.21224e-03;2.53925e-03;3.36082e-03
2.00000e+06;6.40025e-03;2.57856e-03;5.85784e-03
2.10000e+06;8.67058e-03;2.62061e-03;8.26507e-03
2.20000e+06;1.09288e-02;2.66603e-03;1.05987e-02
2.30000e+06;1.31558e-02;2.71556e-03;1.28725e-02
2.40000e+06;1.53507e-02;2.77006e-03;1.50987e-02
2.50000e+06;1.75186e-02;2.83061e-03;1.72884e-02
2.60000e+06;1.96664e-02;2.89852e-03;1.94517e-02
2.70000e+06;2.18020e-02;2.97541e-03;2.15980e-02
2.80000e+06;2.39337e-02;3.06331e-03;2.37369e-02
2.90000e+06;2.60703e-02;3.16476e-03;2.58775e-02
3.00000e+06;2.82213e-02;3.28304e-03;2.80297e-02
3.10000e+06;3.03970e-02;3.42235e-03;3.02038e-02
3.20000e+06;3.26090e-02;3.58821e-03;3.24110e-02
3.30000e+06;3.48703e-02;3.78791e-03;3.46640e-02
3.40000e+06;3.71964e-02;4.03127e-03;3.69774e-02
3.50000e+06;3.96057e-02;4.33170e-03;3.93681e-02
3.60000e+06;4.21202e-02;4.70787e-03;4.18563e-02
3.70000e+06;4.47673e-02;5.18624e-03;4.44659e-02
3.80000e+06;4.75810e-02;5.80510e-03;4.72255e-02
3.90000e+06;5.06035e-02;6.62111e-03;5.01684e-02
4.00000e+06;5.38870e-02;7.72001e-03;5.33312e-02
4.10000e+06;5.74941e-02;9.23424e-03;5.67477e-02
4.20000e+06;6.14921e-02;1.13716e-02;6.04315e-02
4.30000e+06;6.59319e-02;1.44576e-02;6.43273e-02
4.40000e+06;7.07810e-02;1.89808e-02;6.81885e-02
4.50000e+06;7.57428e-02;2.55574e-02;7.13007e-02
4.60000e+06;7.98632e-02;3.45029e-02;7.20256e-02
4.70000e+06;8.10765e-02;4.44259e-02;6.78214e-02
4.80000e+06;7.69899e-02;5.08347e-02;5.78211e-02
4.90000e+06;6.80845e-02;4.97486e-02;4.64820e-02
5.00000e+06;5.86074e-02;4.33232e-02;3.94706e-02
5.10000e+06;5.22407e-02;3.62588e-02;3.76085e-02
5.20000e+06;4.96900e-02;3.09266e-02;3.88928e-02
5.30000e+06;4.99147e-02;2.77108e-02;4.15161e-02
5.40000e+06;5.16191e-02;2.63627e-02;4.43794e-02
5.50000e+06;5.37512e-02;2.65206e-02;4.67530e-02
5.60000e+06;5.54359e-02;2.76853e-02;4.80277e-02
5.70000e+06;5.59248e-02;2.90373e-02;4.77956e-02
5.80000e+06;5.48607e-02;2.95202e-02;4.62413e-02
5.90000e+06;5.26560e-02;2.84644e-02;4.42993e-02
6.00000e+06;5.03236e-02;2.61002e-02;4.30260e-02
6.10000e+06;4.87455e-02;2.31913e-02;4.28752e-02
6.20000e+06;4.82275e-02;2.03764e-02;4.37115e-02
6.30000e+06;4.86340e-02;1.79517e-02;4.51996e-02
6.40000e+06;4.96866e-02;1.59747e-02;4.70486e-02
6.50000e+06;5.11372e-02;1.44003e-02;4.90678e-02
6.60000e+06;5.28125e-02;1.31567e-02;5.11475e-02
6.70000e+06;5.46045e-02;1.21762e-02;5.32297e-02
6.80000e+06;5.64496e-02;1.14037e-02;5.52857e-02
6.90000e+06;5.83116e-02;1.07970e-02;5.73033e-02
7.00000e+06;6.01710e-02;1.03250e-02;5.92785e-02
7.10000e+06;6.20172e-02;9.96492e-03;6.12114e-02
7.20000e+06;6.38452e-02;9.70028e-03;6.31040e-02
7.30000e+06;6.56524e-02;9.51949e-03;6.49586e-02
7.40000e+06;6.74374e-02;9.41441e-03;6.67770e-02
7.50000e+06;6.91993e-02;9.37948e-03;6.85606e-02
7.60000e+06;7.09366e-02;9.41084e-03;7.03096e-02
7.70000e+06;7.26479e-02;9.50575e-03;7.20233e-02
7.80000e+06;7.43310e-02;9.66221e-03;7.37003e-02
7.90000e+06;7.59835e-02;9.87898e-03;7.53385e-02
8.00000e+06;7.76026e-02;1.01558e-02;7.69351e-02
8.10000e+06;7.91840e-02;1.04936e-02;7.84856e-02
8.20000e+06;8.07209e-02;1.08936e-02;7.99825e-02
8.30000e+06;8.22029e-02;1.13558e-02;8.14147e-02
8.40000e+06;8.36156e-02;1.18767e-02;8.27678e-02
8.50000e+06;8.49425e-02;1.24469e-02;8.40256e-02
8.60000e+06;8.61671e-02;1.30503e-02;8.51731e-02
8.70000e+06;8.72760e-02;1.36643e-02;8.61997e-02
8.80000e+06;8.82624e-02;1.42623e-02;8.71025e-02
8.90000e+06;8.91277e-02;1.48176e-02;8.78873e-02
9.00000e+06;8.98806e-02;1.53074e-02;8.85675e-02
9.10000e+06;9.05353e-02;1.57146e-02;8.91610e-02
9.20000e+06;9.11080e-02;1.60282e-02;8.96871e-02
9.30000e+06;9.16152e-02;1.62414e-02;9.01641e-02
9.40000e+06;9.20734e-02;1.63497e-02;9.06101e-02
9.50000e+06;9.25002e-02;1.63506e-02;9.10437e-02
9.60000e+06;9.29155e-02;1.62443e-02;9.14845e-02
9.70000e+06;9.33409e-02;1.60356e-02;9.19532e-02
9.80000e+06;9.37982e-02;1.57346e-02;9.24690e-02
9.90000e+06;9.43065e-02;1.53565e-02;9.30478e-02
1.00000e+07;9.48805e-02;1.49194e-02;9.37002e-02
1.10000e+07;1.04228e-01;1.04150e-02;1.03706e-01
1.20000e+07;1.16199e-01;8.10284e-03;1.15916e-01
1.30000e+07;1.28199e-01;7.04588e-03;1.28005e-01
1.40000e+07;1.39935e-01;6.49864e-03;1.39784e-01
1.50000e+07;1.51450e-01;6.18492e-03;1.51323e-01
1.60000e+07;1.62801e-01;5.99321e-03;1.62691e-01
1.70000e+07;1.74032e-01;5.87198e-03;1.73933e-01
1.80000e+07;1.85171e-01;5.79461e-03;1.85080e-01
1.90000e+07;1.96239e-01;5.74611e-03;1.96155e-01
2.00000e+07;2.07251e-01;5.71745e-03;2.07172e-01
2.10000e+07;2.18217e-01;5.70292e-03;2.18143e-01
2.20000e+07;2.29147e-01;5.69871e-03;2.29076e-01
2.30000e+07;2.40046e-01;5.70222e-03;2.39978e-01
2.40000e+07;2.50920e-01;5.71162e-03;2.50855e-01
2.50000e+07;2.61772e-01;5.72556e-03;2.61709e-01
