mhz,k,sample,label,mae_ohm,rmse_ohm,median_abs_diff_ohm,p95_abs_diff_ohm,max_abs_diff_ohm,nrmse_ohm,mape_pct,real_max_ohm,gen_max_ohm,max_diff_ohm,real_p95_ohm,gen_p95_ohm,real_mean_ohm,gen_mean_ohm,max_ratio,mean_ratio,pearson_r,spearman_rho,pattern_mae,pattern_rmse,peak_loc_err_px,peak_real_ohm,peak_gen_ohm
20.0,7,0,sample_0,0.10337298171787655,0.1124934274904373,0.08711045123963841,0.19509457639085787,0.47170307717942705,0.17609970765519828,58.938286736773435,0.7118370779576253,0.24013400077819824,0.47170307717942705,0.3287173696526669,0.13330587148666379,0.17467444108088917,0.0713014593630126,0.33734404713390487,0.40819629318289297,0.9684935534371899,0.8993897113800096,0.016878146338066446,0.0366171104620585,0.0,0.7118370779576253,0.24013400077819824
20.0,8,0,sample_0,0.10451039448189427,0.11631705202406155,0.08497051550005508,0.21098772805353913,0.47564507855054217,0.17773866741450228,56.93316789230705,0.7178402079450734,0.24219512939453125,0.47564507855054217,0.34893086120309524,0.1409086227416992,0.18146448554953076,0.07695409106763648,0.3373942093434019,0.4240724615320492,0.9806992918473043,0.9627194407614158,0.016500076588458378,0.03387949020628573,0.0,0.7178402079450734,0.24219512939453125
20.0,9,0,sample_0,0.10466123385333385,0.11819520651920554,0.08823494614788627,0.21119854562404183,0.44722556290650217,0.19615470640814772,55.67299447221219,0.6608629148962483,0.2136373519897461,0.44722556290650217,0.3445388849402782,0.13717305660247803,0.1836857100835204,0.079027108309708,0.32327029883843,0.4302300286384554,0.9738525620275108,0.9676275807112514,0.02777207626906271,0.04914689567799431,0.0,0.6608629148962483,0.2136373519897461
20.0,10,0,sample_0,0.09341259665867067,0.10553527584031108,0.07371369833060863,0.19473096371119297,0.46639543715082254,0.16770934762229273,55.035446874551596,0.6933225983675584,0.22692716121673584,0.46639543715082254,0.3241769642887002,0.13232704401016235,0.1666479391765479,0.07323534251787724,0.32730385790256983,0.43946143516537123,0.9874489143955876,0.977050295238137,0.015211930062685192,0.034210453523075134,0.0,0.6933225983675584,0.22692716121673584
20.0,11,0,sample_0,0.09188691714996645,0.10372766459463473,0.07354213849133005,0.1909092440390834,0.46470594782667085,0.17164533104970817,55.208391105836675,0.6626950540049545,0.2098296880722046,0.45286536593274995,0.3153800918341339,0.12224316596984862,0.16269001690255042,0.07080309975258398,0.3166308346563212,0.4352024856878236,0.9830955293758393,0.975959407619418,0.009670158116029816,0.026436355686781817,63.0,0.6626950540049545,0.2098296880722046
20.0,12,0,sample_0,0.08427591333373574,0.0944678383965999,0.06825553776339388,0.170642427798983,0.44579968825463534,0.15273530080874065,53.11015098718082,0.6752528943169522,0.2294532060623169,0.44579968825463534,0.301921346398925,0.12983210086822508,0.15611384301686754,0.07183792968313177,0.3398033655145141,0.46016373881315537,0.9758257931053145,0.9513488520502693,0.016538089642805853,0.039018512406586055,0.0,0.6752528943169522,0.2294532060623169
20.0,13,0,sample_0,0.08735986006313885,0.09917299588105549,0.06928727806998547,0.18646960467434986,0.48725432659163015,0.1583403059270677,55.44776248187251,0.690185373077531,0.20293104648590088,0.48725432659163015,0.30614434195860796,0.12112479209899896,0.15401376451394,0.06665390445080115,0.29402397443027944,0.43277887960960926,0.9817629793181718,0.9304271568624874,0.018094596774350612,0.04053178040250599,0.0,0.690185373077531,0.20293104648590088
20.0,14,0,sample_0,0.08249326629043857,0.09189875827565314,0.06721497731153336,0.1661638174151837,0.43496396127263537,0.15499789529527308,55.207131531293676,0.6513478952936315,0.2163839340209961,0.43496396127263537,0.27990316070051097,0.11714141964912414,0.1472418773918981,0.06474861110145952,0.33220946223131487,0.43974317801670654,0.9689288996015668,0.9160943285856237,0.017044596250241326,0.03668117378116179,0.0,0.6513478952936315,0.2163839340209961
20.0,15,0,sample_0,0.08751749487086799,0.09930869367132202,0.0697121985631566,0.1846909014055186,0.45781446612261334,0.16290295759560883,55.30976210636045,0.6661266199388365,0.20886683464050293,0.45725978529833355,0.3109412407365005,0.12649892568588256,0.1554356069946308,0.06791811212376281,0.3135542528831546,0.4369533689028467,0.9822713186101117,0.9694353526033829,0.02012991618367036,0.044472574635024166,63.0,0.6661266199388365,0.20886683464050293
20.0,16,0,sample_0,0.08041798271421298,0.08959740096820065,0.06443422369534815,0.1620026486428499,0.4246480052853735,0.15819007897785983,54.99273711036901,0.6225020473385962,0.2074110507965088,0.41509099654208736,0.2719103034444752,0.11394975781440733,0.1437817480431616,0.0633638633158935,0.3331893472210416,0.44069476257078477,0.969991968200219,0.9170901116809579,0.01979820575142959,0.037029537591637275,63.0,0.6225020473385962,0.2074110507965088
