#Design: ProKI_design;Power Bus Pin Impedance Power_GND
#Produced on;2026-04-12 16:52:47;by PI/EMI Analysis 2023.0.0.50417;Zuken GmbH - Germany

Frequency;IC1_Port1(8): Magnitude;IC1_Port1(8): Re;IC1_Port1(8): Img
(Hz);(Ω);;
1.00000e+06;3.33870e-02;2.36350e-03;-3.33032e-02
1.10000e+06;2.78204e-02;2.39583e-03;-2.77171e-02
1.20000e+06;2.29640e-02;2.42767e-03;-2.28353e-02
1.30000e+06;1.86563e-02;2.45930e-03;-1.84935e-02
1.40000e+06;1.47854e-02;2.49098e-03;-1.45740e-02
1.50000e+06;1.12763e-02;2.52297e-03;-1.09904e-02
1.60000e+06;8.09158e-03;2.55554e-03;-7.67743e-03
1.70000e+06;5.26548e-03;2.58897e-03;-4.58503e-03
1.80000e+06;3.11210e-03;2.62358e-03;-1.67391e-03
1.90000e+06;2.87335e-03;2.65971e-03;1.08725e-03
2.00000e+06;4.59837e-03;2.69774e-03;3.72387e-03
2.10000e+06;6.82980e-03;2.73814e-03;6.25690e-03
2.20000e+06;9.13751e-03;2.78141e-03;8.70390e-03
2.30000e+06;1.14351e-02;2.82817e-03;1.10798e-02
2.40000e+06;1.37036e-02;2.87914e-03;1.33977e-02
2.50000e+06;1.59416e-02;2.93518e-03;1.56690e-02
2.60000e+06;1.81533e-02;2.99735e-03;1.79041e-02
2.70000e+06;2.03452e-02;3.06691e-03;2.01127e-02
2.80000e+06;2.25246e-02;3.14545e-03;2.23039e-02
2.90000e+06;2.46992e-02;3.23490e-03;2.44865e-02
3.00000e+06;2.68775e-02;3.33773e-03;2.66694e-02
3.10000e+06;2.90682e-02;3.45704e-03;2.88619e-02
3.20000e+06;3.12810e-02;3.59681e-03;3.10736e-02
3.30000e+06;3.35267e-02;3.76224e-03;3.33149e-02
3.40000e+06;3.58174e-02;3.96011e-03;3.55978e-02
3.50000e+06;3.81671e-02;4.19955e-03;3.79353e-02
3.60000e+06;4.05924e-02;4.49288e-03;4.03430e-02
3.70000e+06;4.31132e-02;4.85712e-03;4.28387e-02
3.80000e+06;4.57536e-02;5.31619e-03;4.54437e-02
3.90000e+06;4.85432e-02;5.90435e-03;4.81827e-02
4.00000e+06;5.15181e-02;6.67174e-03;5.10842e-02
4.10000e+06;5.47221e-02;7.69328e-03;5.41787e-02
4.20000e+06;5.82062e-02;9.08306e-03;5.74931e-02
4.30000e+06;6.20223e-02;1.10171e-02;6.10360e-02
4.40000e+06;6.62039e-02;1.37660e-02;6.47569e-02
4.50000e+06;7.07084e-02;1.77276e-02;6.84501e-02
4.60000e+06;7.52711e-02;2.33970e-02;7.15424e-02
4.70000e+06;7.91011e-02;3.10494e-02;7.27524e-02
4.80000e+06;8.05344e-02;3.97188e-02;7.00586e-02
4.90000e+06;7.75745e-02;4.60238e-02;6.24468e-02
5.00000e+06;7.03463e-02;4.63457e-02;5.29214e-02
5.10000e+06;6.22663e-02;4.15586e-02;4.63677e-02
5.20000e+06;5.67487e-02;3.54750e-02;4.42938e-02
5.30000e+06;5.46740e-02;3.05280e-02;4.53573e-02
5.40000e+06;5.52394e-02;2.73409e-02;4.79986e-02
5.50000e+06;5.73781e-02;2.58227e-02;5.12390e-02
5.60000e+06;6.02942e-02;2.57758e-02;5.45069e-02
5.70000e+06;6.34233e-02;2.70429e-02;5.73689e-02
5.80000e+06;6.62590e-02;2.94415e-02;5.93587e-02
5.90000e+06;6.82280e-02;3.25870e-02;5.99429e-02
6.00000e+06;6.87199e-02;3.57059e-02;5.87156e-02
6.10000e+06;6.73659e-02;3.77174e-02;5.58172e-02
6.20000e+06;6.44206e-02;3.78049e-02;5.21613e-02
6.30000e+06;6.07703e-02;3.60035e-02;4.89568e-02
6.40000e+06;5.74091e-02;3.30447e-02;4.69452e-02
6.50000e+06;5.49386e-02;2.97178e-02;4.62071e-02
6.60000e+06;5.35122e-02;2.65096e-02;4.64844e-02
6.70000e+06;5.30355e-02;2.36330e-02;4.74789e-02
6.80000e+06;5.33279e-02;2.11558e-02;4.89519e-02
6.90000e+06;5.41950e-02;1.90783e-02;5.07259e-02
7.00000e+06;5.54617e-02;1.73674e-02;5.26723e-02
