#Design: ProKI_design;Power Bus Pin Impedance Power_GND
#Produced on;2026-04-12 16:51:58;by PI/EMI Analysis 2023.0.0.50417;Zuken GmbH - Germany

Frequency;IC1_Port1(8): Magnitude;IC1_Port1(8): Re;IC1_Port1(8): Img
(Hz);(Ω);;
1.00000e+06;4.79054e-02;2.67977e-03;-4.78304e-02
1.10000e+06;4.10423e-02;2.71128e-03;-4.09527e-02
1.20000e+06;3.51043e-02;2.74234e-03;-3.49970e-02
1.30000e+06;2.98779e-02;2.77321e-03;-2.97489e-02
1.40000e+06;2.52113e-02;2.80416e-03;-2.50548e-02
1.50000e+06;2.09943e-02;2.83542e-03;-2.08019e-02
1.60000e+06;1.71467e-02;2.86727e-03;-1.69053e-02
1.70000e+06;1.36122e-02;2.89998e-03;-1.32997e-02
1.80000e+06;1.03585e-02;2.93386e-03;-9.93431e-03
1.90000e+06;7.39105e-03;2.96925e-03;-6.76839e-03
2.00000e+06;4.82141e-03;3.00651e-03;-3.76920e-03
2.10000e+06;3.17906e-03;3.04609e-03;-9.09805e-04
2.20000e+06;3.59107e-03;3.08849e-03;1.83221e-03
2.30000e+06;5.46414e-03;3.13428e-03;4.47583e-03
2.40000e+06;7.72420e-03;3.18416e-03;7.03736e-03
2.50000e+06;1.00664e-02;3.23894e-03;9.53105e-03
2.60000e+06;1.24161e-02;3.29960e-03;1.19696e-02
2.70000e+06;1.47539e-02;3.36734e-03;1.43645e-02
2.80000e+06;1.70773e-02;3.44359e-03;1.67265e-02
2.90000e+06;1.93897e-02;3.53012e-03;1.90656e-02
3.00000e+06;2.16976e-02;3.62913e-03;2.13919e-02
3.10000e+06;2.40087e-02;3.74333e-03;2.37151e-02
3.20000e+06;2.63323e-02;3.87619e-03;2.60454e-02
3.30000e+06;2.86783e-02;4.03207e-03;2.83935e-02
3.40000e+06;3.10583e-02;4.21660e-03;3.07707e-02
3.50000e+06;3.34851e-02;4.43708e-03;3.31898e-02
3.60000e+06;3.59738e-02;4.70311e-03;3.56650e-02
3.70000e+06;3.85419e-02;5.02747e-03;3.82126e-02
3.80000e+06;4.12104e-02;5.42742e-03;4.08515e-02
3.90000e+06;4.40044e-02;5.92661e-03;4.36035e-02
4.00000e+06;4.69546e-02;6.55795e-03;4.64943e-02
4.10000e+06;5.00984e-02;7.36806e-03;4.95537e-02
4.20000e+06;5.34821e-02;8.42407e-03;5.28145e-02
4.30000e+06;5.71614e-02;9.82434e-03;5.63108e-02
4.40000e+06;6.12019e-02;1.17151e-02;6.00702e-02
4.50000e+06;6.56742e-02;1.43157e-02;6.40950e-02
4.60000e+06;7.06373e-02;1.79532e-02;6.83177e-02
4.70000e+06;7.60899e-02;2.30967e-02;7.24997e-02
4.80000e+06;8.18508e-02;3.03371e-02;7.60212e-02
4.90000e+06;8.73012e-02;4.01296e-02;7.75314e-02
5.00000e+06;9.09932e-02;5.19161e-02;7.47294e-02
5.10000e+06;9.05938e-02;6.26480e-02;6.54405e-02
5.20000e+06;8.43234e-02;6.72138e-02;5.09189e-02
5.30000e+06;7.33490e-02;6.33937e-02;3.68960e-02
5.40000e+06;6.13052e-02;5.44883e-02;2.80954e-02
5.50000e+06;5.12597e-02;4.48927e-02;2.47427e-02
5.60000e+06;4.44227e-02;3.67763e-02;2.49173e-02
5.70000e+06;4.06904e-02;3.05330e-02;2.68970e-02
5.80000e+06;3.93731e-02;2.58945e-02;2.96600e-02
5.90000e+06;3.96758e-02;2.24869e-02;3.26881e-02
6.00000e+06;4.09513e-02;1.99983e-02;3.57362e-02
6.10000e+06;4.27594e-02;1.82027e-02;3.86914e-02
6.20000e+06;4.48240e-02;1.69436e-02;4.14983e-02
6.30000e+06;4.69702e-02;1.61117e-02;4.41205e-02
6.40000e+06;4.90744e-02;1.56217e-02;4.65216e-02
6.50000e+06;5.10357e-02;1.53896e-02;4.86601e-02
6.60000e+06;5.27705e-02;1.53112e-02;5.05004e-02
6.70000e+06;5.42324e-02;1.52572e-02;5.20420e-02
6.80000e+06;5.54446e-02;1.50995e-02;5.33490e-02
6.90000e+06;5.65081e-02;1.47631e-02;5.45456e-02
7.00000e+06;5.75588e-02;1.42578e-02;5.57649e-02
7.10000e+06;5.87033e-02;1.36566e-02;5.70927e-02
7.20000e+06;5.99865e-02;1.30452e-02;5.85509e-02
7.30000e+06;6.14017e-02;1.24867e-02;6.01186e-02
7.40000e+06;6.29173e-02;1.20140e-02;6.17596e-02
7.50000e+06;6.44977e-02;1.16368e-02;6.34392e-02
7.60000e+06;6.61133e-02;1.13513e-02;6.51316e-02
7.70000e+06;6.77441e-02;1.11486e-02;6.68204e-02
7.80000e+06;6.93783e-02;1.10198e-02;6.84976e-02
7.90000e+06;7.10100e-02;1.09590e-02;7.01593e-02
8.00000e+06;7.26354e-02;1.09644e-02;7.18031e-02
8.10000e+06;7.42499e-02;1.10372e-02;7.34249e-02
8.20000e+06;7.58463e-02;1.11792e-02;7.50179e-02
8.30000e+06;7.74148e-02;1.13919e-02;7.65720e-02
8.40000e+06;7.89427e-02;1.16743e-02;7.80747e-02
8.50000e+06;8.04155e-02;1.20219e-02;7.95118e-02
8.60000e+06;8.18173e-02;1.24261e-02;8.08682e-02
8.70000e+06;8.31327e-02;1.28733e-02;8.21299e-02
8.80000e+06;8.43480e-02;1.33450e-02;8.32857e-02
8.90000e+06;8.54539e-02;1.38185e-02;8.43292e-02
9.00000e+06;8.64464e-02;1.42692e-02;8.52606e-02
9.10000e+06;8.73284e-02;1.46726e-02;8.60870e-02
9.20000e+06;8.81094e-02;1.50070e-02;8.68220e-02
9.30000e+06;8.88043e-02;1.52555e-02;8.74841e-02
9.40000e+06;8.94323e-02;1.54065e-02;8.80953e-02
9.50000e+06;9.00152e-02;1.54544e-02;8.86786e-02
9.60000e+06;9.05757e-02;1.53993e-02;8.92571e-02
9.70000e+06;9.11368e-02;1.52467e-02;8.98524e-02
9.80000e+06;9.17195e-02;1.50067e-02;9.04835e-02
9.90000e+06;9.23419e-02;1.46933e-02;9.11654e-02
1.00000e+07;9.30178e-02;1.43228e-02;9.19085e-02
1.10000e+07;1.02900e-01;1.03440e-02;1.02379e-01
1.20000e+07;1.15062e-01;8.27920e-03;1.14764e-01
1.30000e+07;1.27192e-01;7.33244e-03;1.26980e-01
1.40000e+07;1.39046e-01;6.83990e-03;1.38878e-01
1.50000e+07;1.50672e-01;6.55670e-03;1.50530e-01
1.60000e+07;1.62129e-01;6.38362e-03;1.62004e-01
1.70000e+07;1.73460e-01;6.27457e-03;1.73346e-01
1.80000e+07;1.84693e-01;6.20559e-03;1.84589e-01
1.90000e+07;1.95850e-01;6.16315e-03;1.95753e-01
2.00000e+07;2.06947e-01;6.13903e-03;2.06856e-01
2.10000e+07;2.17995e-01;6.12800e-03;2.17908e-01
2.20000e+07;2.29002e-01;6.12658e-03;2.28920e-01
2.30000e+07;2.39975e-01;6.13238e-03;2.39897e-01
2.40000e+07;2.50920e-01;6.14370e-03;2.50845e-01
2.50000e+07;2.61841e-01;6.15929e-03;2.61769e-01
2.60000e+07;2.72742e-01;6.17826e-03;2.72672e-01
2.70000e+07;2.83625e-01;6.19990e-03;2.83557e-01
2.80000e+07;2.94493e-01;6.22369e-03;2.94427e-01
2.90000e+07;3.05348e-01;6.24923e-03;3.05284e-01
3.00000e+07;3.16192e-01;6.27620e-03;3.16130e-01
3.10000e+07;3.27027e-01;6.30433e-03;3.26966e-01
3.20000e+07;3.37853e-01;6.33344e-03;3.37793e-01
3.30000e+07;3.48671e-01;6.36335e-03;3.48613e-01
3.40000e+07;3.59484e-01;6.39394e-03;3.59427e-01
3.50000e+07;3.70292e-01;6.42510e-03;3.70236e-01
3.60000e+07;3.81095e-01;6.45674e-03;3.81040e-01
3.70000e+07;3.91894e-01;6.48879e-03;3.91840e-01
3.80000e+07;4.02690e-01;6.52120e-03;4.02638e-01
3.90000e+07;4.13484e-01;6.55391e-03;4.13432e-01
4.00000e+07;4.24276e-01;6.58688e-03;4.24225e-01
4.10000e+07;4.35067e-01;6.62009e-03;4.35016e-01
4.20000e+07;4.45856e-01;6.65351e-03;4.45807e-01
4.30000e+07;4.56645e-01;6.68711e-03;4.56596e-01
4.40000e+07;4.67434e-01;6.72088e-03;4.67385e-01
4.50000e+07;4.78223e-01;6.75480e-03;4.78175e-01
4.60000e+07;4.89012e-01;6.78887e-03;4.88965e-01
4.70000e+07;4.99802e-01;6.82306e-03;4.99756e-01
4.80000e+07;5.10594e-01;6.85739e-03;5.10548e-01
4.90000e+07;5.21387e-01;6.89183e-03;5.21341e-01
5.00000e+07;5.32181e-01;6.92639e-03;5.32136e-01
5.10000e+07;5.42977e-01;6.96107e-03;5.42933e-01
5.20000e+07;5.53776e-01;6.99586e-03;5.53732e-01
5.30000e+07;5.64577e-01;7.03077e-03;5.64533e-01
5.40000e+07;5.75381e-01;7.06579e-03;5.75337e-01
5.50000e+07;5.86187e-01;7.10093e-03;5.86144e-01
5.60000e+07;5.96997e-01;7.13619e-03;5.96954e-01
5.70000e+07;6.07809e-01;7.17157e-03;6.07767e-01
5.80000e+07;6.18626e-01;7.20708e-03;6.18584e-01
5.90000e+07;6.29445e-01;7.24271e-03;6.29404e-01
6.00000e+07;6.40269e-01;7.27848e-03;6.40228e-01
6.10000e+07;6.51097e-01;7.31439e-03;6.51056e-01
6.20000e+07;6.61929e-01;7.35044e-03;6.61888e-01
6.30000e+07;6.72765e-01;7.38663e-03;6.72724e-01
6.40000e+07;6.83606e-01;7.42298e-03;6.83565e-01
6.50000e+07;6.94451e-01;7.45948e-03;6.94411e-01
6.60000e+07;7.05301e-01;7.49615e-03;7.05261e-01
6.70000e+07;7.16156e-01;7.53299e-03;7.16117e-01
6.80000e+07;7.27017e-01;7.57000e-03;7.26977e-01
6.90000e+07;7.37883e-01;7.60720e-03;7.37843e-01
7.00000e+07;7.48754e-01;7.64458e-03;7.48715e-01
7.10000e+07;7.59631e-01;7.68216e-03;7.59592e-01
7.20000e+07;7.70513e-01;7.71994e-03;7.70475e-01
7.30000e+07;7.81402e-01;7.75793e-03;7.81363e-01
7.40000e+07;7.92297e-01;7.79613e-03;7.92258e-01
7.50000e+07;8.03198e-01;7.83455e-03;8.03159e-01
7.60000e+07;8.14105e-01;7.87320e-03;8.14067e-01
7.70000e+07;8.25019e-01;7.91209e-03;8.24981e-01
7.80000e+07;8.35939e-01;7.95122e-03;8.35902e-01
7.90000e+07;8.46867e-01;7.99060e-03;8.46829e-01
8.00000e+07;8.57801e-01;8.03024e-03;8.57764e-01
8.10000e+07;8.68743e-01;8.07015e-03;8.68705e-01
8.20000e+07;8.79692e-01;8.11033e-03;8.79654e-01
8.30000e+07;8.90648e-01;8.15079e-03;8.90611e-01
8.40000e+07;9.01612e-01;8.19154e-03;9.01575e-01
8.50000e+07;9.12584e-01;8.23259e-03;9.12547e-01
8.60000e+07;9.23563e-01;8.27395e-03;9.23526e-01
8.70000e+07;9.34551e-01;8.31561e-03;9.34514e-01
8.80000e+07;9.45547e-01;8.35761e-03;9.45510e-01
8.90000e+07;9.56551e-01;8.39993e-03;9.56514e-01
9.00000e+07;9.67564e-01;8.44260e-03;9.67527e-01
9.10000e+07;9.78585e-01;8.48561e-03;9.78549e-01
9.20000e+07;9.89616e-01;8.52898e-03;9.89579e-01
9.30000e+07;1.00065e+00;8.57273e-03;1.00062e+00
9.40000e+07;1.01170e+00;8.61684e-03;1.01167e+00
9.50000e+07;1.02276e+00;8.66135e-03;1.02272e+00
9.60000e+07;1.03383e+00;8.70625e-03;1.03379e+00
9.70000e+07;1.04491e+00;8.75156e-03;1.04487e+00
9.80000e+07;1.05599e+00;8.79728e-03;1.05596e+00
9.90000e+07;1.06709e+00;8.84343e-03;1.06705e+00
1.00000e+08;1.07820e+00;8.89002e-03;1.07816e+00
1.10000e+08;1.18986e+00;9.38237e-03;1.18982e+00
1.20000e+08;1.30274e+00;9.93162e-03;1.30270e+00
1.30000e+08;1.41705e+00;1.05528e-02;1.41701e+00
1.40000e+08;1.53303e+00;1.12652e-02;1.53299e+00
1.50000e+08;1.65098e+00;1.20953e-02;1.65094e+00
1.60000e+08;1.77127e+00;1.30798e-02;1.77122e+00
1.70000e+08;1.89438e+00;1.42735e-02;1.89433e+00
1.80000e+08;2.02096e+00;1.57633e-02;2.02089e+00
1.90000e+08;2.15193e+00;1.76989e-02;2.15186e+00
2.00000e+08;2.28875e+00;2.03709e-02;2.28866e+00
2.10000e+08;2.43398e+00;2.44412e-02;2.43385e+00
2.20000e+08;2.59299e+00;3.18250e-02;2.59280e+00
2.30000e+08;2.78080e+00;5.07036e-02;2.78033e+00
2.40000e+08;3.05821e+00;1.57100e-01;3.05417e+00
2.50000e+08;2.70330e+00;3.89905e-01;2.67503e+00
2.60000e+08;2.99269e+00;8.18483e-02;2.99158e+00
2.70000e+08;3.25326e+00;6.41396e-02;3.25262e+00
2.80000e+08;3.51055e+00;7.56090e-02;3.50973e+00
2.90000e+08;3.81299e+00;1.09730e-01;3.81141e+00
3.00000e+08;4.23158e+00;2.01398e-01;4.22678e+00
3.10000e+08;4.98788e+00;5.72442e-01;4.95492e+00
3.20000e+08;6.09154e+00;3.47866e+00;5.00058e+00
3.30000e+08;2.59039e+00;1.01162e+00;2.38469e+00
3.40000e+08;3.34248e+00;3.29620e-01;3.32619e+00
3.50000e+08;3.91008e+00;2.13758e-01;3.90424e+00
3.60000e+08;4.39909e+00;2.03368e-01;4.39439e+00
3.70000e+08;4.92452e+00;2.49863e-01;4.91818e+00
3.80000e+08;5.59469e+00;3.82870e-01;5.58157e+00
3.90000e+08;6.63377e+00;7.36005e-01;6.59281e+00
4.00000e+08;8.75844e+00;2.16341e+00;8.48704e+00
4.10000e+08;1.24884e+01;1.03329e+01;7.01379e+00
4.20000e+08;3.50833e+00;3.48692e+00;-3.87002e-01
4.30000e+08;2.13498e+00;1.10571e+00;1.82634e+00
4.40000e+08;3.19578e+00;6.28314e-01;3.13341e+00
4.50000e+08;4.16473e+00;5.59383e-01;4.12699e+00
4.60000e+08;5.27233e+00;8.26380e-01;5.20717e+00
4.70000e+08;7.11075e+00;2.43995e+00;6.67903e+00
4.80000e+08;5.91153e+00;5.43248e+00;2.33116e+00
4.90000e+08;2.49645e+00;1.44706e+00;2.03428e+00
5.00000e+08;3.24658e+00;6.38482e-01;3.18317e+00
5.10000e+08;3.97107e+00;4.25494e-01;3.94821e+00
5.20000e+08;4.58534e+00;3.70267e-01;4.57036e+00
5.30000e+08;5.19730e+00;4.03908e-01;5.18158e+00
5.40000e+08;5.92520e+00;5.63860e-01;5.89831e+00
5.50000e+08;6.99357e+00;1.10084e+00;6.90639e+00
5.60000e+08;8.74311e+00;3.49088e+00;8.01597e+00
5.70000e+08;5.82909e+00;5.01416e+00;2.97262e+00
5.80000e+08;3.55441e+00;1.58977e+00;3.17906e+00
5.90000e+08;4.46766e+00;8.91876e-01;4.37773e+00
6.00000e+08;5.29901e+00;1.09084e+00;5.18552e+00
