#Design: H-shape;Power Bus Pin Impedance Power_GND
#Produced on;2026-07-09 21:51:48;by PI/EMI Analysis 2023.0.0.50417;Zuken GmbH - Germany

Frequency;IC1_Port1(8): Magnitude;IC1_Port1(8): Re;IC1_Port1(8): Img
(Hz);(Ω);;
1.00000e+06;1.60693e-01;5.42631e-03;-1.60601e-01
1.10000e+06;1.43158e-01;5.45853e-03;-1.43054e-01
1.20000e+06;1.28295e-01;5.48956e-03;-1.28177e-01
1.30000e+06;1.15487e-01;5.51952e-03;-1.15355e-01
1.40000e+06;1.04295e-01;5.54854e-03;-1.04147e-01
1.50000e+06;9.43959e-02;5.57673e-03;-9.42310e-02
1.60000e+06;8.55476e-02;5.60417e-03;-8.53638e-02
1.70000e+06;7.75652e-02;5.63094e-03;-7.73606e-02
1.80000e+06;7.03052e-02;5.65712e-03;-7.00772e-02
1.90000e+06;6.36541e-02;5.68278e-03;-6.33999e-02
2.00000e+06;5.75216e-02;5.70797e-03;-5.72377e-02
2.10000e+06;5.18348e-02;5.73274e-03;-5.15168e-02
2.20000e+06;4.65344e-02;5.75717e-03;-4.61769e-02
2.30000e+06;4.15721e-02;5.78128e-03;-4.11682e-02
2.40000e+06;3.69084e-02;5.80514e-03;-3.64490e-02
2.50000e+06;3.25113e-02;5.82879e-03;-3.19845e-02
2.60000e+06;2.83557e-02;5.85228e-03;-2.77452e-02
2.70000e+06;2.44230e-02;5.87566e-03;-2.37057e-02
2.80000e+06;2.07027e-02;5.89897e-03;-1.98445e-02
2.90000e+06;1.71949e-02;5.92226e-03;-1.61429e-02
3.00000e+06;1.39185e-02;5.94559e-03;-1.25847e-02
3.10000e+06;1.09296e-02;5.96900e-03;-9.15578e-03
3.20000e+06;8.37024e-03;5.99256e-03;-5.84382e-03
3.30000e+06;6.56921e-03;6.01631e-03;-2.63789e-03
3.40000e+06;6.05872e-03;6.04033e-03;4.71633e-04
3.50000e+06;6.99884e-03;6.06469e-03;3.49332e-03
3.60000e+06;8.85934e-03;6.08945e-03;6.43480e-03
3.70000e+06;1.11325e-02;6.11469e-03;9.30290e-03
3.80000e+06;1.35723e-02;6.14051e-03;1.21038e-02
3.90000e+06;1.60731e-02;6.16700e-03;1.48429e-02
4.00000e+06;1.85879e-02;6.19427e-03;1.75254e-02
4.10000e+06;2.10944e-02;6.22243e-03;2.01557e-02
4.20000e+06;2.35819e-02;6.25163e-03;2.27381e-02
4.30000e+06;2.60453e-02;6.28200e-03;2.52764e-02
4.40000e+06;2.84825e-02;6.31371e-03;2.77740e-02
4.50000e+06;3.08931e-02;6.34695e-03;3.02341e-02
4.60000e+06;3.32776e-02;6.38194e-03;3.26599e-02
4.70000e+06;3.56369e-02;6.41892e-03;3.50541e-02
4.80000e+06;3.79725e-02;6.45815e-03;3.74193e-02
4.90000e+06;4.02858e-02;6.49996e-03;3.97579e-02
5.00000e+06;4.25784e-02;6.54469e-03;4.20724e-02
5.10000e+06;4.48521e-02;6.59278e-03;4.43650e-02
5.20000e+06;4.71086e-02;6.64469e-03;4.66377e-02
5.30000e+06;4.93496e-02;6.70097e-03;4.88925e-02
5.40000e+06;5.15769e-02;6.76227e-03;5.11316e-02
5.50000e+06;5.37921e-02;6.82933e-03;5.33568e-02
5.60000e+06;5.59971e-02;6.90304e-03;5.55700e-02
5.70000e+06;5.81937e-02;6.98442e-03;5.77731e-02
5.80000e+06;6.03837e-02;7.07468e-03;5.99678e-02
5.90000e+06;6.25689e-02;7.17526e-03;6.21561e-02
6.00000e+06;6.47511e-02;7.28786e-03;6.43397e-02
6.10000e+06;6.69322e-02;7.41449e-03;6.65203e-02
6.20000e+06;6.91142e-02;7.55759e-03;6.86997e-02
6.30000e+06;7.12988e-02;7.72005e-03;7.08796e-02
6.40000e+06;7.34880e-02;7.90536e-03;7.30615e-02
6.50000e+06;7.56833e-02;8.11771e-03;7.52467e-02
6.60000e+06;7.78865e-02;8.36214e-03;7.74363e-02
6.70000e+06;8.00986e-02;8.64473e-03;7.96307e-02
6.80000e+06;8.23201e-02;8.97279e-03;8.18297e-02
6.90000e+06;8.45509e-02;9.35503e-03;8.40318e-02
7.00000e+06;8.67891e-02;9.80176e-03;8.62339e-02
7.10000e+06;8.90309e-02;1.03250e-02;8.84302e-02
7.20000e+06;9.12692e-02;1.09383e-02;9.06114e-02
7.30000e+06;9.34924e-02;1.16562e-02;9.27629e-02
7.40000e+06;9.56826e-02;1.24935e-02;9.48635e-02
7.50000e+06;9.78135e-02;1.34622e-02;9.68827e-02
7.60000e+06;9.98484e-02;1.45682e-02;9.87799e-02
7.70000e+06;1.01739e-01;1.58049e-02;1.00504e-01
7.80000e+06;1.03426e-01;1.71456e-02;1.01995e-01
7.90000e+06;1.04848e-01;1.85357e-02;1.03197e-01
8.00000e+06;1.05950e-01;1.98886e-02;1.04067e-01
8.10000e+06;1.06706e-01;2.10922e-02;1.04600e-01
8.20000e+06;1.07133e-01;2.20289e-02;1.04844e-01
8.30000e+06;1.07305e-01;2.26062e-02;1.04897e-01
8.40000e+06;1.07340e-01;2.27842e-02;1.04894e-01
8.50000e+06;1.07372e-01;2.25855e-02;1.04969e-01
8.60000e+06;1.07518e-01;2.20823e-02;1.05226e-01
8.70000e+06;1.07861e-01;2.13716e-02;1.05722e-01
8.80000e+06;1.08436e-01;2.05492e-02;1.06471e-01
8.90000e+06;1.09244e-01;1.96944e-02;1.07454e-01
9.00000e+06;1.10262e-01;1.88638e-02;1.08636e-01
9.10000e+06;1.11452e-01;1.80926e-02;1.09974e-01
9.20000e+06;1.12777e-01;1.73986e-02;1.11427e-01
9.30000e+06;1.14200e-01;1.67870e-02;1.12959e-01
9.40000e+06;1.15688e-01;1.62544e-02;1.14540e-01
9.50000e+06;1.17216e-01;1.57917e-02;1.16147e-01
9.60000e+06;1.18765e-01;1.53870e-02;1.17764e-01
9.70000e+06;1.20322e-01;1.50271e-02;1.19380e-01
9.80000e+06;1.21879e-01;1.46992e-02;1.20989e-01
9.90000e+06;1.23433e-01;1.43922e-02;1.22591e-01
1.00000e+07;1.24985e-01;1.40977e-02;1.24188e-01
1.10000e+07;1.40971e-01;1.15156e-02;1.40500e-01
1.20000e+07;1.57608e-01;1.00610e-02;1.57287e-01
1.30000e+07;1.74059e-01;9.39133e-03;1.73805e-01
1.40000e+07;1.90208e-01;9.06724e-03;1.89991e-01
1.50000e+07;2.06117e-01;8.90566e-03;2.05924e-01
1.60000e+07;2.21849e-01;8.83010e-03;2.21673e-01
1.70000e+07;2.37448e-01;8.80468e-03;2.37284e-01
1.80000e+07;2.52946e-01;8.81071e-03;2.52793e-01
1.90000e+07;2.68368e-01;8.83766e-03;2.68223e-01
2.00000e+07;2.83732e-01;8.87922e-03;2.83593e-01
2.10000e+07;2.99051e-01;8.93141e-03;2.98917e-01
2.20000e+07;3.14336e-01;8.99161e-03;3.14207e-01
2.30000e+07;3.29597e-01;9.05809e-03;3.29473e-01
2.40000e+07;3.44841e-01;9.12963e-03;3.44721e-01
2.50000e+07;3.60076e-01;9.20538e-03;3.59958e-01
2.60000e+07;3.75305e-01;9.28474e-03;3.75190e-01
2.70000e+07;3.90534e-01;9.36729e-03;3.90422e-01
2.80000e+07;4.05768e-01;9.45271e-03;4.05658e-01
2.90000e+07;4.21010e-01;9.54079e-03;4.20902e-01
3.00000e+07;4.36263e-01;9.63139e-03;4.36157e-01
3.10000e+07;4.51532e-01;9.72441e-03;4.51427e-01
3.20000e+07;4.66818e-01;9.81979e-03;4.66715e-01
3.30000e+07;4.82125e-01;9.91750e-03;4.82023e-01
3.40000e+07;4.97456e-01;1.00175e-02;4.97355e-01
3.50000e+07;5.12812e-01;1.01199e-02;5.12712e-01
3.60000e+07;5.28196e-01;1.02247e-02;5.28097e-01
3.70000e+07;5.43611e-01;1.03319e-02;5.43513e-01
3.80000e+07;5.59059e-01;1.04415e-02;5.58961e-01
3.90000e+07;5.74541e-01;1.05537e-02;5.74444e-01
4.00000e+07;5.90061e-01;1.06686e-02;5.89965e-01
4.10000e+07;6.05620e-01;1.07861e-02;6.05524e-01
