epoch,train_impedance_loss,train_impedance_legacy,train_impedance_peak,val_impedance_loss,val_impedance_legacy,val_impedance_peak
1,1.5852335691452026,1.5852335691452026,0.0,0.311874301829299,0.311874301829299,0.0
25,1.724897861480713,1.724897861480713,0.0,1.3683983561445454,1.3683983561445454,0.0
50,1.7107176780700684,1.7107176780700684,0.0,1.4316830842709931,1.4316830842709931,0.0
75,1.5784186124801636,1.5784186124801636,0.0,1.3766669560162748,1.3766669560162748,0.0
100,1.426161527633667,1.426161527633667,0.0,1.1483513451501972,1.1483513451501972,0.0
125,1.3356192111968994,1.3356192111968994,0.0,1.0728382966557488,1.0728382966557488,0.0
150,1.2638720273971558,1.2638720273971558,0.0,1.0106603041535518,1.0106603041535518,0.0
175,1.2104384899139404,1.2104384899139404,0.0,0.9438330746087872,0.9438330746087872,0.0
200,1.1608470678329468,1.1608470678329468,0.0,0.9899905717275181,0.9899905717275181,0.0
225,1.2320950031280518,1.1024799346923828,0.1296151876449585,0.9684260990775999,0.858566938731514,0.10985915246801298
250,1.3067502975463867,1.065765380859375,0.24098536372184753,0.9848963591407557,0.7855012002782743,0.19939514707590714
275,1.370316982269287,1.0603203773498535,0.30999627709388733,1.0199117665408088,0.7672096857281981,0.25270207898050057
300,1.3345446586608887,1.0354305505752563,0.29911401867866516,1.005683666369954,0.7650980674585358,0.24058559329294768
325,1.319246530532837,1.0238397121429443,0.2954067289829254,0.9661649895496056,0.7331809540752505,0.23298402741307117
350,1.2764930725097656,0.9905723333358765,0.28592127561569214,0.9280992619326858,0.7065516761580451,0.22154758895029786
375,1.2516744136810303,0.9703940153121948,0.2812802195549011,0.878997832292416,0.6700097069632812,0.20898812966512853
400,1.218355417251587,0.9460062980651855,0.2723487615585327,0.8738671243190765,0.665704493639899,0.20816263214486544
425,1.1975739002227783,0.9316999912261963,0.26587367057800293,0.8514793759486714,0.6467731278695044,0.20470625015555835
450,1.1673505306243896,0.9056226015090942,0.26172730326652527,0.8332843311497422,0.6331177595697466,0.20016656620580642
475,1.1640706062316895,0.9042906165122986,0.2597798705101013,0.8194618586634026,0.6179816807146932,0.2014801795976084
500,1.2306934595108032,0.959394633769989,0.2712990641593933,0.9071630786676876,0.6877327936350323,0.2194302850937257
525,1.185734510421753,0.9238982200622559,0.2618362307548523,0.829112026046534,0.627244489359074,0.20186753693174142
550,1.1697889566421509,0.9129840135574341,0.256804883480072,0.8073313776098314,0.6198313414561943,0.1875000412224746
575,1.1200491189956665,0.8740398287773132,0.24600906670093536,0.7890707751522299,0.6113429829233983,0.17772779384719545
500,1.2450599670410156,0.9714328050613403,0.2736266851425171,0.9998180094312449,0.7786326353422931,0.22118536840941086
600,1.1107251644134521,0.867458164691925,0.24326717853546143,0.7548214636865209,0.5799210586997329,0.17490040742960133
525,1.2107112407684326,0.9445271492004395,0.2661845088005066,0.8671312410323346,0.6715802942387393,0.19555095039674494
550,1.1694440841674805,0.9132102131843567,0.25623375177383423,0.8366985440742775,0.645774065226805,0.19092447762606574
575,1.1604140996932983,0.9086704850196838,0.2517436444759369,0.8560408289070989,0.6429610754378506,0.21307975621741326
