#Design: H-shape;Power Bus Pin Impedance Power_GND
#Produced on;2026-07-12 18:12:43;by PI/EMI Analysis 2023.0.0.50417;Zuken GmbH - Germany

Frequency;IC1_Port1(8): Magnitude;IC1_Port1(8): Re;IC1_Port1(8): Img
(Hz);(Ω);;
1.00000e+06;5.07853e-01;1.34348e-02;-5.07675e-01
1.10000e+06;4.58458e-01;1.34561e-02;-4.58261e-01
1.20000e+06;4.17020e-01;1.34779e-02;-4.16802e-01
1.30000e+06;3.81701e-01;1.34999e-02;-3.81462e-01
1.40000e+06;3.51191e-01;1.35220e-02;-3.50930e-01
1.50000e+06;3.24528e-01;1.35440e-02;-3.24245e-01
1.60000e+06;3.00991e-01;1.35659e-02;-3.00685e-01
1.70000e+06;2.80030e-01;1.35877e-02;-2.79700e-01
1.80000e+06;2.61214e-01;1.36093e-02;-2.60859e-01
1.90000e+06;2.44206e-01;1.36307e-02;-2.43825e-01
2.00000e+06;2.28734e-01;1.36519e-02;-2.28326e-01
2.10000e+06;2.14580e-01;1.36729e-02;-2.14144e-01
2.20000e+06;2.01563e-01;1.36937e-02;-2.01098e-01
2.30000e+06;1.89537e-01;1.37142e-02;-1.89040e-01
2.40000e+06;1.78377e-01;1.37346e-02;-1.77847e-01
2.50000e+06;1.67980e-01;1.37547e-02;-1.67416e-01
2.60000e+06;1.58258e-01;1.37747e-02;-1.57658e-01
2.70000e+06;1.49137e-01;1.37945e-02;-1.48498e-01
2.80000e+06;1.40553e-01;1.38141e-02;-1.39872e-01
2.90000e+06;1.32450e-01;1.38335e-02;-1.31726e-01
3.00000e+06;1.24782e-01;1.38527e-02;-1.24011e-01
3.10000e+06;1.17507e-01;1.38718e-02;-1.16685e-01
3.20000e+06;1.10588e-01;1.38907e-02;-1.09713e-01
3.30000e+06;1.03995e-01;1.39095e-02;-1.03061e-01
3.40000e+06;9.76993e-02;1.39282e-02;-9.67014e-02
3.50000e+06;9.16766e-02;1.39467e-02;-9.06095e-02
3.60000e+06;8.59055e-02;1.39651e-02;-8.47628e-02
3.70000e+06;8.03672e-02;1.39834e-02;-7.91413e-02
3.80000e+06;7.50451e-02;1.40015e-02;-7.37274e-02
3.90000e+06;6.99247e-02;1.40196e-02;-6.85049e-02
4.00000e+06;6.49936e-02;1.40375e-02;-6.34596e-02
4.10000e+06;6.02410e-02;1.40553e-02;-5.85784e-02
4.20000e+06;5.56582e-02;1.40731e-02;-5.38497e-02
4.30000e+06;5.12383e-02;1.40907e-02;-4.92627e-02
4.40000e+06;4.69765e-02;1.41083e-02;-4.48079e-02
4.50000e+06;4.28704e-02;1.41258e-02;-4.04763e-02
4.60000e+06;3.89207e-02;1.41432e-02;-3.62600e-02
4.70000e+06;3.51318e-02;1.41606e-02;-3.21515e-02
4.80000e+06;3.15136e-02;1.41779e-02;-2.81442e-02
4.90000e+06;2.80834e-02;1.41951e-02;-2.42317e-02
5.00000e+06;2.48695e-02;1.42122e-02;-2.04084e-02
5.10000e+06;2.19165e-02;1.42293e-02;-1.66691e-02
5.20000e+06;1.92922e-02;1.42464e-02;-1.30089e-02
5.30000e+06;1.70951e-02;1.42634e-02;-9.42323e-03
5.40000e+06;1.54542e-02;1.42803e-02;-5.90801e-03
5.50000e+06;1.45072e-02;1.42972e-02;-2.45937e-03
5.60000e+06;1.43440e-02;1.43141e-02;9.26284e-04
5.70000e+06;1.49485e-02;1.43309e-02;4.25227e-03
5.80000e+06;1.61998e-02;1.43477e-02;7.52171e-03
5.90000e+06;1.79341e-02;1.43645e-02;1.07375e-02
6.00000e+06;2.00023e-02;1.43812e-02;1.39023e-02
6.10000e+06;2.22920e-02;1.43979e-02;1.70186e-02
6.20000e+06;2.47254e-02;1.44146e-02;2.00889e-02
6.30000e+06;2.72503e-02;1.44313e-02;2.31152e-02
6.40000e+06;2.98319e-02;1.44480e-02;2.60998e-02
6.50000e+06;3.24470e-02;1.44646e-02;2.90445e-02
6.60000e+06;3.50797e-02;1.44812e-02;3.19512e-02
6.70000e+06;3.77191e-02;1.44979e-02;3.48216e-02
6.80000e+06;4.03577e-02;1.45145e-02;3.76573e-02
6.90000e+06;4.29901e-02;1.45311e-02;4.04599e-02
7.00000e+06;4.56128e-02;1.45477e-02;4.32307e-02
7.10000e+06;4.82230e-02;1.45644e-02;4.59711e-02
7.20000e+06;5.08191e-02;1.45810e-02;4.86824e-02
7.30000e+06;5.33999e-02;1.45976e-02;5.13659e-02
7.40000e+06;5.59645e-02;1.46143e-02;5.40227e-02
7.50000e+06;5.85125e-02;1.46310e-02;5.66538e-02
7.60000e+06;6.10437e-02;1.46477e-02;5.92602e-02
7.70000e+06;6.35579e-02;1.46644e-02;6.18431e-02
7.80000e+06;6.60554e-02;1.46812e-02;6.44032e-02
7.90000e+06;6.85361e-02;1.46980e-02;6.69415e-02
8.00000e+06;7.10003e-02;1.47148e-02;6.94588e-02
8.10000e+06;7.34484e-02;1.47317e-02;7.19558e-02
8.20000e+06;7.58805e-02;1.47486e-02;7.44334e-02
8.30000e+06;7.82971e-02;1.47655e-02;7.68923e-02
8.40000e+06;8.06986e-02;1.47825e-02;7.93331e-02
8.50000e+06;8.30852e-02;1.47995e-02;8.17565e-02
8.60000e+06;8.54574e-02;1.48166e-02;8.41632e-02
8.70000e+06;8.78156e-02;1.48338e-02;8.65536e-02
8.80000e+06;9.01600e-02;1.48510e-02;8.89285e-02
