epoch,beta,hm_mu_mean,hm_sigma_mean,occ_mu_mean,occ_sigma_mean,imp_mu_mean,imp_sigma_mean,fused_mu_mean,fused_mu_std,fused_sigma_mean,fused_mu_min,fused_mu_max,kl_gaussian,val_recon,val_total
1,0.000000,0.0522,1.0412,0.0124,1.0332,0.0409,1.0063,0.0450,0.2824,0.4450,-0.7831,0.8813,0.4672,12.6633,16.1510
25,0.015000,-0.0063,0.7145,-0.0305,0.8446,0.0967,0.5845,0.0381,0.3607,0.6865,-0.8588,1.0785,1.0697,11.4439,11.6606
50,0.030625,-0.0136,0.6303,-0.0281,0.7607,0.0591,0.4922,0.0077,0.3453,0.7664,-0.8904,1.0554,1.3620,10.0079,10.3700
75,0.046250,-0.0344,0.5860,-0.0258,0.7449,0.0542,0.4769,-0.0181,0.3459,0.8222,-0.9860,0.7988,1.4938,9.0399,9.4865
100,0.061875,-0.0615,0.6117,-0.0295,0.7622,0.0410,0.4846,-0.0337,0.3491,0.8486,-0.9068,0.8200,1.5143,8.7221,9.1903
125,0.077500,-0.0430,0.6137,-0.0278,0.7805,0.0472,0.4862,-0.0279,0.3746,0.8704,-0.8793,0.9072,1.5454,8.2920,8.7959
150,0.093125,-0.0583,0.6260,-0.0265,0.7947,0.0428,0.4773,-0.0358,0.4116,0.8958,-0.9725,1.1632,1.6030,7.9343,8.4868
175,0.101000,-0.0802,0.6384,-0.0359,0.8078,0.0399,0.4891,-0.0467,0.4385,0.9108,-1.2681,1.4285,1.6126,7.8102,8.3734
200,0.102786,-0.0887,0.6488,-0.0289,0.8035,0.0276,0.5071,-0.0554,0.4323,0.9386,-1.4670,1.4685,1.6191,7.6593,8.2112
225,0.104571,-0.1104,0.6481,-0.0192,0.7907,0.0070,0.4963,-0.0787,0.4480,0.9815,-1.7041,1.5047,1.6984,7.6388,8.2329
250,0.106357,-0.1139,0.6470,-0.0000,0.7875,-0.0015,0.4975,-0.0804,0.4576,0.9987,-1.9374,1.4595,1.7348,7.4734,8.0855
275,0.108143,-0.1330,0.6359,0.0127,0.7770,-0.0285,0.5058,-0.1046,0.4667,1.0100,-2.1730,1.4625,1.7607,7.3717,7.9931
300,0.109929,-0.1526,0.6332,0.0239,0.7686,-0.0430,0.5123,-0.1162,0.4787,1.0228,-2.4010,1.4177,1.7897,7.2447,7.8771
325,0.110000,-0.1429,0.6159,0.0312,0.7611,-0.0413,0.5128,-0.1176,0.4872,1.0472,-2.5031,1.3787,1.8427,7.2450,7.9001
350,0.110000,-0.1203,0.6124,0.0275,0.7576,-0.0375,0.5172,-0.1119,0.4801,1.0570,-2.4331,1.4271,1.8510,7.1550,7.8109
375,0.110000,-0.1183,0.6221,0.0271,0.7577,-0.0353,0.5191,-0.1073,0.4774,1.0694,-2.4941,1.3675,1.8674,7.1290,7.7847
400,0.110000,-0.1142,0.6256,0.0190,0.7600,-0.0372,0.5250,-0.1090,0.4748,1.0697,-2.3905,1.3691,1.8606,7.1800,7.8275
425,0.110000,-0.1200,0.6208,0.0145,0.7544,-0.0397,0.5248,-0.1183,0.4694,1.0881,-2.4352,1.3295,1.8877,7.0905,7.7437
450,0.110000,-0.1091,0.6235,0.0154,0.7487,-0.0423,0.5251,-0.1154,0.4724,1.0896,-2.4488,1.3042,1.8880,7.1024,7.7537
475,0.110000,-0.0994,0.6066,0.0157,0.7465,-0.0329,0.5316,-0.1014,0.4675,1.0989,-2.4861,1.3364,1.9022,7.1634,7.8198
500,0.110000,-0.1024,0.6274,0.0219,0.7344,-0.0418,0.5279,-0.1142,0.4741,1.1005,-2.4732,1.3347,1.9067,7.0684,7.7256
