candidate_id,mhz,k,badness,quality_score,uncertainty,heatmap_mc_mse,decoder_mc_rce,peak_bias_score,p99_var,peak_loc_spread_px,pred_p99_mean,selected_reason
743,120.0,3,29.325597750309687,-29.325597750309687,29.325597750309687,17.507028569186215,5.951394157129662,0.0,37.41409627582057,29.268156757814456,9.939548969268799,worst_uncertainty_stratified_mhz
1277,150.0,3,4.333058160904353,-4.333058160904353,4.333058160904353,0.02611558289570166,0.011356931263079819,0.0,0.08649845522326327,42.79219408957666,4.404133468866348,worst_uncertainty_stratified_mhz
1406,150.0,3,4.3206574666549615,-4.3206574666549615,4.3206574666549615,0.005538243933976134,0.008792324796141828,0.0,0.07675717005596638,42.79219408957666,4.4212846159935,worst_uncertainty_stratified_mhz
15,150.0,3,3.908021730720421,-3.908021730720421,3.908021730720421,0.049611434782795956,0.013971233793320695,0.0,0.1348909305954713,38.27450195626326,4.651910960674286,worst_uncertainty_stratified_mhz
531,150.0,3,3.138542493036129,-3.138542493036129,3.138542493036129,0.04384276467721828,0.028625120119631812,0.0,0.09905639014010248,30.499743851383407,4.573066413402557,worst_uncertainty_stratified_mhz
499,155.0,3,96.2931318266609,-96.2931318266609,96.0431318266609,0.0077588189849828815,0.011813517938208147,80.00011380989396,0.0666722089559606,0.0,4.605717718601227,worst_uncertainty_stratified_mhz
1553,155.0,3,94.5450387566072,-94.5450387566072,94.2950387566072,0.00921892327844386,0.007466205194840734,78.56141635638025,0.022385972397241716,0.0,4.662845194339752,worst_uncertainty_stratified_mhz
1542,155.0,3,92.78881262131885,-92.78881262131885,92.53881262131885,0.033868381074788664,0.018146257177538913,77.03473393489001,0.17555833833099754,0.0,4.724041402339935,worst_uncertainty_stratified_mhz
762,155.0,3,92.74384362614035,-92.74384362614035,92.49384362614035,0.027440071114851732,0.014762853160128616,77.02854454940717,0.08738819809381937,0.0,4.724290728569031,worst_uncertainty_stratified_mhz
62,155.0,3,91.8652600040127,-91.8652600040127,91.6152600040127,0.03408166278749828,0.009115508259345621,76.28356097766837,0.1508375792135972,0.0,4.754374325275421,worst_uncertainty_stratified_mhz
1411,155.0,3,90.21787824252581,-90.21787824252581,89.96787824252581,0.011066670406064514,0.009873831561881596,74.94654824855249,0.04126551233854059,0.0,4.808735728263855,worst_uncertainty_stratified_mhz
1124,155.0,3,89.52130019568921,-89.52130019568921,89.27130019568921,0.06637914412063495,0.01307196928514122,74.33721737554846,0.08696172878050845,0.0,4.83367121219635,worst_uncertainty_stratified_mhz
626,155.0,3,89.50540291615837,-89.50540291615837,89.25540291615837,0.014348234009628027,0.01851277407393868,74.3085649663115,0.15362496277504079,0.0,4.834846258163452,worst_uncertainty_stratified_mhz
1200,155.0,3,89.12623882196644,-89.12623882196644,88.87623882196644,0.023157828901467243,0.025369175919206698,71.45860765496973,0.09169151360070771,30.499743851383407,4.95287811756134,worst_uncertainty_stratified_mhz
876,155.0,3,88.78007151062305,-88.78007151062305,88.53007151062305,0.005095406415167218,0.008915398263084219,73.7461199924065,0.05737305924807501,0.0,4.857958376407623,worst_uncertainty_stratified_mhz
51,170.0,3,4.352221235141277,-4.352221235141277,4.352221235141277,0.022341481867406945,0.014002874518212367,0.0,0.13260612554125828,42.79219408957666,5.157172203063965,worst_uncertainty_stratified_mhz
1260,170.0,3,4.3316029556655335,-4.3316029556655335,4.3316029556655335,0.01357297345136211,0.011861880073676542,0.0,0.08913566638431902,42.79219408957666,4.3631317019462585,worst_uncertainty_stratified_mhz
471,180.0,3,4.472064329763986,-4.472064329763986,4.472064329763986,0.020578070441903545,0.04427564000044716,0.0,0.34653412341478074,42.79219408957666,5.044608056545258,worst_uncertainty_stratified_mhz
948,180.0,3,4.404761305739636,-4.404761305739636,4.404761305739636,0.0365632148232161,0.0212103302515865,0.0,0.24167313628224463,42.79219408957666,5.277673363685608,worst_uncertainty_stratified_mhz
1535,180.0,3,3.4331996378183813,-3.4331996378183813,3.4331996378183813,0.04985474398666099,0.07243482818386178,0.0,1.1109152462592213,29.23263373355196,6.001886427402496,worst_uncertainty_stratified_mhz
48,180.0,3,3.328107012483076,-3.328107012483076,3.328107012483076,0.032856553233786355,0.05899973172520449,0.0,0.5183396898528052,30.499743851383407,5.898794233798981,worst_uncertainty_stratified_mhz
