epoch,train_heatmap_loss,train_tier_a,train_peak_log1p,train_valley_log1p,val_heatmap_loss,val_tier_a,val_peak_log1p,val_valley_log1p
1,1.8877543210983276,1.8877543210983276,0.0,0.0,1.237140333906133,1.237140333906133,0.0,0.0
5,1.1184048652648926,1.1184048652648926,0.0,0.0,0.49645772094422197,0.49645772094422197,0.0,0.0
10,1.0286283493041992,1.0286283493041992,0.0,0.0,0.33383762874501816,0.33383762874501816,0.0,0.0
15,1.0335639715194702,1.0335639715194702,0.0,0.0,0.2548855654102691,0.2548855654102691,0.0,0.0
20,1.0173735618591309,1.0173735618591309,0.0,0.0,0.24281843215861218,0.24281843215861218,0.0,0.0
25,0.951799750328064,0.951799750328064,0.0,0.0,0.1899456780641637,0.1899456780641637,0.0,0.0
30,0.9463686943054199,0.9463686943054199,0.0,0.0,0.17598689813563165,0.17598689813563165,0.0,0.0
35,0.8668586015701294,0.8668586015701294,0.0,0.0,0.1488680252052368,0.1488680252052368,0.0,0.0
40,0.8716729879379272,0.8716729879379272,0.0,0.0,0.1395926129627735,0.1395926129627735,0.0,0.0
45,0.8912397027015686,0.8912397027015686,0.0,0.0,0.12609458492791398,0.12609458492791398,0.0,0.0
50,0.8191548585891724,0.8191548585891724,0.0,0.0,0.11297628178875498,0.11297628178875498,0.0,0.0
55,0.8279238343238831,0.8279238343238831,0.0,0.0,0.12752369176200096,0.12752369176200096,0.0,0.0
60,0.8183964490890503,0.8183964490890503,0.0,0.0,0.1394461417451818,0.1394461417451818,0.0,0.0
65,0.806667685508728,0.806667685508728,0.0,0.0,0.09853714114808022,0.09853714114808022,0.0,0.0
70,0.7995777130126953,0.7995777130126953,0.0,0.0,0.0925994170472977,0.0925994170472977,0.0,0.0
75,0.7711297273635864,0.7711297273635864,0.0,0.0,0.09158018259926046,0.09158018259926046,0.0,0.0
30,0.8978204727172852,0.8978204727172852,0.0,0.0,0.1543809361280279,0.1543809361280279,0.0,0.0
35,0.8694651126861572,0.8694651126861572,0.0,0.0,0.13085494513841386,0.13085494513841386,0.0,0.0
40,0.8855728507041931,0.8855728507041931,0.0,0.0,0.140723609956021,0.140723609956021,0.0,0.0
45,0.8598546385765076,0.8598546385765076,0.0,0.0,0.10801893507546567,0.10801893507546567,0.0,0.0
50,0.8063159584999084,0.8063159584999084,0.0,0.0,0.10030407667794126,0.10030407667794126,0.0,0.0
55,0.8156481981277466,0.8156481981277466,0.0,0.0,0.09995572043860212,0.09995572043860212,0.0,0.0
60,0.8224115371704102,0.8224115371704102,0.0,0.0,0.10079998776633689,0.10079998776633689,0.0,0.0
65,0.7497714161872864,0.7497714161872864,0.0,0.0,0.08591291571551181,0.08591291571551181,0.0,0.0
