mhz,k,sample,label,mae_ohm,rmse_ohm,median_abs_diff_ohm,p95_abs_diff_ohm,max_abs_diff_ohm,nrmse_ohm,mape_pct,real_max_ohm,gen_max_ohm,max_diff_ohm,real_p95_ohm,gen_p95_ohm,real_mean_ohm,gen_mean_ohm,max_ratio,mean_ratio,pearson_r,spearman_rho,pattern_mae,pattern_rmse,peak_loc_err_px,peak_real_ohm,peak_gen_ohm
30.0,3,0,sample_0,0.512808527549231,0.5477831615581806,0.49652390635147753,0.849723257252154,1.3514316620670215,0.4193911143160909,89.8747987118723,1.4536946358524219,0.12068378925323486,1.333010846599187,0.9003213772058388,0.09123013019561767,0.5656937347079333,0.052885207158702235,0.083018665871645,0.09348734821326381,0.19239022681694423,0.1801838378951074,0.21539489666865957,0.2542239782683918,88.3911760301898,1.4536946358524219,0.12068378925323486
30.0,4,0,sample_0,0.24255595696670093,0.27106339404991125,0.21036107174963511,0.4775503674394256,0.9552323499101545,0.2670832003674124,66.19511250910533,1.1449818292039777,0.19222044944763184,0.9527613797563459,0.6241634212564302,0.14949989318847653,0.35318950900639867,0.11063355203969773,0.16788078600449816,0.31324133140572247,0.9269253102847868,0.9126650975817973,0.21305290307291364,0.21990393743417308,63.0,1.1449818292039777,0.19222044944763184
30.0,5,0,sample_0,0.20816277208824963,0.23180007378989959,0.1711913792072386,0.4247066394268697,0.959524884354549,0.22383519556560133,62.156246078719604,1.1711075450295978,0.21158266067504883,0.959524884354549,0.5891166252182495,0.17209657430648803,0.32663431470034987,0.11847154261210026,0.1806688562233637,0.3627039085614276,0.7910542428044873,0.8118465465437978,0.25791912114824544,0.28658554594903923,0.0,1.1711075450295978,0.21158266067504883
30.0,6,0,sample_0,0.20521450635524205,0.22719955036059897,0.17014911882566525,0.39830141531843255,0.8871716455662653,0.23711891625171383,69.64773416454815,1.0758495525563165,0.18867790699005127,0.8871716455662653,0.5220127026415049,0.12799422144889833,0.28883143747690815,0.08361693112166611,0.17537573589330904,0.28950079621561703,0.9074850661542241,0.899914981624222,0.11172100163237514,0.133242340572145,0.0,1.0758495525563165,0.18867790699005127
30.0,7,0,sample_0,0.20183701029841694,0.22142779996669776,0.17059894650712232,0.3899236140081314,0.924908257693712,0.22632042816916903,70.9399522160161,1.11227080938286,0.18736255168914795,0.924908257693712,0.5111222073023045,0.12340281009674071,0.27969513345387964,0.07785812315546271,0.16845047996279386,0.2783678149634346,0.9407152219264692,0.8773670267007719,0.07386999455394364,0.09425055171919429,0.0,1.11227080938286,0.18736255168914795
30.0,8,0,sample_0,0.20362967410406177,0.225814664381208,0.16770824799598416,0.4096699779725586,0.9088892962950004,0.23225494771362812,71.78038378406899,1.097222926856829,0.1883336305618286,0.9088892962950004,0.5316403711460945,0.12488787174224851,0.27936299615508337,0.07573332205102161,0.17164573028139368,0.2710928902300991,0.9469874077848007,0.927497077538316,0.09171455425542613,0.11100225746500739,0.0,1.097222926856829,0.1883336305618286
30.0,9,0,sample_0,0.20932882146866053,0.23354639797066923,0.17415168280333315,0.4118348198264974,0.8695060709063747,0.2527142980667083,72.86869088298789,1.042818734938357,0.17331266403198242,0.8695060709063747,0.5282984095307843,0.11755070090293884,0.28260492442835344,0.07327610295969289,0.16619634671429953,0.2592881320377345,0.9630965085337708,0.9577107764244819,0.09368604999788226,0.11260388738467753,0.0,1.042818734938357,0.17331266403198242
30.0,10,0,sample_0,0.18301200093736983,0.201460333081619,0.15131556522702772,0.3606459233639227,0.8320926390638306,0.22755588420797898,71.51263443933277,1.0078937970151856,0.17580115795135498,0.8320926390638306,0.4706951808630618,0.11254717707633971,0.2523989957899783,0.06938699485260845,0.1744242880271504,0.27490994817723247,0.8858690262756114,0.8999513440797543,0.0766757928779951,0.11172687373301034,0.0,1.0078937970151856,0.17580115795135498
85.0,3,0,sample_0,5.849978950655029,6.428575441572229,6.209266554822859,9.399206404039498,9.72043311020812,0.6034431260761312,83.59464227634233,10.894333323735026,2.522160530090332,8.372172793644694,10.63447544338123,1.3494112014770507,6.681501412584644,0.8510717778425394,0.23151123204532462,0.12737732513826028,0.6624774352629635,0.7278868638395154,0.3740216825328445,0.41338513367058194,56.32051136131489,10.894333323735026,2.522160530090332
85.0,4,0,sample_0,0.43975807810157136,0.5529663656759765,0.33013945067095807,1.0124779406075342,1.4155361226098648,0.13772335158160617,23.571438585889723,4.483559327413332,3.246882915496826,1.2366764119165055,2.953072222212064,2.105787110328674,1.7291282263047483,1.3714060458617332,0.7241752987731798,0.793119923091251,0.8433790760364138,0.8240837915528928,0.0687717339419173,0.09126674774635139,63.0,4.483559327413332,3.246882915496826
85.0,5,0,sample_0,0.11729715808426464,0.145860514242874,0.10200170168312833,0.26195359958615044,0.4940215490442037,0.04283883439633998,11.761187477022725,3.797009213782313,3.7392449378967285,0.057764275885584304,2.1411688283814403,2.2009978413581845,1.1663504301238707,1.264299052752259,0.984786901312772,1.0839787255173265,0.9737618398799299,0.9471790675658479,0.01494060643132383,0.031124387162899815,0.0,3.797009213782313,3.7392449378967285
85.0,6,0,sample_0,0.15678065379289322,0.22165293470322683,0.12365882487802532,0.5701162214583211,0.9837792258024072,0.07886208620634207,18.346223111733092,3.219069076435062,3.1365199089050293,0.08254916753003272,1.6894325278466333,1.8325122714042663,0.948896710273186,1.0545051927333111,0.974356198773637,1.1112960781892907,0.8686986273386639,0.840615829939878,0.04503302820505489,0.07989799796147432,0.0,3.219069076435062,3.1365199089050293
85.0,7,0,sample_0,0.14678351925521638,0.1897862437435273,0.12773832156511633,0.4389967187199359,0.8243578428945747,0.06304684776652131,18.87463986504115,3.4382413557813365,3.3470005989074707,0.09124075687386579,1.6689967859991728,1.8396038651466369,0.8846422278872565,1.014849384591018,0.9734629575319236,1.1471862325798399,0.9268457784031019,0.8284522000777376,0.019531012224444724,0.050199105137373246,0.0,3.4382413557813365,3.3470005989074707
85.0,8,0,sample_0,0.07160680176981248,0.12403637259524324,0.03418331392378943,0.33913991329749793,0.6823056710914364,0.042149873244423465,8.475954205690723,3.3519841770560492,2.995539426803589,0.35644475025246036,1.644471487466745,1.6207038283348083,0.8629249757829086,0.8843583696997249,0.8936615653819955,1.0248380734343334,0.943811526899742,0.9379252644116923,0.020103680630024594,0.05509549771825898,0.0,3.3519841770560492,2.995539426803589
85.0,9,0,sample_0,0.09592867063058867,0.14985979295346605,0.05619075563914022,0.39551968399867543,0.7282003980492138,0.05661010618533963,12.631102181942541,2.9956560462453927,2.7327804565429688,0.262875589702424,1.5763475178718256,1.6002797722816464,0.8378318136056738,0.8848301838466893,0.9122477395120514,1.0560952323339865,0.9253500088709273,0.9011355141222924,0.033441904047354615,0.06719891461446277,0.0,2.9956560462453927,2.7327804565429688
85.0,10,0,sample_0,0.08954097305119002,0.14192534547649563,0.05014588786988694,0.36921207749423013,0.6989082646182833,0.049369502810153815,12.00358924121378,3.2579960011862568,2.8766305446624756,0.3813654565237812,1.5512047382309155,1.597220492362976,0.8085344112742324,0.85939970171396,0.8829447745224599,1.0629104831290543,0.9299381303644576,0.9160610174179024,0.028525977763544454,0.06317241128305598,0.0,3.2579960011862568,2.8766305446624756
160.0,3,0,sample_0,0.24074353226632644,0.3554757295957768,0.13677234415487932,0.8385987362892852,1.5800464143147357,0.05398388184037562,16.198714337660714,6.825071591976126,5.338907718658447,1.486163873317679,3.358975949679152,2.7478503704071042,1.420799293619558,1.194461371862527,0.7822493356604665,0.8406967664092627,0.9706987049775868,0.9765958063099348,0.009646655534685605,0.028804297123273113,0.0,6.825071591976126,5.338907718658447
160.0,4,0,sample_0,0.22867864365106272,0.282409305846731,0.18825555058869303,0.5535969566653476,0.9695754671867407,0.05033066875652432,47.04660697171975,5.672284303473134,5.275941848754883,0.39634245471825125,2.5594474479538873,2.7699399471282957,1.0395061252584925,1.2474597006133108,0.93012648282182,1.2000503607452113,0.9708836529005149,0.9597683958614878,0.0256626807386585,0.04678055145532511,0.0,5.672284303473134,5.275941848754883
160.0,5,0,sample_0,0.7329828981864293,0.9807543198322167,0.536379034392181,2.2685464383280487,2.71452439133851,0.22418337616091363,144.01400738359084,4.5165480557986335,6.357104778289795,-1.8405567224911614,1.7084497695208563,3.5213128328323364,0.7221421176448475,1.4413343719043932,1.407514035000278,1.9959151207037718,0.703935610066581,0.6801740859254181,0.07726775091310806,0.1167511280497571,0.0,4.5165480557986335,6.357104778289795
160.0,6,0,sample_0,2.3935541936933795,2.8674041253336062,2.007009256303946,5.911521114703837,6.60123433301098,0.363713815334095,64.06112444836073,8.60011106437159,4.776288986206055,3.823822078165536,7.969619671356237,2.606299901008606,3.536039461846146,1.1690228830128562,0.5553752678838291,0.33060232942154893,0.35507769105876846,0.23905089502769916,0.21320305804993772,0.26923054504900723,80.62257748298549,8.60011106437159,4.776288986206055
160.0,7,0,sample_0,1.002206168710194,1.4430350228276536,0.5058600642535682,3.4541922624987444,3.904390138496243,0.29458855100912107,69.82343329306859,5.0665714308964525,4.676109790802002,0.3904616400944505,4.56418636334362,2.0363979697227474,1.5080524824766917,0.9078227016197774,0.922933754034656,0.6019834933919872,0.17852064747400503,0.1747015578152649,0.20392776256923467,0.2969481503082686,53.33854141237835,5.0665714308964525,4.676109790802002
160.0,8,0,sample_0,5.73008937823168,8.679365916198428,3.0548280854581717,21.731081529565145,24.42377484796173,0.31793176975564336,68.36696479243597,27.933206426827056,4.896730899810791,23.036475527016265,25.37265331179375,3.572660756111145,7.067977782399065,1.5641070019740324,0.1753014252996022,0.2212948385136451,0.639948052287657,0.2378279811970066,0.15444717015227652,0.21237079137423479,60.00833275470999,27.933206426827056,4.896730899810791
160.0,9,0,sample_0,0.5183210658734069,0.6413873808155004,0.4030045336713016,1.3232358377695579,1.8753364155982126,0.09635071125841974,21.236718988897753,7.56222940189582,5.686892986297607,1.8753364155982126,4.686950532446147,3.4762236356735228,2.331866308262133,1.97819333438412,0.7520127576230267,0.8483305099332241,0.8887766975197167,0.8792877873161924,0.04362475033863325,0.08787912655130238,0.0,7.56222940189582,5.686892986297607
160.0,10,0,sample_0,1.0146090299097916,1.5436963623728346,0.6096999882098012,3.9689113724734746,5.151393154228675,0.13597297649051412,29.051865468581966,12.1730925737979,7.062289237976074,5.110803335821826,7.9244928578045934,4.035777807235717,2.780163497565801,1.9512650959002666,0.5801557159909695,0.7018526419790475,0.8810199510227135,0.7527129042545483,0.05178671431504625,0.08363647983441048,0.0,12.1730925737979,7.062289237976074
260.0,3,0,sample_0,1.2530282093221847,2.4460739596654797,0.5166423687838371,7.526047659189389,9.320077613144086,0.11198043643077,42.40123821491404,21.91744415426882,15.86113166809082,6.056312486178001,17.62754995961859,12.958943271636961,3.9656716058210844,3.3114984373112657,0.7236761529515099,0.8350410135953823,0.9382796855726779,0.9195425270390213,0.056933705081348616,0.09079816170977657,60.13318551349163,21.91744415426882,15.86113166809082
260.0,4,0,sample_0,1.7605638559197638,2.8650923001233464,0.7596259350201817,7.019711996642382,9.717624689473801,0.10219911911879209,57.20089878036859,28.15211121404893,24.340049743652344,3.8120614703965856,22.35531643825654,18.716157913207994,5.051008645576662,4.593414914774728,0.8645905651120678,0.9094054746466007,0.9407649315436611,0.9001449707019874,0.04030872161408182,0.08779829037383548,1.4142135623730951,28.15211121404893,24.340049743652344
260.0,5,0,sample_0,0.46360903539412396,0.644341568540499,0.3293264414843048,1.408516560786184,3.444991054878871,0.08324989893239082,30.464164199777173,7.840181407584508,11.285172462463379,-3.444991054878871,3.888833091873891,5.192695975303647,1.5584414769031485,1.9634627644276563,1.4394019571468364,1.2598886730923926,0.9809672889560627,0.973097359453786,0.007855894475252766,0.02670101435769992,0.0,7.840181407584508,11.285172462463379
260.0,6,0,sample_0,3.326766829687007,4.866487595643578,1.7772080925616847,10.466997748053341,14.643396144580947,0.16623820130241698,106.72495580252728,29.469500880801206,22.29631996154785,7.173180919253355,18.408939364345677,17.60738935470581,4.86925502057503,4.73078683935679,0.7565896705116394,0.9715627584439215,0.6233967530474935,0.49814241853667857,0.11768524442470976,0.19931824133605347,0.0,29.469500880801206,22.29631996154785
