epoch,beta,hm_mu_mean,hm_sigma_mean,occ_mu_mean,occ_sigma_mean,imp_mu_mean,imp_sigma_mean,fused_mu_mean,fused_mu_std,fused_sigma_mean,fused_mu_min,fused_mu_max,kl_gaussian,val_recon,val_total
1,0.000000,0.0188,1.0003,-0.0102,1.0036,0.0226,0.9972,0.0074,0.1913,0.4978,-0.3913,0.5263,0.3615,12.9467,91.7581
25,0.030000,-0.0488,0.8635,-0.0094,1.0061,0.0610,0.8931,-0.0007,0.4746,0.5697,-1.1822,1.2174,0.6497,19.9363,20.0657
50,0.061250,-0.0483,0.7928,0.0104,0.9886,0.0400,0.8484,-0.0081,0.4177,0.6362,-1.2795,1.0279,0.7405,10.2914,10.4649
75,0.092500,0.0085,0.8004,0.0258,0.9658,0.0265,0.8261,0.0173,0.3600,0.6702,-1.1197,0.8589,0.7611,8.6683,8.8593
100,0.104750,0.0247,0.8481,0.0276,0.9449,0.0162,0.8125,0.0219,0.3135,0.6817,-0.9755,0.8825,0.7592,7.9740,8.1776
125,0.111000,0.0228,0.8433,0.0194,0.9201,0.0096,0.7911,0.0113,0.2879,0.6831,-0.9279,0.8394,0.7854,8.2782,8.4953
150,0.117250,0.0199,0.8634,0.0158,0.9109,0.0158,0.7874,0.0132,0.2686,0.6915,-0.8382,0.7112,0.7912,8.1636,8.3872
175,0.120000,0.0163,0.8528,0.0161,0.9044,0.0069,0.7702,0.0047,0.2612,0.7004,-0.8290,0.8184,0.8198,8.0206,8.2538
200,0.120000,0.0140,0.8681,0.0157,0.8995,0.0139,0.7703,0.0108,0.2413,0.6983,-0.7274,0.7319,0.8107,7.8722,8.1020
225,0.112000,0.0045,0.8676,0.0147,0.8927,0.0070,0.7216,0.0171,0.2365,0.7011,-0.7008,0.7553,0.8573,7.5065,7.7461
250,0.115571,0.0064,0.9015,0.0121,0.8968,0.0006,0.6942,0.0233,0.2181,0.7168,-0.5699,0.5829,0.8865,7.2693,7.5210
275,0.120000,-0.0311,0.8813,0.1981,1.0564,0.0698,0.7427,-0.0229,0.2360,0.8275,-0.7655,0.3352,0.8797,7.8789,8.1259
300,0.120000,-0.0480,0.9228,0.2051,1.0816,0.0957,0.7358,-0.0122,0.1476,0.8609,-0.4086,0.2118,0.8764,7.4215,7.6591
325,0.120000,-0.0601,0.9245,0.2061,1.0924,0.1130,0.7342,-0.0230,0.1594,0.8663,-0.5240,0.2122,0.8845,7.1462,7.3830
350,0.120000,-0.0549,0.9023,0.2053,1.1051,0.1257,0.7293,-0.0136,0.1472,0.8798,-0.4456,0.2319,0.9057,7.1396,7.3785
