epoch,beta,hm_mu_mean,hm_sigma_mean,occ_mu_mean,occ_sigma_mean,imp_mu_mean,imp_sigma_mean,fused_mu_mean,fused_mu_std,fused_sigma_mean,fused_mu_min,fused_mu_max,kl_gaussian,val_recon,val_total
1,0.000000,-0.1652,0.9886,0.0033,1.0069,-0.0171,0.9822,-0.0557,0.2419,0.4402,-0.7746,0.4663,0.4618,5.6400,325.4569
25,0.015000,0.2158,0.7322,0.0108,0.8932,0.1340,0.7978,0.1938,1.0987,0.8066,-2.0979,3.2328,1.8768,8.0911,13.5964
50,0.030625,0.2567,0.7243,-0.0361,0.8218,0.1330,0.7197,0.1476,0.8982,0.9363,-1.4473,2.6886,1.9353,8.7027,10.7427
75,0.046250,0.2215,0.7332,-0.0407,0.7769,0.1554,0.6772,0.1316,0.7501,0.9683,-1.1049,2.1396,1.8810,8.2760,10.3192
100,0.061875,0.1993,0.7418,-0.0661,0.7534,0.1497,0.6857,0.0900,0.6677,1.0305,-1.0572,1.7868,1.8902,8.0536,9.4733
125,0.077500,0.2356,0.7745,-0.0590,0.7487,0.1181,0.6602,0.0766,0.6104,0.9774,-1.0675,1.6331,1.7678,7.7457,9.3393
150,0.093125,0.1956,0.8014,-0.0412,0.7348,0.1354,0.6714,0.0675,0.4990,1.0050,-1.0183,1.4612,1.7193,7.4728,8.9637
175,0.101000,0.1828,0.8029,-0.0636,0.7044,0.1744,0.6110,0.0441,0.4722,0.9898,-1.1667,1.0875,1.7324,7.3782,9.9683
200,0.102786,0.1358,0.7432,-0.0781,0.6848,0.1709,0.6095,0.0642,0.5219,1.1338,-1.2242,1.5703,2.0357,7.2793,9.3317
225,0.104571,0.0807,0.6810,-0.0905,0.6735,0.1804,0.5782,0.0998,0.5347,1.1992,-1.1068,1.7669,2.2599,8.1060,18.7091
250,0.106357,0.0870,0.6471,-0.1117,0.6779,0.2078,0.5592,0.1297,0.5494,1.1881,-1.1136,1.5484,2.2380,8.2560,13.7586
275,0.108143,0.1252,0.6153,-0.1423,0.6809,0.2070,0.5579,0.1492,0.6197,1.2143,-1.2406,1.9058,2.3377,8.2100,24.5866
300,0.109929,0.0987,0.5825,-0.1332,0.6955,0.2324,0.5407,0.1800,0.5477,1.2735,-1.1610,1.5005,2.4489,8.1654,18.0958
325,0.110000,0.1050,0.5661,-0.1445,0.7011,0.2327,0.5485,0.1904,0.6078,1.2488,-1.1978,1.6751,2.4515,8.0516,12.0804
350,0.110000,-0.0141,0.5259,-0.1368,0.7080,0.2064,0.5406,0.1331,0.5503,1.3199,-1.3926,1.6936,2.5573,7.6413,10.6635
375,0.110000,0.0640,0.5286,-0.1668,0.7157,0.2289,0.5381,0.1850,0.5882,1.3247,-1.3509,1.5547,2.5565,7.4471,21.5789
400,0.110000,0.0643,0.5151,-0.1778,0.7161,0.1879,0.5410,0.1627,0.6099,1.3181,-1.3774,1.6052,2.5685,7.2407,11.4558
425,0.110000,0.0666,0.5225,-0.1769,0.7204,0.1789,0.5360,0.1496,0.5885,1.3385,-1.3700,1.4283,2.5798,7.1193,9.3515
450,0.110000,0.0789,0.5184,-0.1876,0.7230,0.1711,0.5353,0.1509,0.5855,1.3428,-1.3783,1.3973,2.5883,6.9771,8.8907
475,0.110000,0.0657,0.5043,-0.1971,0.7241,0.1818,0.5260,0.1835,0.6412,1.3820,-1.4072,1.6262,2.7033,6.9927,8.9465
500,0.110000,0.0687,0.5128,-0.1894,0.7269,0.1774,0.5297,0.1802,0.5844,1.3597,-1.3732,1.3914,2.6107,6.8057,9.2157
525,0.110000,0.0679,0.4940,-0.2060,0.7293,0.1788,0.5276,0.1685,0.6361,1.3680,-1.4532,1.6512,2.6729,6.7474,14.0006
550,0.110000,0.0778,0.4917,-0.1854,0.7323,0.1484,0.5280,0.1693,0.5914,1.3567,-1.4134,1.5288,2.6103,6.7120,11.3685
575,0.110000,0.0850,0.5031,-0.1906,0.7376,0.1519,0.5283,0.1763,0.5852,1.3881,-1.3541,1.3406,2.6463,6.6110,9.2613
600,0.110000,0.0932,0.4978,-0.2115,0.7408,0.1590,0.5253,0.1643,0.5841,1.4112,-1.2822,1.3477,2.7080,6.5350,8.9681
