mhz,k,sample,label,mae_ohm,rmse_ohm,median_abs_diff_ohm,p95_abs_diff_ohm,max_abs_diff_ohm,nrmse_ohm,mape_pct,real_max_ohm,gen_max_ohm,real_p95_ohm,gen_p95_ohm,real_mean_ohm,gen_mean_ohm,max_ratio,mean_ratio,pearson_r,spearman_rho,pattern_mae,pattern_rmse,peak_loc_err_px,peak_real_ohm,peak_gen_ohm
10.0,7,0,sample_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3424196002559857,0.2936286926269531,0.1436309478023834,0.1420582354068756,0.07000009937749863,0.07286804904054095,0.8575113469189336,1.0409706513068784,0.9717430328746585,0.9256937657640304,0.013997355900753157,0.034466014760863035,0.0,0.3424196002559857,0.2936286926269531
10.0,8,0,sample_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3489107640700695,0.30641186237335205,0.16115552527430152,0.1581584930419922,0.0809000514371115,0.08074254707578735,0.8781954984679616,0.9980530993673522,0.977536874470704,0.9733490790933133,0.008094583472478356,0.02449047842753912,0.0,0.3489107640700695,0.30641186237335205
10.0,9,0,sample_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3210826867569896,0.28778696060180664,0.15867380905880146,0.15756430625915524,0.08203605924295171,0.0834937423189759,0.8963017081628487,1.0177688091002424,0.9808525904082139,0.971789146043214,0.01289618822079791,0.03183637635134814,63.0,0.3210826867569896,0.28778696060180664
10.0,10,0,sample_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33562942355417213,0.2982228994369507,0.1576928238231904,0.14987599849700925,0.0804911131955882,0.07840418506474484,0.8885481382379937,0.9740725646845974,0.9740916912744242,0.9631327188802872,0.00770109073693318,0.02466429440650584,0.0,0.33562942355417213,0.2982228994369507
10.0,11,0,sample_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3153816997861192,0.2849104404449463,0.13976823438025465,0.14563754796981807,0.0731187351695348,0.0761362819960623,0.903382918660666,1.0412691332738586,0.9451078891214031,0.9344920552491418,0.019270523127746644,0.04137737834970025,0.0,0.3153816997861192,0.2849104404449463
10.0,12,0,sample_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31788678988322205,0.288959264755249,0.13499762932555318,0.14562339782714837,0.06940283198391049,0.07544323927039033,0.9090005434368639,1.0870340173997535,0.9759026922133188,0.945986863398837,0.010318554376385384,0.027905517961367535,0.0,0.31788678988322205,0.288959264755249
10.0,13,0,sample_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3280227981070617,0.27948105335235596,0.13232537440958156,0.14419978260993957,0.06643169937505518,0.0731425672630608,0.8520171615057608,1.1010190609473633,0.9735562716038673,0.9322946484850874,0.020589704830758164,0.042902808125688995,0.0,0.3280227981070617,0.27948105335235596
10.0,14,0,sample_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31262159124639766,0.3008314371109009,0.13436347315005898,0.13607324361801146,0.06754466720648733,0.07084227685050253,0.9622861809112724,1.0488211694630791,0.9063351500964537,0.825349379696274,0.026662949346758925,0.04662948599347901,0.0,0.31262159124639766,0.3008314371109009
10.0,15,0,sample_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32579220615547416,0.3041386604309082,0.14827776043522947,0.15063541531562802,0.07206667649354295,0.0758005827665329,0.9335357159703431,1.051811828360428,0.9800817767718547,0.9453368737255896,0.005612226414853779,0.021216829022934234,63.0,0.32579220615547416,0.3041386604309082
10.0,16,0,sample_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33020958073245943,0.2673913240432739,0.14853014911398058,0.1262299060821533,0.07397386337142864,0.06879818911874766,0.8097624649477334,0.9300337441253608,0.935902435110358,0.8652068858119366,0.016426625171831653,0.03604966580527851,63.0,0.33020958073245943,0.2673913240432739
10.0,17,0,sample_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3166015019694723,0.29338622093200684,0.1403055437851848,0.14302030205726615,0.07145764580259809,0.07467628560421906,0.9266734968310291,1.045042623017731,0.9865790778456287,0.9613802348013515,0.005162565956592101,0.018555579569595332,0.0,0.3166015019694723,0.29338622093200684
70.0,7,0,sample_0,0.0014387461456765787,0.022267269176911363,0.0,0.0,0.5143008868846319,0.009660691172319632,0.07708138390830782,2.6685386340770147,2.154237747192383,1.29823103740642,1.192322528362274,0.7102696749021563,0.6760201941142271,0.8072724597961398,0.9517796099169695,0.9899358444864164,0.9765522468598816,0.0069344881730673885,0.021567185707598552,0.0,2.6685386340770147,2.154237747192383
