#Design: H-shape;Power Bus Pin Impedance Power_GND
#Produced on;2026-05-25 15:51:16;by PI/EMI Analysis 2023.0.0.50417;Zuken GmbH - Germany

Frequency;IC1_Port1(8): Magnitude;IC1_Port1(8): Re;IC1_Port1(8): Img
(Hz);(Ω);;
1.00000e+06;8.98702e-02;3.86772e-03;-8.97869e-02
1.10000e+06;7.86672e-02;3.90676e-03;-7.85702e-02
1.20000e+06;6.90663e-02;3.94508e-03;-6.89535e-02
1.30000e+06;6.06967e-02;3.98294e-03;-6.05659e-02
1.40000e+06;5.32940e-02;4.02060e-03;-5.31422e-02
1.50000e+06;4.66643e-02;4.05830e-03;-4.64875e-02
1.60000e+06;4.06627e-02;4.09629e-03;-4.04558e-02
1.70000e+06;3.51788e-02;4.13480e-03;-3.49350e-02
1.80000e+06;3.01282e-02;4.17408e-03;-2.98376e-02
1.90000e+06;2.54460e-02;4.21439e-03;-2.50946e-02
2.00000e+06;2.10843e-02;4.25600e-03;-2.06503e-02
2.10000e+06;1.70117e-02;4.29921e-03;-1.64595e-02
2.20000e+06;1.32192e-02;4.34431e-03;-1.24850e-02
2.30000e+06;9.74180e-03;4.39167e-03;-8.69574e-03
2.40000e+06;6.73717e-03;4.44166e-03;-5.06568e-03
2.50000e+06;4.76187e-03;4.49471e-03;-1.57258e-03
2.60000e+06;4.89528e-03;4.55128e-03;1.80265e-03
2.70000e+06;6.85868e-03;4.61191e-03;5.07659e-03
2.80000e+06;9.49559e-03;4.67719e-03;8.26378e-03
2.90000e+06;1.23280e-02;4.74779e-03;1.13771e-02
3.00000e+06;1.52134e-02;4.82449e-03;1.44282e-02
3.10000e+06;1.81054e-02;4.90815e-03;1.74275e-02
3.20000e+06;2.09889e-02;4.99979e-03;2.03847e-02
3.30000e+06;2.38602e-02;5.10056e-03;2.33087e-02
3.40000e+06;2.67213e-02;5.21178e-03;2.62081e-02
3.50000e+06;2.95760e-02;5.33501e-03;2.90909e-02
3.60000e+06;3.24300e-02;5.47205e-03;3.19650e-02
3.70000e+06;3.52894e-02;5.62499e-03;3.48382e-02
3.80000e+06;3.81610e-02;5.79630e-03;3.77182e-02
3.90000e+06;4.10521e-02;5.98888e-03;4.06129e-02
4.00000e+06;4.39706e-02;6.20618e-03;4.35304e-02
4.10000e+06;4.69248e-02;6.45229e-03;4.64791e-02
4.20000e+06;4.99238e-02;6.73211e-03;4.94678e-02
4.30000e+06;5.29774e-02;7.05151e-03;5.25060e-02
4.40000e+06;5.60965e-02;7.41760e-03;5.56039e-02
4.50000e+06;5.92930e-02;7.83902e-03;5.87725e-02
4.60000e+06;6.25804e-02;8.32633e-03;6.20240e-02
4.70000e+06;6.59735e-02;8.89253e-03;6.53714e-02
4.80000e+06;6.94894e-02;9.55373e-03;6.88295e-02
4.90000e+06;7.31472e-02;1.03300e-02;7.24141e-02
5.00000e+06;7.69688e-02;1.12466e-02;7.61427e-02
5.10000e+06;8.09793e-02;1.23353e-02;8.00343e-02
5.20000e+06;8.52072e-02;1.36370e-02;8.41088e-02
5.30000e+06;8.96848e-02;1.52037e-02;8.83867e-02
5.40000e+06;9.44488e-02;1.71027e-02;9.28874e-02
5.50000e+06;9.95396e-02;1.94214e-02;9.76265e-02
5.60000e+06;1.05000e-01;2.22733e-02;1.02611e-01
5.70000e+06;1.10875e-01;2.58062e-02;1.07830e-01
5.80000e+06;1.17201e-01;3.02104e-02;1.13241e-01
5.90000e+06;1.24000e-01;3.57268e-02;1.18742e-01
6.00000e+06;1.31256e-01;4.26480e-02;1.24134e-01
6.10000e+06;1.38877e-01;5.13004e-02;1.29055e-01
6.20000e+06;1.46642e-01;6.19814e-02;1.32899e-01
6.30000e+06;1.54107e-01;7.48093e-02;1.34732e-01
6.40000e+06;1.60522e-01;8.94452e-02;1.33293e-01
6.50000e+06;1.64799e-01;1.04722e-01;1.27247e-01
6.60000e+06;1.65682e-01;1.18447e-01;1.15849e-01
6.70000e+06;1.62225e-01;1.27871e-01;9.98297e-02
6.80000e+06;1.54380e-01;1.30989e-01;8.17010e-02
6.90000e+06;1.43224e-01;1.27753e-01;6.47484e-02
7.00000e+06;1.30521e-01;1.19965e-01;5.14198e-02
7.10000e+06;1.17999e-01;1.10067e-01;4.25323e-02
7.20000e+06;1.06879e-01;1.00040e-01;3.76176e-02
7.30000e+06;9.77796e-02;9.10476e-02;3.56538e-02
7.40000e+06;9.08284e-02;8.35680e-02;3.55835e-02
7.50000e+06;8.58098e-02;7.76468e-02;3.65280e-02
