epoch,train_impedance_loss,train_impedance_legacy,train_impedance_peak,val_impedance_loss,val_impedance_legacy,val_impedance_peak
1,1.3654522895812988,1.3654522895812988,0.0,0.38083812442231685,0.38083812442231685,0.0
25,0.7670865654945374,0.7670865654945374,0.0,0.4877650288825339,0.4877650288825339,0.0
50,0.5428448915481567,0.5428448915481567,0.0,0.35812456049817676,0.35812456049817676,0.0
75,0.4758797287940979,0.4529683589935303,0.022911448031663895,0.32268870003679967,0.3002433916355701,0.022445310596772964
100,0.41854241490364075,0.3954113721847534,0.023131033405661583,0.2825393038227203,0.2605545125109084,0.021984792064796102
125,0.38354527950286865,0.36057862639427185,0.022966690361499786,0.25491728649494494,0.23348650031901422,0.02143078363956289
150,0.3603624701499939,0.3378681242465973,0.022494355216622353,0.2367415522007232,0.21581478848102245,0.02092676179760948
175,0.34372714161872864,0.32151684165000916,0.022210124880075455,0.21978771477303607,0.1993639459001257,0.020423769780454484
200,0.3268905282020569,0.30499184131622314,0.021898699924349785,0.20789879953607598,0.18785628879323918,0.02004251081020908
225,0.3166138827800751,0.29511478543281555,0.021499233320355415,0.20270949411899486,0.1830302338016794,0.01967926053528456
250,0.3087390065193176,0.2875061631202698,0.021232737228274345,0.19301046659337714,0.17369900358484147,0.019311464264830377
275,0.2989788353443146,0.2779644727706909,0.021014349535107613,0.1863021915263318,0.1675275983328515,0.01877459287247125
300,0.29106447100639343,0.27027052640914917,0.02079383097589016,0.17796948685290967,0.159553151625268,0.018416335826065947
325,0.28373831510543823,0.26313337683677673,0.020604945719242096,0.17171732016066288,0.15374970696073897,0.01796761328314847
350,0.27998441457748413,0.25956976413726807,0.02041465975344181,0.16768162669019496,0.15019942205002967,0.01748220355824587
375,0.27466967701911926,0.25429636240005493,0.020373240113258362,0.16064550768821798,0.1434758150514136,0.017169692375241442
400,0.27072033286094666,0.2504033148288727,0.02031700126826763,0.15990123070300893,0.143005855603421,0.01689537486972961
425,0.26640892028808594,0.24591690301895142,0.020492006093263626,0.15694871354610362,0.14032406331376826,0.01662465065242128
450,0.2588079869747162,0.23837260901927948,0.020435361191630363,0.14905905977208564,0.13291873367542917,0.016140326330477888
475,0.25254905223846436,0.23218993842601776,0.020359035581350327,0.14480287439011513,0.12878186832717126,0.01602100537733195
500,0.24764037132263184,0.22730474174022675,0.020335596054792404,0.14193566118149048,0.12603725657818166,0.015898404115850622
525,0.24692341685295105,0.22644297778606415,0.020480401813983917,0.13725593958763366,0.121757813210183,0.015498125703727945
550,0.2429710328578949,0.222598597407341,0.020372506231069565,0.13857684639540124,0.12306318073830706,0.015513665336085126
575,0.23833157122135162,0.21786443889141083,0.02046714909374714,0.13455589055380923,0.11886147298711411,0.015694415993354423
600,0.2360019087791443,0.2154802829027176,0.020521612837910652,0.1313054026758417,0.11581310782026737,0.015492293274307505
625,0.2328331172466278,0.21216006577014923,0.020673053339123726,0.13018046246564136,0.1146605354674319,0.015519925361459559
650,0.22706788778305054,0.20640669763088226,0.020661160349845886,0.1264165536520329,0.11107764003124643,0.015338913569266492
675,0.2261178195476532,0.20555420219898224,0.020563563331961632,0.12595378556784162,0.11045867975087877,0.015495104873751072
700,0.22313737869262695,0.20256829261779785,0.02056906931102276,0.12494641596332509,0.10971298699683331,0.015233428657371947
725,0.2204916775226593,0.19977505505084991,0.020716536790132523,0.11845098274185302,0.10338186498018022,0.015069117369328408
750,0.21707241237163544,0.19646388292312622,0.020608510822057724,0.11842431128025055,0.10306036738639182,0.015363944405095375
775,0.21257340908050537,0.19186125695705414,0.020712124183773994,0.11919313536045399,0.10385366881147344,0.015339466802617337
800,0.21301662921905518,0.19225318729877472,0.020763365551829338,0.11425694693276223,0.09915551061325885,0.015101435804303657
825,0.211374893784523,0.19051335752010345,0.020861562341451645,0.11215471986760485,0.09706327109894854,0.015091448752804005
850,0.2109776735305786,0.19013161957263947,0.020846033468842506,0.11125775274444134,0.09595921061774518,0.01529854195232087
875,0.20377151668071747,0.18301163613796234,0.02076001837849617,0.11134742403284033,0.09625838998150318,0.015089034138524787
900,0.20426908135414124,0.1835024207830429,0.020766720175743103,0.10987861635203057,0.09481421651992392,0.015064399982703492
