candidate_id,mhz,k,badness,quality_score,uncertainty,heatmap_mc_mse,p99_var,peak_loc_spread_px,pred_p99_mean,selected_reason
748,120.0,3,1.9105465018849894,-1.9105465018849894,1.9105465018849894,1.9105465018849894,3.434757953838447,23.47871376374779,3.428106188774109,worst_uncertainty_stratified_mhz
1479,150.0,3,0.11527075457316911,-0.11527075457316911,0.11527075457316911,0.11527075457316911,0.0776090632870263,23.47871376374779,4.660658200581868,worst_uncertainty_stratified_mhz
316,150.0,3,0.07396730672751914,-0.07396730672751914,0.07396730672751914,0.07396730672751914,0.06664113370589399,0.0,4.306427637736003,worst_uncertainty_stratified_mhz
1541,150.0,3,0.07185033552533795,-0.07185033552533795,0.07185033552533795,0.07185033552533795,0.2745520128723658,0.0,4.308951298395793,worst_uncertainty_stratified_mhz
1390,150.0,3,0.06853588969908433,-0.06853588969908433,0.06853588969908433,0.06853588969908433,0.5109143569024595,0.0,4.460264126459758,worst_uncertainty_stratified_mhz
298,150.0,3,0.06710747999478905,-0.06710747999478905,0.06710747999478905,0.06710747999478905,0.0359462232190266,0.0,4.323488314946492,worst_uncertainty_stratified_mhz
370,155.0,3,0.11110373881513812,-0.11110373881513812,0.11110373881513812,0.11110373881513812,0.5664759866949428,0.0,4.720929463704427,worst_uncertainty_stratified_mhz
536,155.0,3,0.07566924912695898,-0.07566924912695898,0.07566924912695898,0.07566924912695898,0.38804147180545573,0.0,4.5659884214401245,worst_uncertainty_stratified_mhz
735,155.0,3,0.07463697492097615,-0.07463697492097615,0.07463697492097615,0.07463697492097615,0.44537149740961807,0.0,4.878566066424052,worst_uncertainty_stratified_mhz
396,155.0,3,0.06939775616092733,-0.06939775616092733,0.06939775616092733,0.06939775616092733,0.46620778914178457,0.0,4.239201744397481,worst_uncertainty_stratified_mhz
1359,155.0,3,0.06523103710438362,-0.06523103710438362,0.06523103710438362,0.06523103710438362,0.3862843657377731,23.10603576749783,3.893020828564962,worst_uncertainty_stratified_mhz
247,155.0,3,0.062132721839212465,-0.062132721839212465,0.062132721839212465,0.062132721839212465,0.16075856391682444,23.47871376374779,4.303188920021057,worst_uncertainty_stratified_mhz
408,155.0,3,0.06147111042188351,-0.06147111042188351,0.06147111042188351,0.06147111042188351,0.08152233471133741,0.0,5.331166982650757,worst_uncertainty_stratified_mhz
1570,155.0,3,0.05412015409991946,-0.05412015409991946,0.05412015409991946,0.05412015409991946,0.09111341864786482,0.0,4.5640034675598145,worst_uncertainty_stratified_mhz
1337,170.0,3,0.14232137808637918,-0.14232137808637918,0.14232137808637918,0.14232137808637918,0.5403466235398611,0.0,5.120635390281677,worst_uncertainty_stratified_mhz
1355,170.0,3,0.1239006211319583,-0.1239006211319583,0.1239006211319583,0.1239006211319583,0.37823623853385396,0.0,6.22827410697937,worst_uncertainty_stratified_mhz
839,170.0,3,0.08854865887732218,-0.08854865887732218,0.08854865887732218,0.08854865887732218,0.47727082720397124,23.47871376374779,4.6810866594314575,worst_uncertainty_stratified_mhz
842,180.0,3,0.1451513823266434,-0.1451513823266434,0.1451513823266434,0.1451513823266434,0.3581351066067289,23.47871376374779,5.703022718429565,worst_uncertainty_stratified_mhz
956,180.0,3,0.12541471117463662,-0.12541471117463662,0.12541471117463662,0.12541471117463662,0.25998264398913307,0.0,4.46610689163208,worst_uncertainty_stratified_mhz
833,180.0,3,0.11904534219251965,-0.11904534219251965,0.11904534219251965,0.11904534219251965,0.43201422989195254,0.0,4.462083578109741,worst_uncertainty_stratified_mhz
1530,180.0,3,0.11252060860874265,-0.11252060860874265,0.11252060860874265,0.11252060860874265,0.3963651193998443,0.0,5.906030734380086,worst_uncertainty_stratified_mhz
1398,180.0,3,0.11037466693003097,-0.11037466693003097,0.11037466693003097,0.11037466693003097,0.15995654246879415,0.0,6.146386543909709,worst_uncertainty_stratified_mhz
296,200.0,3,0.27809239977349537,-0.27809239977349537,0.27809239977349537,0.27809239977349537,1.2277463604766392,0.0,5.93087363243103,worst_uncertainty_stratified_mhz
1587,200.0,3,0.2671804334667798,-0.2671804334667798,0.2671804334667798,0.2671804334667798,1.1341788393291317,23.47871376374779,5.296903689702352,worst_uncertainty_stratified_mhz
1502,200.0,3,0.2481638282244708,-0.2481638282244708,0.2481638282244708,0.2481638282244708,1.0704550307087985,0.0,7.265932401021321,worst_uncertainty_stratified_mhz
345,200.0,3,0.21445901531064843,-0.21445901531064843,0.21445901531064843,0.21445901531064843,0.6139238473468949,0.0,4.203076283137004,worst_uncertainty_stratified_mhz
1180,200.0,3,0.21022567709105874,-0.21022567709105874,0.21022567709105874,0.21022567709105874,0.8100218444655084,0.0,5.185564835866292,worst_uncertainty_stratified_mhz
