epoch,beta,hm_mu_mean,hm_sigma_mean,occ_mu_mean,occ_sigma_mean,imp_mu_mean,imp_sigma_mean,fused_mu_mean,fused_mu_std,fused_sigma_mean,fused_mu_min,fused_mu_max,kl_gaussian,val_recon,val_total
190,0.030000,0.0094,0.6238,-0.0028,1.1048,-0.0127,1.1303,-0.0045,0.1467,1.6000,-0.4634,0.4286,2.2068,0.8253,1.0364
195,0.030000,0.0178,0.6254,-0.0028,1.1084,-0.0113,1.1315,0.0058,0.1369,1.6094,-0.4426,0.4532,2.2245,0.7819,0.9973
200,0.030000,0.0224,0.6247,0.0010,1.1062,-0.0137,1.1462,0.0072,0.1405,1.5974,-0.4908,0.5044,2.2044,0.7782,0.9894
205,0.030000,0.0296,0.6255,-0.0020,1.1103,-0.0138,1.1386,0.0112,0.1388,1.6067,-0.4044,0.4571,2.2302,0.8307,1.0518
210,0.030000,0.0270,0.6256,0.0026,1.1152,-0.0127,1.1513,0.0070,0.1282,1.6124,-0.3831,0.3950,2.2367,0.8235,1.0374
215,0.030000,0.0254,0.6287,-0.0075,1.1134,-0.0169,1.1511,-0.0012,0.1174,1.5955,-0.5221,0.2947,2.1961,0.7597,0.9763
220,0.030000,0.0309,0.6304,-0.0097,1.1124,-0.0145,1.1585,0.0046,0.1106,1.6016,-0.4454,0.3873,2.2105,0.7228,0.9379
225,0.030000,0.0314,0.6305,-0.0051,1.1183,-0.0103,1.1534,0.0077,0.1294,1.5903,-0.3608,0.3811,2.1883,0.8028,1.0150
230,0.030000,0.0399,0.6294,0.0012,1.1201,0.0047,1.1577,0.0137,0.1167,1.5940,-0.3274,0.4391,2.1997,0.8049,1.0192
235,0.030000,0.0470,0.6384,-0.0009,1.1212,-0.0044,1.1582,0.0030,0.1281,1.5880,-0.3781,0.3365,2.1739,0.7403,0.9462
240,0.030000,0.0387,0.6401,-0.0083,1.1226,-0.0096,1.1565,0.0053,0.0954,1.5810,-0.2975,0.2660,2.1542,0.6943,0.8979
245,0.030000,0.0315,0.6389,-0.0063,1.1269,-0.0123,1.1662,-0.0016,0.0930,1.5710,-0.2407,0.2821,2.1376,0.7172,0.9181
250,0.030000,0.0526,0.6381,-0.0143,1.1241,-0.0212,1.1627,0.0077,0.1102,1.5656,-0.2933,0.3782,2.1326,0.6833,0.8827
255,0.030000,0.0418,0.6397,-0.0049,1.1255,-0.0056,1.1664,0.0095,0.1009,1.5778,-0.4464,0.2459,2.1571,0.6876,0.8965
260,0.030000,0.0388,0.6452,-0.0123,1.1280,-0.0042,1.1647,0.0100,0.0938,1.5675,-0.3839,0.3208,2.1274,0.7008,0.9113
265,0.030000,0.0577,0.6451,-0.0174,1.1324,-0.0085,1.1683,0.0159,0.0900,1.5710,-0.2747,0.3287,2.1378,0.6596,0.8650
270,0.030000,0.0329,0.6439,-0.0221,1.1340,-0.0126,1.1671,0.0007,0.0911,1.5644,-0.2906,0.3470,2.1241,0.7143,0.9124
275,0.030000,0.0341,0.6476,-0.0086,1.1327,-0.0081,1.1728,0.0026,0.0893,1.5323,-0.2083,0.3362,2.0527,0.6848,0.8747
