epoch,train_impedance_loss,train_impedance_legacy,train_impedance_peak,val_impedance_loss,val_impedance_legacy,val_impedance_peak
1,0.898409746505402,0.898409746505402,0.0,0.17094874683937994,0.17094874683937994,0.0
25,1.0086016668068183,1.0086016668068183,0.0,0.8289499091946222,0.8289499091946222,0.0
50,0.7392744511475057,0.7392744511475057,0.0,0.5888178032987258,0.5888178032987258,0.0
75,0.6145668785213988,0.6145668785213988,0.0,0.46251482920709,0.46251482920709,0.0
100,0.5431274950722635,0.5431274950722635,0.0,0.38966240271244174,0.38966240271244174,0.0
125,0.5024281229291644,0.5024281229291644,0.0,0.34716517171439004,0.34716517171439004,0.0
150,0.47013235627076566,0.47013235627076566,0.0,0.3143911275014379,0.3143911275014379,0.0
175,0.4422831729654864,0.4422831729654864,0.0,0.2965749566461526,0.2965749566461526,0.0
200,0.4247764398108472,0.4247764398108472,0.0,0.2788861085192051,0.2788861085192051,0.0
225,0.49390613301333053,0.4163276261680729,0.07757850788233481,0.33387743248269447,0.2754584973544077,0.0584189381961729
250,0.531822511673847,0.4026222464802501,0.12920026382902167,0.3569660554913914,0.2624587606565625,0.09450729527309829
275,0.5155295477463648,0.3903136992410862,0.12521584812319758,0.3570502957487418,0.2631910850409589,0.09385920880861531
300,0.49597686256244505,0.37511974769634204,0.12085711920545214,0.3291960676121556,0.24300195578656164,0.0861941106568754
325,0.4881073660029596,0.36906143422528503,0.11904593169580012,0.3388757202165579,0.24907860559186126,0.08979711623168458
350,0.4848304862504477,0.36610761535910025,0.11872287211946515,0.32142871647488835,0.23675014146792342,0.08467857510435815
375,0.4613577420021588,0.34711617482450857,0.11424156706848423,0.30734679307423385,0.22542857802381702,0.08191821305385602
400,0.44889638199037685,0.3381759735035809,0.11072040914179204,0.2924109349648158,0.21423020997857736,0.07818072425578934
425,0.5233604878514677,0.3986214464837378,0.12473904292334567,0.3431786721438364,0.25570421475990146,0.0874744559230368
425,0.5345192373672247,0.4070263317216447,0.1274929050178755,0.33800258628683155,0.25146721994954774,0.08653536935647328
450,0.5041336639896854,0.382922656697668,0.12121100666431281,0.32767929351018144,0.24553153503174877,0.08214775867321912
450,0.5070490018352047,0.3844885928726895,0.12256040773439757,0.3300262463638206,0.2458819024313509,0.08414434276375116
475,0.4813432607240293,0.3636519308491941,0.11769133080274631,0.3188167300099641,0.2367101258117389,0.08210660405213537
475,0.48648079181765463,0.3682924588739654,0.11818833630054425,0.31567249111100737,0.23418104940769718,0.08149144209288305
