#Design: ProKI_design;Power Bus Pin Impedance Power_GND
#Produced on;2026-04-12 16:50:57;by PI/EMI Analysis 2023.0.0.50417;Zuken GmbH - Germany

Frequency;IC1_Port1(8): Magnitude;IC1_Port1(8): Re;IC1_Port1(8): Img
(Hz);(Ω);;
1.00000e+06;1.01035e-01;3.80867e-03;-1.00963e-01
1.10000e+06;8.95074e-02;3.83413e-03;-8.94252e-02
1.20000e+06;7.96982e-02;3.85885e-03;-7.96047e-02
1.30000e+06;7.12110e-02;3.88297e-03;-7.11050e-02
1.40000e+06;6.37622e-02;3.90661e-03;-6.36424e-02
1.50000e+06;5.71443e-02;3.92992e-03;-5.70090e-02
1.60000e+06;5.12013e-02;3.95299e-03;-5.10485e-02
1.70000e+06;4.58144e-02;3.97593e-03;-4.56416e-02
1.80000e+06;4.08912e-02;3.99886e-03;-4.06952e-02
1.90000e+06;3.63591e-02;4.02188e-03;-3.61360e-02
2.00000e+06;3.21603e-02;4.04509e-03;-3.19049e-02
2.10000e+06;2.82489e-02;4.06862e-03;-2.79544e-02
2.20000e+06;2.45882e-02;4.09257e-03;-2.42452e-02
2.30000e+06;2.11496e-02;4.11708e-03;-2.07451e-02
2.40000e+06;1.79123e-02;4.14228e-03;-1.74267e-02
2.50000e+06;1.48639e-02;4.16831e-03;-1.42675e-02
2.60000e+06;1.20047e-02;4.19535e-03;-1.12478e-02
2.70000e+06;9.35835e-03;4.22356e-03;-8.35107e-03
2.80000e+06;7.00253e-03;4.25316e-03;-5.56292e-03
2.90000e+06;5.15726e-03;4.28435e-03;-2.87082e-03
3.00000e+06;4.32545e-03;4.31739e-03;-2.63821e-04
3.10000e+06;4.90793e-03;4.35257e-03;2.26778e-03
3.20000e+06;6.45535e-03;4.39021e-03;4.73261e-03
3.30000e+06;8.40164e-03;4.43067e-03;7.13839e-03
3.40000e+06;1.04938e-02;4.47439e-03;9.49213e-03
3.50000e+06;1.26369e-02;4.52183e-03;1.18002e-02
3.60000e+06;1.47933e-02;4.57358e-03;1.40685e-02
3.70000e+06;1.69473e-02;4.63028e-03;1.63025e-02
3.80000e+06;1.90931e-02;4.69270e-03;1.85074e-02
3.90000e+06;2.12289e-02;4.76174e-03;2.06880e-02
4.00000e+06;2.33558e-02;4.83846e-03;2.28491e-02
4.10000e+06;2.54757e-02;4.92410e-03;2.49953e-02
4.20000e+06;2.75916e-02;5.02017e-03;2.71311e-02
4.30000e+06;2.97071e-02;5.12845e-03;2.92611e-02
4.40000e+06;3.18261e-02;5.25109e-03;3.13899e-02
4.50000e+06;3.39530e-02;5.39071e-03;3.35223e-02
4.60000e+06;3.60925e-02;5.55048e-03;3.56632e-02
4.70000e+06;3.82500e-02;5.73431e-03;3.78178e-02
4.80000e+06;4.04313e-02;5.94701e-03;3.99915e-02
4.90000e+06;4.26426e-02;6.19459e-03;4.21903e-02
5.00000e+06;4.48911e-02;6.48455e-03;4.44203e-02
5.10000e+06;4.71844e-02;6.82639e-03;4.66879e-02
5.20000e+06;4.95310e-02;7.23216e-03;4.90002e-02
5.30000e+06;5.19403e-02;7.71734e-03;5.13638e-02
5.40000e+06;5.44223e-02;8.30182e-03;5.37853e-02
5.50000e+06;5.69870e-02;9.01140e-03;5.62700e-02
5.60000e+06;5.96442e-02;9.87957e-03;5.88203e-02
5.70000e+06;6.24015e-02;1.09497e-02;6.14333e-02
5.80000e+06;6.52611e-02;1.22773e-02;6.40958e-02
5.90000e+06;6.82150e-02;1.39321e-02;6.67771e-02
6.00000e+06;7.12353e-02;1.59966e-02;6.94160e-02
6.10000e+06;7.42594e-02;1.85584e-02;7.19030e-02
6.20000e+06;7.71692e-02;2.16874e-02;7.40590e-02
6.30000e+06;7.97688e-02;2.53857e-02;7.56216e-02
6.40000e+06;8.17791e-02;2.95099e-02;7.62691e-02
6.50000e+06;8.28859e-02;3.36995e-02;7.57260e-02
6.60000e+06;8.28693e-02;3.74082e-02;7.39456e-02
6.70000e+06;8.17566e-02;4.01194e-02;7.12360e-02
6.80000e+06;7.98417e-02;4.16159e-02;6.81382e-02
6.90000e+06;7.75012e-02;4.20211e-02;6.51204e-02
7.00000e+06;7.49931e-02;4.15769e-02;6.24126e-02
7.10000e+06;7.24467e-02;4.04501e-02;6.01026e-02
7.20000e+06;6.99905e-02;3.87433e-02;5.82891e-02
7.30000e+06;6.78248e-02;3.66017e-02;5.71010e-02
7.40000e+06;6.61660e-02;3.42456e-02;5.66143e-02
7.50000e+06;6.51478e-02;3.19103e-02;5.67976e-02
7.60000e+06;6.47789e-02;2.97753e-02;5.75303e-02
7.70000e+06;6.49696e-02;2.79376e-02;5.86561e-02
7.80000e+06;6.55852e-02;2.64218e-02;6.00275e-02
7.90000e+06;6.64910e-02;2.52051e-02;6.15285e-02
8.00000e+06;6.75789e-02;2.42412e-02;6.30815e-02
8.10000e+06;6.87763e-02;2.34804e-02;6.46440e-02
8.20000e+06;7.00424e-02;2.28831e-02;6.61990e-02
8.30000e+06;7.13564e-02;2.24261e-02;6.77407e-02
8.40000e+06;7.27035e-02;2.21001e-02;6.92631e-02
8.50000e+06;7.40652e-02;2.19018e-02;7.07528e-02
8.60000e+06;7.54161e-02;2.18265e-02;7.21886e-02
8.70000e+06;7.67260e-02;2.18623e-02;7.35454e-02
8.80000e+06;7.79634e-02;2.19884e-02;7.47985e-02
8.90000e+06;7.91007e-02;2.21761e-02;7.59286e-02
9.00000e+06;8.01168e-02;2.23913e-02;7.69242e-02
9.10000e+06;8.09990e-02;2.25972e-02;7.77830e-02
9.20000e+06;8.17443e-02;2.27568e-02;7.85128e-02
9.30000e+06;8.23603e-02;2.28359e-02;7.91311e-02
9.40000e+06;8.28654e-02;2.28058e-02;7.96654e-02
9.50000e+06;8.32891e-02;2.26475e-02;8.01509e-02
9.60000e+06;8.36687e-02;2.23541e-02;8.06272e-02
9.70000e+06;8.40449e-02;2.19325e-02;8.11327e-02
9.80000e+06;8.44557e-02;2.14008e-02;8.16993e-02
9.90000e+06;8.49319e-02;2.07845e-02;8.23495e-02
1.00000e+07;8.54940e-02;2.01120e-02;8.30947e-02
1.10000e+07;9.54797e-02;1.40261e-02;9.44439e-02
1.20000e+07;1.08343e-01;1.10253e-02;1.07781e-01
1.30000e+07;1.21091e-01;9.60824e-03;1.20709e-01
1.40000e+07;1.33427e-01;8.84569e-03;1.33133e-01
1.50000e+07;1.45430e-01;8.39117e-03;1.45188e-01
1.60000e+07;1.57187e-01;8.10140e-03;1.56978e-01
1.70000e+07;1.68760e-01;7.90863e-03;1.68574e-01
1.80000e+07;1.80192e-01;7.77719e-03;1.80024e-01
1.90000e+07;1.91516e-01;7.68668e-03;1.91361e-01
2.00000e+07;2.02752e-01;7.62469e-03;2.02608e-01
2.10000e+07;2.13917e-01;7.58322e-03;2.13783e-01
2.20000e+07;2.25025e-01;7.55696e-03;2.24898e-01
2.30000e+07;2.36085e-01;7.54223e-03;2.35964e-01
2.40000e+07;2.47105e-01;7.53639e-03;2.46990e-01
2.50000e+07;2.58090e-01;7.53755e-03;2.57980e-01
2.60000e+07;2.69047e-01;7.54430e-03;2.68941e-01
2.70000e+07;2.79979e-01;7.55555e-03;2.79877e-01
2.80000e+07;2.90889e-01;7.57049e-03;2.90791e-01
2.90000e+07;3.01782e-01;7.58849e-03;3.01687e-01
3.00000e+07;3.12659e-01;7.60903e-03;3.12566e-01
3.10000e+07;3.23523e-01;7.63172e-03;3.23433e-01
3.20000e+07;3.34375e-01;7.65624e-03;3.34287e-01
3.30000e+07;3.45217e-01;7.68234e-03;3.45131e-01
