mhz,k,sample,label,mae_ohm,rmse_ohm,median_abs_diff_ohm,p95_abs_diff_ohm,max_abs_diff_ohm,nrmse_ohm,mape_pct,real_max_ohm,gen_max_ohm,real_p95_ohm,gen_p95_ohm,real_mean_ohm,gen_mean_ohm,max_ratio,mean_ratio,pearson_r,spearman_rho,pattern_mae,pattern_rmse,peak_loc_err_px,peak_real_ohm,peak_gen_ohm
10.0,7,0,sample_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34927003938293977,0.2094947099685669,0.16984837840692235,0.1435301661491394,0.08071304148000583,0.07242622492196676,0.599807273302583,0.8973298935824161,0.9041816696553772,0.8083752426618285,0.07777652600272449,0.11431133006705992,0.0,0.34927003938293977,0.2094947099685669
10.0,8,0,sample_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3522773743864036,0.2272963523864746,0.1564642813563004,0.14118642807006834,0.07644942796874103,0.07017530066705806,0.6452198435462373,0.9179310104943053,0.965080571577963,0.9231370154166093,0.04335998546321005,0.07525111985362659,0.0,0.3522773743864036,0.2272963523864746
10.0,9,0,sample_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3342694336742511,0.20659315586090088,0.15321188911257602,0.13848084211349485,0.07528587497142618,0.06822648564557651,0.6180438145063182,0.9062322204725791,0.9422321119824557,0.8761437398161953,0.07460180151895796,0.11356848860309353,63.0,0.3342694336742511,0.20659315586090088
10.0,10,0,sample_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3461543435466865,0.24229168891906738,0.1692396516045387,0.17684332132339473,0.0853698035048555,0.08373931835303496,0.6999527622174385,0.9809009147862475,0.8102508631579206,0.7775062072050288,0.09916577796794472,0.15757097589667074,1.0,0.3461543435466865,0.24229168891906738
10.0,11,0,sample_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35194998822105994,0.225091814994812,0.1636261605635584,0.14984959363937375,0.08132424259235428,0.07144855914554951,0.6395562509677702,0.8785640894768907,0.9694569399182166,0.9165277604222025,0.06523267843725578,0.09770525335034753,0.0,0.35194998822105994,0.225091814994812
10.0,12,0,sample_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34650303114015557,0.2149670124053955,0.1740912530233251,0.1481475055217741,0.08837178677786521,0.07323108630858378,0.6203899911006677,0.8286704272785648,0.930003996324073,0.9034946798298796,0.04983347178723463,0.09141748753696528,63.0,0.34650303114015557,0.2149670124053955
10.0,13,0,sample_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.362076294104698,0.2491363286972046,0.16514679274481686,0.19699674844741816,0.07960051769119166,0.08644515692770897,0.6880768853239653,1.085987370874533,0.8938735284945285,0.8067745835915471,0.10849318859736955,0.16152556320531353,1.0,0.362076294104698,0.2491363286972046
10.0,14,0,sample_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34433598043766783,0.2506225109100342,0.15356264485023982,0.18428364992141724,0.07506574305065158,0.08946403155932615,0.7278429358194887,1.1918090452919268,0.9053021879581054,0.8447608373712553,0.10673090631530904,0.15061443240351094,1.0,0.34433598043766783,0.2506225109100342
10.0,15,0,sample_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3521525633555363,0.21198797225952148,0.17164046572978212,0.13510715961456296,0.08467298885428665,0.06787561661713606,0.6019776492312412,0.8016206530035558,0.9285741310274488,0.8752456646471943,0.042387414247140744,0.07227111135249448,63.0,0.3521525633555363,0.21198797225952148
10.0,16,0,sample_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33552113823119706,0.2019340991973877,0.1388865264733498,0.12197292447090144,0.06749248342897637,0.06342334044980003,0.6018520927234137,0.9397096865837159,0.9437745027693142,0.8772263895458287,0.04417004795590162,0.07912486180728903,0.0,0.33552113823119706,0.2019340991973877
