epoch,beta,hm_mu_mean,hm_sigma_mean,occ_mu_mean,occ_sigma_mean,imp_mu_mean,imp_sigma_mean,fused_mu_mean,fused_mu_std,fused_sigma_mean,fused_mu_min,fused_mu_max,kl_gaussian,val_recon,val_total
925,0.110000,-0.0644,0.6316,-0.0933,0.5318,-0.0531,0.5773,-0.0378,0.7032,1.2031,-1.7685,3.9746,2.1307,1.1608,1.9002
950,0.110000,-0.0511,0.6369,-0.1012,0.5312,-0.0674,0.5749,-0.0368,0.6832,1.2076,-1.6590,3.8494,2.1231,1.2187,1.9551
975,0.110000,-0.0410,0.6356,-0.1050,0.5315,-0.0536,0.5808,-0.0354,0.6726,1.2148,-1.5425,3.8023,2.1251,1.1271,1.8590
1000,0.110000,-0.0504,0.6412,-0.1115,0.5313,-0.0570,0.5787,-0.0383,0.6731,1.2142,-1.5102,3.8264,2.1233,1.1046,1.8361
1025,0.110000,-0.0656,0.6685,-0.1193,0.5320,-0.0415,0.5787,-0.0737,0.4209,1.1858,-1.0030,1.4550,1.9325,1.0535,1.7430
1050,0.110000,-0.0740,0.6701,-0.1265,0.5318,-0.0414,0.5800,-0.0875,0.4184,1.1934,-1.0883,1.3369,1.9491,0.9871,1.6794
1075,0.110000,-0.0774,0.6705,-0.1283,0.5299,-0.0392,0.5799,-0.0915,0.4132,1.1971,-1.0859,1.2790,1.9569,0.9641,1.6600
1100,0.110000,-0.0796,0.6690,-0.1278,0.5293,-0.0435,0.5794,-0.0921,0.4069,1.1961,-1.1294,1.2122,1.9557,0.9466,1.6459
1125,0.110000,-0.0905,0.6736,-0.1292,0.5283,-0.0563,0.5781,-0.1008,0.4115,1.2035,-1.1162,1.1440,1.9717,0.9152,1.6134
1150,0.110000,-0.0948,0.6745,-0.1253,0.5276,-0.0555,0.5807,-0.1020,0.4100,1.2087,-1.1617,1.1126,1.9793,0.8790,1.5756
1175,0.110000,-0.0971,0.6792,-0.1246,0.5268,-0.0537,0.5793,-0.1024,0.4082,1.2067,-1.1417,1.0294,1.9751,0.8906,1.5825
1200,0.110000,-0.1014,0.6737,-0.1183,0.5278,-0.0458,0.5799,-0.0993,0.4000,1.2122,-1.1092,0.9671,1.9810,0.8541,1.5517
1225,0.110000,-0.1016,0.6758,-0.1117,0.5273,-0.0454,0.5802,-0.0996,0.4095,1.2114,-1.1246,1.1289,1.9823,0.8433,1.5389
1250,0.110000,-0.1054,0.6758,-0.1115,0.5274,-0.0609,0.5794,-0.1015,0.3982,1.2134,-1.1084,1.0130,1.9807,0.8311,1.5258
1255,0.110000,-0.1169,0.6788,-0.1121,0.5279,-0.0526,0.5790,-0.1055,0.4025,1.2148,-1.1060,0.9827,1.9845,0.8156,1.5056
1260,0.110000,-0.1099,0.6805,-0.1128,0.5268,-0.0628,0.5799,-0.1041,0.4078,1.2113,-1.1143,1.0575,1.9797,0.8134,1.5020
1265,0.110000,-0.1125,0.6813,-0.1094,0.5274,-0.0471,0.5813,-0.0999,0.4044,1.2128,-1.1551,1.0966,1.9790,0.8010,1.4901
