mhz,k,sample,label,mae_ohm,rmse_ohm,median_abs_diff_ohm,p95_abs_diff_ohm,max_abs_diff_ohm,nrmse_ohm,mape_pct,real_max_ohm,gen_max_ohm,max_diff_ohm,real_p95_ohm,gen_p95_ohm,real_mean_ohm,gen_mean_ohm,max_ratio,mean_ratio,pearson_r,spearman_rho,pattern_mae,pattern_rmse,peak_loc_err_px,peak_real_ohm,peak_gen_ohm
10.0,3,0,sample_0,0.03061836468359857,0.03529286037990265,0.030902683062112073,0.0547658225412947,0.10874869444947421,0.09641338500946914,24.39509356152815,0.39548625567536533,0.2916288375854492,0.10385741808991611,0.21664044291553483,0.17370150089263914,0.12245040817314239,0.09194359721698406,0.7373931038069566,0.7508639504653809,0.9489152880535732,0.9479966446051863,0.022222243726059458,0.04344897758525619,63.0,0.39548625567536533,0.2916288375854492
10.0,4,0,sample_0,0.007853080033415262,0.01001382907508663,0.006569225182263643,0.019145129002006482,0.07255721047904416,0.03335738785697849,12.929607431008758,0.3342617306864213,0.2864375114440918,0.04782421924232949,0.16716267347907904,0.16925050020217894,0.08375048833966381,0.09118691163185315,0.8569258313115284,1.0887925961939435,0.9883338461024295,0.9788797278619619,0.029166357304461016,0.04944167149033,63.0,0.3342617306864213,0.2864375114440918
10.0,5,0,sample_0,0.007048072145976986,0.008820115246150924,0.006555655861738528,0.016307485084577793,0.05327673869342725,0.027522560062229452,10.94863057355236,0.3516431661149971,0.29962480068206787,0.0520183654329292,0.17251188759821454,0.17766488790512083,0.08362393698803909,0.08849172169095153,0.8520705918797303,1.058210422496715,0.9848252889492197,0.9497279684796681,0.027226283122580734,0.048593419991519005,63.0,0.3516431661149971,0.29962480068206787
10.0,6,0,sample_0,0.011083397773440208,0.013917097740606947,0.009821785574645046,0.02906874131960496,0.07578557807363245,0.04795491085803231,16.372374573173097,0.32627564131507747,0.28937768936157227,0.036897951953505204,0.14947459719705544,0.16167374849319457,0.076099373258832,0.08385134903423158,0.886911717329601,1.1018664864562455,0.9532725303322525,0.9499010678059548,0.02968260624469249,0.05717791100522306,63.0,0.32627564131507747,0.28937768936157227
10.0,7,0,sample_0,0.010852832266556563,0.016458953607282466,0.006940250840311163,0.04177318383976637,0.08007199187736647,0.05203765708388042,14.794379474117436,0.3492892899031175,0.28672242164611816,0.06256686825699931,0.15967377402814112,0.14112797379493708,0.07741868735836438,0.07567757295145021,0.8208737855250199,0.9775104116806489,0.918644804634674,0.8732636091573622,0.02249090475246217,0.04785746959174463,0.0,0.3492892899031175,0.28672242164611816
10.0,8,0,sample_0,0.00481266213380137,0.006738636679078846,0.0034196628562182738,0.013615601357952738,0.0533000536760287,0.021365451444002224,7.872273376154561,0.3461606619968047,0.2987523078918457,0.04740835410495897,0.16168965144956093,0.15859753489494313,0.08083641215124208,0.08286000819473,0.8630452292542803,1.0250332243803923,0.9882131656476089,0.9642287030858859,0.006208561632211454,0.02261211164961885,0.0,0.3461606619968047,0.2987523078918457
10.0,9,0,sample_0,0.00927200334879297,0.012483845089926381,0.0071611850631442195,0.025777505952947307,0.053240102434338965,0.04197827359024425,10.956299204341098,0.3337057053090948,0.2825063467025757,0.05119935860651914,0.16702141141975346,0.1594526946544647,0.09042302751496906,0.08400562103394862,0.8465733195688226,0.9290290686190742,0.9649147218816712,0.9450775352397655,0.020951202370141676,0.041539651832396704,44.0,0.3337057053090948,0.2825063467025757
10.0,10,0,sample_0,0.006372944396333227,0.009641026630663772,0.004545269959079577,0.02075226035742522,0.07548002138641732,0.0316919323659283,9.667226370415106,0.3392107536815505,0.2845017910003662,0.0547089626811843,0.1575309351576506,0.15373201966285704,0.07957452305970532,0.07962618525072689,0.838716897717975,1.000649230294259,0.9700082996449679,0.9308453975999109,0.014730654387104414,0.036160177492327944,0.0,0.3392107536815505,0.2845017910003662
80.0,3,0,sample_0,6.04700875555168,6.607467507718561,6.3799204412837955,9.67515359957544,10.928765404169098,0.4377828557982859,64.09371335264589,15.907072174493806,5.083537578582764,10.823534595911042,14.229007096436714,4.579992723464965,9.043946854595067,2.9974316269298256,0.3195771995511507,0.3314295931987796,0.9304584310157547,0.8819377948065082,0.055785295265956325,0.08592206091744829,19.0,15.907072174493806,5.083537578582764
80.0,4,0,sample_0,0.14467327865019103,0.1725032311439196,0.13850982008514467,0.3356540977304087,0.696754905987542,0.05357109808183736,12.774360550726222,3.65196887895776,3.22467041015625,0.42729846880151,2.1748996796264137,2.170575082302093,1.2543108469735895,1.2823293197960843,0.8829950410411336,1.022337742585977,0.9376717030977583,0.9260306914867142,0.051903015315160894,0.06909939449855679,0.0,3.65196887895776,3.22467041015625
