mhz,k,pi_norm,max,mean_fg,p95
10.0,3,0.3599516044570672,0.2916288375854492,0.09194360673427582,0.17370149493217468
10.0,4,0.3599516044570672,0.2864375114440918,0.09118691831827164,0.1692505031824112
10.0,5,0.3599516044570672,0.29962480068206787,0.08849172294139862,0.1776648908853531
10.0,6,0.3599516044570672,0.28937768936157227,0.08385135233402252,0.16167373955249786
10.0,7,0.3599516044570672,0.28672242164611816,0.07567756623029709,0.14112795889377594
10.0,8,0.3599516044570672,0.2987523078918457,0.08286000788211823,0.15859749913215637
10.0,9,0.3599516044570672,0.2825063467025757,0.08400562405586243,0.15945269167423248
10.0,10,0.3599516044570672,0.2845017910003662,0.0796261802315712,0.15373201668262482
80.0,3,0.6850202942439293,5.083537578582764,2.997431755065918,4.579992771148682
80.0,4,0.6850202942439293,3.22467041015625,1.2823293209075928,2.170574903488159
80.0,5,0.6850202942439293,3.4191408157348633,1.2443052530288696,2.3612213134765625
80.0,6,0.6850202942439293,2.8212456703186035,0.9004682898521423,1.6632658243179321
80.0,7,0.6850202942439293,2.892474889755249,0.8417152166366577,1.5608779191970825
80.0,8,0.6850202942439293,2.850811719894409,0.8241859674453735,1.5454810857772827
80.0,9,0.6850202942439293,2.474275827407837,0.8104263544082642,1.487623691558838
80.0,10,0.6850202942439293,2.6588034629821777,0.769126832485199,1.4605287313461304
150.0,3,0.7832875401420919,4.33701753616333,1.0501441955566406,2.381324052810669
150.0,4,0.7832875401420919,3.345038890838623,0.8133227825164795,2.0082578659057617
150.0,5,0.7832875401420919,3.0961742401123047,0.7537884712219238,1.6326305866241455
150.0,6,0.7832875401420919,12.039281845092773,5.400270938873291,10.589475631713867
150.0,7,0.7832875401420919,10.60445499420166,4.122035026550293,9.630843162536621
150.0,8,0.7832875401420919,10.341206550598145,3.0627386569976807,7.763214111328125
150.0,9,0.7832875401420919,6.483392715454102,2.296229124069214,4.610294818878174
150.0,10,0.7832875401420919,6.644339084625244,1.9481794834136963,4.181195259094238
270.0,3,0.875173287927802,10.735342979431152,2.610703229904175,8.680624008178711
270.0,4,0.875173287927802,12.837190628051758,2.9293744564056396,9.480951309204102
270.0,5,0.875173287927802,7.573128700256348,1.7456177473068237,4.101047992706299
270.0,6,0.875173287927802,11.293707847595215,2.7039682865142822,8.651484489440918
270.0,7,0.875173287927802,9.24240779876709,2.326198101043701,6.235747814178467
270.0,8,0.875173287927802,9.946016311645508,2.6734366416931152,7.170730113983154
270.0,9,0.875173287927802,13.320128440856934,3.676032781600952,9.828514099121094
270.0,10,0.875173287927802,11.258635520935059,2.828648328781128,7.330174446105957
450.0,3,0.9550281012990035,7.5301666259765625,2.233391046524048,4.293241024017334
450.0,4,0.9550281012990035,7.87956428527832,2.35003924369812,4.789403915405273
450.0,5,0.9550281012990035,7.308690071105957,2.3053128719329834,4.250703811645508
450.0,6,0.9550281012990035,7.590576171875,2.12801456451416,4.357529640197754
450.0,7,0.9550281012990035,6.7272467613220215,2.238347291946411,3.8758738040924072
450.0,8,0.9550281012990035,8.172640800476074,2.8937785625457764,5.4279069900512695
450.0,9,0.9550281012990035,7.217480659484863,2.5093111991882324,4.411314010620117
450.0,10,0.9550281012990035,6.924975395202637,2.2626683712005615,3.8970744609832764
550.0,3,0.986397946877737,13.572637557983398,3.8842129707336426,7.481461524963379
550.0,4,0.986397946877737,9.341815948486328,2.792851686477661,5.268941402435303
550.0,5,0.986397946877737,11.329277038574219,3.315903663635254,6.28780460357666
550.0,6,0.986397946877737,10.389974594116211,2.830286979675293,5.5659284591674805
550.0,7,0.986397946877737,9.866244316101074,3.011559009552002,5.436457633972168
550.0,8,0.986397946877737,12.16502571105957,3.8332440853118896,7.236756324768066
550.0,9,0.986397946877737,12.815522193908691,4.130397319793701,7.253147125244141
550.0,10,0.986397946877737,11.124709129333496,3.3689396381378174,5.969583988189697
