#Design: H-shape;Power Bus Pin Impedance Power_GND
#Produced on;2026-05-12 12:27:47;by PI/EMI Analysis 2023.0.0.50417;Zuken GmbH - Germany

Frequency;IC1_Port1(8): Magnitude;IC1_Port1(8): Re;IC1_Port1(8): Img
(Hz);(Ω);;
1.00000e+06;7.08800e-02;3.15637e-03;-7.08097e-02
1.10000e+06;6.20244e-02;3.18442e-03;-6.19426e-02
1.20000e+06;5.44355e-02;3.21177e-03;-5.43406e-02
1.30000e+06;4.78206e-02;3.23862e-03;-4.77108e-02
1.40000e+06;4.19711e-02;3.26516e-03;-4.18439e-02
1.50000e+06;3.67339e-02;3.29153e-03;-3.65862e-02
1.60000e+06;3.19948e-02;3.31791e-03;-3.18223e-02
1.70000e+06;2.76668e-02;3.34445e-03;-2.74639e-02
1.80000e+06;2.36833e-02;3.37132e-03;-2.34421e-02
1.90000e+06;1.99935e-02;3.39870e-03;-1.97025e-02
2.00000e+06;1.65597e-02;3.42675e-03;-1.62013e-02
2.10000e+06;1.33577e-02;3.45570e-03;-1.29029e-02
2.20000e+06;1.03808e-02;3.48574e-03;-9.77808e-03
2.30000e+06;7.65790e-03;3.51713e-03;-6.80244e-03
2.40000e+06;5.31505e-03;3.55015e-03;-3.95553e-03
2.50000e+06;3.78697e-03;3.58510e-03;-1.21992e-03
2.60000e+06;3.89048e-03;3.62233e-03;1.41934e-03
2.70000e+06;5.40505e-03;3.66226e-03;3.97523e-03
2.80000e+06;7.44649e-03;3.70536e-03;6.45914e-03
2.90000e+06;9.64129e-03;3.75219e-03;8.88119e-03
3.00000e+06;1.18760e-02;3.80339e-03;1.12505e-02
3.10000e+06;1.41133e-02;3.85972e-03;1.35753e-02
3.20000e+06;1.63410e-02;3.92211e-03;1.58633e-02
3.30000e+06;1.85562e-02;3.99164e-03;1.81217e-02
3.40000e+06;2.07602e-02;4.06962e-03;2.03574e-02
3.50000e+06;2.29567e-02;4.15763e-03;2.25771e-02
3.60000e+06;2.51503e-02;4.25763e-03;2.47873e-02
3.70000e+06;2.73465e-02;4.37198e-03;2.69947e-02
3.80000e+06;2.95515e-02;4.50364e-03;2.92063e-02
3.90000e+06;3.17724e-02;4.65629e-03;3.14293e-02
4.00000e+06;3.40166e-02;4.83454e-03;3.36713e-02
4.10000e+06;3.62930e-02;5.04429e-03;3.59407e-02
4.20000e+06;3.86112e-02;5.29307e-03;3.82467e-02
4.30000e+06;4.09823e-02;5.59066e-03;4.05992e-02
4.40000e+06;4.34191e-02;5.94985e-03;4.30095e-02
4.50000e+06;4.59363e-02;6.38759e-03;4.54901e-02
4.60000e+06;4.85512e-02;6.92657e-03;4.80545e-02
4.70000e+06;5.12832e-02;7.59754e-03;5.07173e-02
4.80000e+06;5.41548e-02;8.44259e-03;5.34927e-02
4.90000e+06;5.71904e-02;9.51991e-03;5.63925e-02
5.00000e+06;6.04144e-02;1.09104e-02;5.94211e-02
5.10000e+06;6.38470e-02;1.27262e-02;6.25659e-02
5.20000e+06;6.74926e-02;1.51208e-02;6.57770e-02
5.30000e+06;7.13175e-02;1.82944e-02;6.89311e-02
5.40000e+06;7.52049e-02;2.24807e-02;7.17663e-02
5.50000e+06;7.88766e-02;2.78727e-02;7.37878e-02
5.60000e+06;8.17857e-02;3.44177e-02;7.41911e-02
5.70000e+06;8.30612e-02;4.14367e-02;7.19872e-02
5.80000e+06;8.17294e-02;4.73292e-02;6.66307e-02
5.90000e+06;7.73931e-02;5.01093e-02;5.89809e-02
6.00000e+06;7.08841e-02;4.89184e-02;5.12986e-02
6.10000e+06;6.39477e-02;4.47601e-02;4.56710e-02
6.20000e+06;5.81674e-02;3.94302e-02;4.27634e-02
6.30000e+06;5.42982e-02;3.42647e-02;4.21216e-02
6.40000e+06;5.23400e-02;2.98612e-02;4.29859e-02
6.50000e+06;5.19101e-02;2.63436e-02;4.47289e-02
6.60000e+06;5.25528e-02;2.36354e-02;4.69379e-02
6.70000e+06;5.38892e-02;2.16087e-02;4.93671e-02
6.80000e+06;5.56490e-02;2.01429e-02;5.18755e-02
6.90000e+06;5.76516e-02;1.91423e-02;5.43808e-02
7.00000e+06;5.97769e-02;1.85356e-02;5.68305e-02
7.10000e+06;6.19397e-02;1.82709e-02;5.91837e-02
7.20000e+06;6.40718e-02;1.83068e-02;6.14007e-02
7.30000e+06;6.61095e-02;1.86030e-02;6.34381e-02
7.40000e+06;6.79899e-02;1.91094e-02;6.52492e-02
7.50000e+06;6.96533e-02;1.97576e-02;6.67924e-02
7.60000e+06;7.10556e-02;2.04584e-02;6.80467e-02
7.70000e+06;7.21852e-02;2.11136e-02;6.90284e-02
7.80000e+06;7.30744e-02;2.16399e-02;6.97967e-02
7.90000e+06;7.37939e-02;2.19945e-02;7.04399e-02
8.00000e+06;7.44293e-02;2.21846e-02;7.10462e-02
8.10000e+06;7.50515e-02;2.22543e-02;7.16762e-02
8.20000e+06;7.56990e-02;2.22613e-02;7.23518e-02
8.30000e+06;7.63753e-02;2.22543e-02;7.30611e-02
8.40000e+06;7.70567e-02;2.22606e-02;7.37713e-02
8.50000e+06;7.77054e-02;2.22806e-02;7.44427e-02
8.60000e+06;7.82839e-02;2.22903e-02;7.50434e-02
8.70000e+06;7.87681e-02;2.22489e-02;7.55605e-02
8.80000e+06;7.91574e-02;2.21119e-02;7.60063e-02
8.90000e+06;7.94770e-02;2.18452e-02;7.64159e-02
9.00000e+06;7.97717e-02;2.14356e-02;7.68378e-02
9.10000e+06;8.00936e-02;2.08937e-02;7.73204e-02
9.20000e+06;8.04893e-02;2.02488e-02;7.79007e-02
9.30000e+06;8.09908e-02;1.95393e-02;7.85985e-02
9.40000e+06;8.16123e-02;1.88035e-02;7.94166e-02
9.50000e+06;8.23529e-02;1.80734e-02;8.03452e-02
9.60000e+06;8.32012e-02;1.73717e-02;8.13674e-02
9.70000e+06;8.41400e-02;1.67120e-02;8.24636e-02
9.80000e+06;8.51508e-02;1.61005e-02;8.36148e-02
9.90000e+06;8.62164e-02;1.55375e-02;8.48048e-02
1.00000e+07;8.73222e-02;1.50200e-02;8.60207e-02
1.10000e+07;9.92579e-02;1.13531e-02;9.86065e-02
1.20000e+07;1.11826e-01;9.31311e-03;1.11437e-01
1.30000e+07;1.24232e-01;8.27583e-03;1.23956e-01
