epoch,train_sec,val_sec,total_sec,val_ran,train_loss,val_loss
48,48.65,0.00,48.65,0,7.270110,
48,48.19,0.00,48.19,0,7.268781,
49,48.11,0.00,48.11,0,7.167968,
49,48.36,0.00,48.36,0,7.228529,
49,48.25,0.00,48.25,0,7.252559,
50,48.24,29.30,77.54,1,7.128767,4.5981
50,44.13,30.02,74.15,1,7.184382,4.6169
50,44.04,29.95,74.00,1,7.185250,4.5441
51,35.91,0.00,35.91,0,7.166040,
51,48.27,0.00,48.27,0,7.177614,
51,48.30,0.00,48.30,0,7.154551,
52,47.78,0.00,47.78,0,7.134058,
52,47.87,0.00,47.87,0,7.172655,
52,48.52,0.00,48.52,0,7.096405,
53,47.35,0.00,47.35,0,7.110445,
53,48.05,0.00,48.05,0,7.146788,
54,47.40,0.00,47.40,0,7.032276,
53,48.31,0.00,48.31,0,7.061847,
55,47.24,0.00,47.24,0,6.962457,
54,48.61,0.00,48.61,0,7.151589,
54,47.84,0.00,47.84,0,7.057163,
56,47.25,0.00,47.25,0,6.906241,
55,48.08,0.00,48.08,0,7.063883,
55,48.18,0.00,48.18,0,6.998096,
57,47.19,0.00,47.19,0,6.908323,
56,48.06,0.00,48.06,0,7.008269,
56,48.54,0.00,48.54,0,7.042144,
58,47.30,0.00,47.30,0,6.891292,
57,47.77,0.00,47.77,0,7.013428,
57,48.76,0.00,48.76,0,6.902068,
59,47.02,0.00,47.02,0,6.820948,
58,48.17,0.00,48.17,0,6.984235,
58,48.40,0.00,48.40,0,6.933347,
60,47.29,0.00,47.29,0,6.772457,
59,47.61,0.00,47.61,0,6.898961,
59,48.81,0.00,48.81,0,6.908717,
61,47.16,0.00,47.16,0,6.849010,
60,48.01,0.00,48.01,0,6.954364,
60,48.39,0.00,48.39,0,6.901602,
62,46.89,0.00,46.89,0,6.764460,
61,48.19,0.00,48.19,0,6.875462,
61,48.59,0.00,48.59,0,6.893489,
63,47.26,0.00,47.26,0,6.687337,
62,48.20,0.00,48.20,0,6.838246,
62,48.04,0.00,48.04,0,6.844294,
64,47.99,0.00,47.99,0,6.710782,
63,47.90,0.00,47.90,0,6.812945,
63,47.95,0.00,47.95,0,6.810545,
65,47.64,0.00,47.64,0,6.690971,
64,48.18,0.00,48.18,0,6.817079,
64,48.04,0.00,48.04,0,6.787108,
66,47.17,0.00,47.17,0,6.636928,
65,48.35,0.00,48.35,0,6.836172,
65,48.38,0.00,48.38,0,6.685759,
67,47.54,0.00,47.54,0,6.645599,
66,48.14,0.00,48.14,0,6.787199,
66,48.17,0.00,48.17,0,6.729487,
68,47.55,0.00,47.55,0,6.638194,
67,48.94,0.00,48.94,0,6.769436,
67,48.06,0.00,48.06,0,6.672085,
69,47.26,0.00,47.26,0,6.577760,
68,48.71,0.00,48.71,0,6.761209,
68,48.04,0.00,48.04,0,6.611848,
70,47.48,0.00,47.48,0,6.541010,
69,48.54,0.00,48.54,0,6.614463,
69,48.10,0.00,48.10,0,6.620105,
71,47.90,0.00,47.90,0,6.525720,
70,47.76,0.00,47.76,0,6.615261,
70,48.83,0.00,48.83,0,6.696184,
72,47.40,0.00,47.40,0,6.515914,
71,47.86,0.00,47.86,0,6.583171,
71,48.81,0.00,48.81,0,6.659632,
73,47.84,0.00,47.84,0,6.515063,
72,47.84,0.00,47.84,0,6.577440,
72,48.11,0.00,48.11,0,6.626176,
74,47.52,0.00,47.52,0,6.478615,
73,48.06,0.00,48.06,0,6.559259,
73,48.03,0.00,48.03,0,6.606563,
74,45.81,0.00,45.81,0,6.579612,
74,46.57,0.00,46.57,0,6.582128,
75,47.85,29.08,76.93,1,6.438453,4.0789
76,43.43,0.00,43.43,0,6.455983,
75,45.70,29.30,75.01,1,6.470565,4.0302
75,46.19,29.66,75.85,1,6.488112,4.1290
77,40.25,0.00,40.25,0,6.422836,
76,47.40,0.00,47.40,0,6.466621,
76,48.18,0.00,48.18,0,6.610929,
78,47.66,0.00,47.66,0,6.392804,
77,48.05,0.00,48.05,0,6.513188,
77,47.97,0.00,47.97,0,6.500464,
79,47.74,0.00,47.74,0,6.369256,
78,48.19,0.00,48.19,0,6.441804,
78,48.53,0.00,48.53,0,6.495110,
80,47.16,0.00,47.16,0,6.326251,
79,47.80,0.00,47.80,0,6.427971,
79,49.01,0.00,49.01,0,6.454470,
81,47.08,0.00,47.08,0,6.333997,
80,48.03,0.00,48.03,0,6.396502,
80,48.07,0.00,48.07,0,6.516072,
82,47.65,0.00,47.65,0,6.287741,
81,48.34,0.00,48.34,0,6.403224,
81,48.28,0.00,48.28,0,6.430639,
83,47.33,0.00,47.33,0,6.271892,
82,47.86,0.00,47.86,0,6.372968,
82,48.03,0.00,48.03,0,6.413408,
84,47.70,0.00,47.70,0,6.209136,
83,47.86,0.00,47.86,0,6.381745,
83,48.23,0.00,48.23,0,6.401289,
85,47.82,0.00,47.82,0,6.264144,
