epoch,train_sec,val_sec,total_sec,val_ran,train_loss,val_loss
1,29.20,23.76,52.96,1,46.313858,11.4900
2,26.81,0.00,26.81,0,19.591871,
3,26.34,0.00,26.34,0,18.047989,
4,26.14,0.00,26.14,0,17.834917,
5,25.67,0.00,25.67,0,15.534056,
6,25.49,0.00,25.49,0,14.433952,
7,26.22,0.00,26.22,0,14.695480,
8,25.34,0.00,25.34,0,14.361857,
9,25.38,0.00,25.38,0,14.320812,
10,25.59,0.00,25.59,0,14.780804,
11,25.89,0.00,25.89,0,14.775392,
12,25.70,0.00,25.70,0,14.728228,
13,25.60,0.00,25.60,0,14.806302,
14,25.20,0.00,25.20,0,14.848183,
15,26.02,0.00,26.02,0,15.632232,
16,25.25,0.00,25.25,0,15.140815,
17,25.41,0.00,25.41,0,15.565775,
18,25.68,0.00,25.68,0,16.330734,
19,25.89,0.00,25.89,0,16.528885,
20,24.99,0.00,24.99,0,16.112814,
21,38.02,0.00,38.02,0,20.033882,
22,38.45,0.00,38.45,0,19.351480,
23,37.60,0.00,37.60,0,18.413244,
24,38.72,0.00,38.72,0,19.028261,
25,38.31,23.03,61.34,1,18.982630,11.0712
26,38.74,0.00,38.74,0,19.467741,
27,37.99,0.00,37.99,0,19.568531,
28,38.18,0.00,38.18,0,19.422813,
29,38.60,0.00,38.60,0,20.352434,
30,38.20,0.00,38.20,0,19.998564,
31,38.18,0.00,38.18,0,20.099590,
32,38.47,0.00,38.47,0,19.876566,
33,38.07,0.00,38.07,0,19.737528,
34,38.01,0.00,38.01,0,19.864780,
35,38.17,0.00,38.17,0,19.863575,
36,37.94,0.00,37.94,0,19.228817,
37,38.76,0.00,38.76,0,19.426037,
38,38.39,0.00,38.39,0,19.533539,
39,37.85,0.00,37.85,0,19.311975,
40,38.52,0.00,38.52,0,19.474659,
41,38.35,0.00,38.35,0,18.906219,
42,38.37,0.00,38.37,0,18.980803,
43,39.01,0.00,39.01,0,19.603567,
44,38.30,0.00,38.30,0,18.607666,
45,38.56,0.00,38.56,0,19.029524,
46,38.79,0.00,38.79,0,18.858589,
47,38.23,0.00,38.23,0,18.419809,
48,38.91,0.00,38.91,0,18.330498,
49,39.45,0.00,39.45,0,18.171005,
50,39.83,23.91,63.74,1,18.684977,11.0882
51,38.54,0.00,38.54,0,18.369680,
52,38.40,0.00,38.40,0,17.914669,
53,39.06,0.00,39.06,0,18.045576,
54,37.92,0.00,37.92,0,17.504993,
55,39.04,0.00,39.04,0,17.999275,
56,38.45,0.00,38.45,0,17.837805,
57,38.98,0.00,38.98,0,17.760721,
58,38.78,0.00,38.78,0,17.848269,
59,37.95,0.00,37.95,0,17.508572,
60,38.41,0.00,38.41,0,17.852404,
61,37.87,0.00,37.87,0,17.519062,
62,38.46,0.00,38.46,0,17.494015,
63,38.52,0.00,38.52,0,17.343925,
64,38.64,0.00,38.64,0,17.455204,
65,38.72,0.00,38.72,0,17.411865,
66,39.80,0.00,39.80,0,17.113092,
67,38.14,0.00,38.14,0,17.203842,
68,38.30,0.00,38.30,0,17.035442,
69,38.12,0.00,38.12,0,17.050196,
70,38.46,0.00,38.46,0,16.879721,
71,41.36,0.00,41.36,0,17.659433,
72,40.59,0.00,40.59,0,17.115040,
73,40.07,0.00,40.07,0,16.805737,
74,38.46,0.00,38.46,0,16.523785,
75,38.24,23.50,61.74,1,16.698444,10.1724
76,40.59,0.00,40.59,0,16.957670,
77,42.21,0.00,42.21,0,16.900963,
78,41.48,0.00,41.48,0,17.048136,
79,40.81,0.00,40.81,0,16.432983,
80,38.73,0.00,38.73,0,16.569548,
81,42.22,0.00,42.22,0,16.354565,
82,40.09,0.00,40.09,0,16.141861,
83,38.99,0.00,38.99,0,16.222952,
