epoch,train_impedance_loss,train_impedance_legacy,train_impedance_peak,val_impedance_loss,val_impedance_legacy,val_impedance_peak
1,1.3287606239318848,1.3287606239318848,0.0,0.284301146420683,0.284301146420683,0.0
1,1.3098193407058716,1.3098193407058716,0.0,0.284684267389742,0.284684267389742,0.0
1,1.2346688508987427,1.2346688508987427,0.0,0.2735789371376761,0.2735789371376761,0.0
25,0.9989938139915466,0.9989938139915466,0.0,0.7254327529975715,0.7254327529975715,0.0
50,0.7684507369995117,0.7684507369995117,0.0,0.563750068104364,0.563750068104364,0.0
75,0.6714354157447815,0.6714354157447815,0.0,0.4873035710436219,0.4873035710436219,0.0
100,0.5992513298988342,0.5992513298988342,0.0,0.4346336916614031,0.4346336916614031,0.0
125,0.566756546497345,0.566756546497345,0.0,0.39262330721871963,0.39262330721871963,0.0
150,0.5224340558052063,0.5224340558052063,0.0,0.3697052185289905,0.3697052185289905,0.0
175,0.5063692927360535,0.5063692927360535,0.0,0.3538259339687947,0.3538259339687947,0.0
200,0.4825037717819214,0.4825037717819214,0.0,0.3304629515664687,0.3304629515664687,0.0
225,0.4798968434333801,0.4798968434333801,0.0,0.3261781758893796,0.3261781758893796,0.0
250,0.4736201763153076,0.4736201763153076,0.0,0.32350894687621573,0.32350894687621573,0.0
275,0.46977055072784424,0.46977055072784424,0.0,0.32225643889852335,0.32225643889852335,0.0
300,0.5740211606025696,0.4775146245956421,0.09650635719299316,0.39871653647926764,0.3234091993512177,0.07530733804675299
325,0.6632558107376099,0.47383421659469604,0.18942169845104218,0.4724082471878548,0.3224658255735387,0.1499424227652188
350,0.659834623336792,0.4712171256542206,0.18861758708953857,0.47187450742172354,0.32113334047923564,0.15074116762899126
375,0.6604329347610474,0.471922367811203,0.18851061165332794,0.4745864247888084,0.3232599973759354,0.15132642824071532
400,0.6558118462562561,0.4689263105392456,0.18688564002513885,0.4699507526104366,0.32116033718353365,0.1487904159720674
425,0.6549791693687439,0.4682595133781433,0.18671931326389313,0.4682964764555618,0.3192394126640749,0.14905706439722521
450,0.6534219980239868,0.46761494874954224,0.1858072131872177,0.46647439642650323,0.31993196811779406,0.14654242853081323
