#Design: H-shape;Power Bus Pin Impedance Power_GND
#Produced on;2026-07-08 16:53:50;by PI/EMI Analysis 2023.0.0.50417;Zuken GmbH - Germany

Frequency;IC1_Port1(8): Magnitude;IC1_Port1(8): Re;IC1_Port1(8): Img
(Hz);(Ω);;
1.00000e+06;9.96512e-02;3.89534e-03;-9.95750e-02
1.10000e+06;8.79886e-02;3.92528e-03;-8.79010e-02
1.20000e+06;7.80446e-02;3.95434e-03;-7.79444e-02
1.30000e+06;6.94225e-02;3.98272e-03;-6.93082e-02
1.40000e+06;6.18389e-02;4.01058e-03;-6.17087e-02
1.50000e+06;5.50861e-02;4.03806e-03;-5.49379e-02
1.60000e+06;4.90085e-02;4.06530e-03;-4.88396e-02
1.70000e+06;4.34870e-02;4.09245e-03;-4.32941e-02
1.80000e+06;3.84298e-02;4.11965e-03;-3.82084e-02
1.90000e+06;3.37645e-02;4.14703e-03;-3.35089e-02
2.00000e+06;2.94342e-02;4.17474e-03;-2.91366e-02
2.10000e+06;2.53940e-02;4.20294e-03;-2.50438e-02
2.20000e+06;2.16094e-02;4.23178e-03;-2.11910e-02
2.30000e+06;1.80559e-02;4.26146e-03;-1.75458e-02
2.40000e+06;1.47206e-02;4.29216e-03;-1.40809e-02
2.50000e+06;1.16087e-02;4.32412e-03;-1.07733e-02
2.60000e+06;8.76338e-03;4.35757e-03;-7.60319e-03
2.70000e+06;6.32723e-03;4.39280e-03;-4.55381e-03
2.80000e+06;4.71377e-03;4.43013e-03;-1.61045e-03
2.90000e+06;4.63864e-03;4.46991e-03;1.23972e-03
3.00000e+06;6.03553e-03;4.51258e-03;4.00802e-03
3.10000e+06;8.10754e-03;4.55861e-03;6.70457e-03
3.20000e+06;1.04137e-02;4.60857e-03;9.33847e-03
3.30000e+06;1.27978e-02;4.66312e-03;1.19180e-02
3.40000e+06;1.52030e-02;4.72305e-03;1.44507e-02
3.50000e+06;1.76077e-02;4.78927e-03;1.69438e-02
3.60000e+06;2.00040e-02;4.86289e-03;1.94040e-02
3.70000e+06;2.23905e-02;4.94521e-03;2.18376e-02
3.80000e+06;2.47687e-02;5.03781e-03;2.42509e-02
3.90000e+06;2.71418e-02;5.14260e-03;2.66502e-02
