candidate_id,mhz,k,badness,quality_score,uncertainty,pred_p99_mean,selected_reason
196,200.0,5,83.28329755359321,-83.28329755359321,83.28329755359321,10.043876687685648,worst_uncertainty
324,250.0,5,82.45014699061495,-82.45014699061495,82.45014699061495,14.758156100908915,worst_uncertainty
96,250.0,5,82.125751086014,-82.125751086014,82.125751086014,9.156741042931875,worst_uncertainty
81,250.0,5,77.56103703311477,-77.56103703311477,77.56103703311477,8.13155742486318,worst_uncertainty
343,250.0,5,70.3452153192958,-70.3452153192958,70.3452153192958,9.283755580584208,worst_uncertainty
27,200.0,5,66.51005228034185,-66.51005228034185,66.51005228034185,12.57034452756246,worst_uncertainty
322,200.0,5,64.72692028555446,-64.72692028555446,64.72692028555446,10.114136576652527,worst_uncertainty
296,250.0,5,62.88992363235386,-62.88992363235386,62.88992363235386,10.80325186252594,worst_uncertainty
230,200.0,5,59.54910323561942,-59.54910323561942,59.54910323561942,8.951122323671976,worst_uncertainty
18,250.0,5,55.9508435834504,-55.9508435834504,55.9508435834504,11.141622066497803,worst_uncertainty
47,200.0,5,54.28210538703089,-54.28210538703089,54.28210538703089,10.004353205362955,worst_uncertainty
9,250.0,5,53.16755671759313,-53.16755671759313,53.16755671759313,6.584182381629944,worst_uncertainty
156,250.0,5,48.17077270317824,-48.17077270317824,48.17077270317824,12.732906738917032,worst_uncertainty
124,250.0,5,47.220598020225935,-47.220598020225935,47.220598020225935,7.9779733419418335,worst_uncertainty
55,250.0,5,46.11614086802121,-46.11614086802121,46.11614086802121,9.339969754219055,worst_uncertainty
330,250.0,5,45.59187997713136,-45.59187997713136,45.59187997713136,9.741035064061483,worst_uncertainty
294,200.0,5,44.67417921639123,-44.67417921639123,44.67417921639123,8.590597947438559,worst_uncertainty
2,250.0,5,42.91375712752575,-42.91375712752575,42.91375712752575,9.7236039241155,worst_uncertainty
155,250.0,5,42.54799999999417,-42.54799999999417,42.54799999999417,6.9211061000823975,worst_uncertainty
30,250.0,5,42.10524007789916,-42.10524007789916,42.10524007789916,11.000601490338644,worst_uncertainty
103,200.0,5,40.769791688785375,-40.769791688785375,40.769791688785375,10.175394097963968,worst_uncertainty
359,250.0,5,40.38154520008485,-40.38154520008485,40.38154520008485,6.874254822731018,worst_uncertainty
242,200.0,5,40.15803596688648,-40.15803596688648,40.15803596688648,7.662787357966105,worst_uncertainty
365,250.0,5,39.980515407774014,-39.980515407774014,39.980515407774014,8.828267256418863,worst_uncertainty
283,250.0,5,39.18431211351582,-39.18431211351582,39.18431211351582,9.41355554262797,worst_uncertainty
35,250.0,5,37.39517579030339,-37.39517579030339,37.39517579030339,8.416796922683716,worst_uncertainty
314,250.0,5,36.73417816474456,-36.73417816474456,36.73417816474456,10.61636749903361,worst_uncertainty
312,130.0,5,32.173604150221585,-32.173604150221585,32.173604150221585,8.059051473935446,worst_uncertainty
23,250.0,5,30.46332880698346,-30.46332880698346,30.46332880698346,7.606576204299927,worst_uncertainty
206,250.0,5,30.44838717664943,-30.44838717664943,30.44838717664943,9.2676629225413,worst_uncertainty
261,250.0,5,29.990047318094536,-29.990047318094536,29.990047318094536,7.512599190076192,worst_uncertainty
149,250.0,5,29.0693244617361,-29.0693244617361,29.0693244617361,9.63642132282257,worst_uncertainty
251,200.0,5,28.181069854471293,-28.181069854471293,28.181069854471293,9.191130002339682,worst_uncertainty
53,250.0,5,28.08606508345535,-28.08606508345535,28.08606508345535,6.8533962170283,worst_uncertainty
144,250.0,5,26.728215817286564,-26.728215817286564,26.728215817286564,5.988974948724111,worst_uncertainty
299,250.0,5,26.46493884484664,-26.46493884484664,26.46493884484664,8.165032267570496,worst_uncertainty
162,250.0,5,26.395510085765082,-26.395510085765082,26.395510085765082,9.482015450795492,worst_uncertainty
120,250.0,5,26.05744521864719,-26.05744521864719,26.05744521864719,7.251047293345134,worst_uncertainty
106,250.0,5,26.013925574111113,-26.013925574111113,26.013925574111113,7.251649618148804,worst_uncertainty
95,80.0,5,25.10764454450765,-25.10764454450765,25.10764454450765,9.587779760360718,worst_uncertainty
136,250.0,5,24.80778458965662,-24.80778458965662,24.80778458965662,8.829384644826254,worst_uncertainty
362,250.0,5,24.577866787753166,-24.577866787753166,24.577866787753166,6.437863866488139,worst_uncertainty
157,200.0,5,23.37378256409049,-23.37378256409049,23.37378256409049,6.730637590090434,worst_uncertainty
129,250.0,5,23.132231867385155,-23.132231867385155,23.132231867385155,5.922989805539449,worst_uncertainty
33,250.0,5,22.893338804130778,-22.893338804130778,22.893338804130778,7.957775394121806,worst_uncertainty
377,250.0,5,22.82232422224492,-22.82232422224492,22.82232422224492,9.106685400009155,worst_uncertainty
246,250.0,5,22.381901744957418,-22.381901744957418,22.381901744957418,7.790855964024861,worst_uncertainty
3,130.0,5,21.066977145857123,-21.066977145857123,21.066977145857123,6.381983478864034,worst_uncertainty
