mhz,k,pi_norm,max,mean_fg,p95
10.0,2,0.3599516044570672,0.2093280553817749,0.13672219216823578,0.20917309820652008
10.0,3,0.3599516044570672,0.2093280553817749,0.1333921253681183,0.20845933258533478
10.0,4,0.3599516044570672,0.19247150421142578,0.09259819984436035,0.15210288763046265
10.0,5,0.3599516044570672,0.195348858833313,0.09011485427618027,0.15421631932258606
10.0,6,0.3599516044570672,0.19680523872375488,0.09169643372297287,0.161017045378685
10.0,7,0.3599516044570672,0.20470380783081055,0.09123704582452774,0.1605582982301712
10.0,8,0.3599516044570672,0.19298970699310303,0.08097910135984421,0.14524433016777039
10.0,9,0.3599516044570672,0.19479572772979736,0.07632864266633987,0.14028704166412354
10.0,10,0.3599516044570672,0.2093280553817749,0.09092690795660019,0.16415052115917206
10.0,11,0.3599516044570672,0.19567584991455078,0.07608722895383835,0.13743969798088074
10.0,12,0.3599516044570672,0.187180757522583,0.07087454199790955,0.13185732066631317
10.0,13,0.3599516044570672,0.18486368656158447,0.07107724994421005,0.13126853108406067
10.0,14,0.3599516044570672,0.1903766393661499,0.0848798081278801,0.15726470947265625
10.0,15,0.3599516044570672,0.1861501932144165,0.0658111497759819,0.12026428431272507
10.0,16,0.3599516044570672,0.18089747428894043,0.06287382543087006,0.11442460864782333
10.0,17,0.3599516044570672,0.19229674339294434,0.06353212893009186,0.11875523626804352
10.0,18,0.3599516044570672,0.18522202968597412,0.0605294406414032,0.10834451764822006
10.0,19,0.3599516044570672,0.197273850440979,0.0662318617105484,0.12617234885692596
10.0,20,0.3599516044570672,0.17319262027740479,0.059000466018915176,0.1005128026008606
70.0,2,0.6641459998837217,2.7518434524536133,1.5025825500488281,2.4549059867858887
70.0,3,0.6641459998837217,2.7518434524536133,1.434735655784607,2.339810848236084
70.0,4,0.6641459998837217,1.982236623764038,0.850631058216095,1.4260767698287964
70.0,5,0.6641459998837217,2.113853931427002,0.8360756635665894,1.4616248607635498
70.0,6,0.6641459998837217,2.0045111179351807,0.8055581450462341,1.4344325065612793
70.0,7,0.6641459998837217,2.015108346939087,0.7438058853149414,1.3439735174179077
70.0,8,0.6641459998837217,1.7997291088104248,0.6467218995094299,1.1539944410324097
70.0,9,0.6641459998837217,1.933889627456665,0.6233683228492737,1.123342752456665
70.0,10,0.6641459998837217,1.8918023109436035,0.626010537147522,1.1265355348587036
70.0,11,0.6641459998837217,1.8359944820404053,0.6071116328239441,1.1298068761825562
70.0,12,0.6641459998837217,1.7584481239318848,0.5806525349617004,1.0725438594818115
70.0,13,0.6641459998837217,1.7321743965148926,0.6208908557891846,1.1508032083511353
70.0,14,0.6641459998837217,1.9056396484375,0.6828560829162598,1.3749536275863647
70.0,15,0.6641459998837217,1.7135183811187744,0.5561575293540955,0.9854364991188049
70.0,16,0.6641459998837217,1.7074894905090332,0.5461910963058472,0.9688205122947693
70.0,17,0.6641459998837217,1.8666996955871582,0.539438009262085,1.0172637701034546
70.0,18,0.6641459998837217,1.6825156211853027,0.5102692246437073,0.9247105717658997
