mhz,k,sample,label,mae_ohm,rmse_ohm,median_abs_diff_ohm,p95_abs_diff_ohm,max_abs_diff_ohm,nrmse_ohm,mape_pct,real_max_ohm,gen_max_ohm,real_p95_ohm,gen_p95_ohm,real_mean_ohm,gen_mean_ohm,max_ratio,mean_ratio,pearson_r,spearman_rho,pattern_mae,pattern_rmse,peak_loc_err_px,peak_real_ohm,peak_gen_ohm
10.0,2,0,sample_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35632054544174707,0.2093280553817749,0.18247221856176862,0.20917309522628783,0.09090845340938104,0.13672219359235607,0.5874711914864781,1.5039546759932825,0.7783446912219093,0.7652118472024385,0.20282410413786173,0.283033241183829,88.3911760301898,0.35632054544174707,0.2093280553817749
10.0,3,0,sample_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37128401133949174,0.2093280553817749,0.18890238397495043,0.208459335565567,0.09372994919340094,0.13339212623648433,0.5637949628549213,1.4231537239100074,0.8397283713808729,0.8063406741563169,0.2233835672187172,0.3051306611044655,68.94200461257273,0.37128401133949174,0.2093280553817749
10.0,4,0,sample_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35445283754147994,0.19247150421142578,0.17830396000502216,0.15210288763046262,0.09373597686272608,0.09259820262313168,0.5430101943785448,0.9878619258296027,0.9250641181688615,0.9507315897000016,0.09451843590008763,0.14113423265575892,63.0,0.35445283754147994,0.19247150421142578
10.0,5,0,sample_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3514741916130788,0.195348858833313,0.1761761498952217,0.15421631932258603,0.09087964718714885,0.09011485335571227,0.5557985863393442,0.9915845422478189,0.9503266114033628,0.9712508004806657,0.09673421291004321,0.14331643291744692,63.0,0.3514741916130788,0.195348858833313
10.0,6,0,sample_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3374522085317103,0.19680523872375488,0.16846269693817817,0.16101705431938168,0.0826385826623121,0.09169643367087091,0.5832092182181143,1.1096080150064058,0.9332744191307567,0.8992230949853198,0.12430091951368964,0.1689701699563045,0.0,0.3374522085317103,0.19680523872375488
10.0,7,0,sample_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33554354345422865,0.20470380783081055,0.17064915658113072,0.16055830121040343,0.08437703049508903,0.09123704761336178,0.6100662993646132,1.0813019500451846,0.937074662633195,0.9407127553389184,0.12468397485265258,0.1680648837630211,0.0,0.33554354345422865,0.20470380783081055
10.0,8,0,sample_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3378793444442092,0.19298970699310303,0.1579357029644892,0.1452443242073059,0.07889516289966933,0.08097910776838556,0.5711793578579337,1.0264141018552224,0.9312084410097146,0.9100318204614847,0.11029147194718827,0.15457238751655783,0.0,0.3378793444442092,0.19298970699310303
10.0,9,0,sample_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3424341948199423,0.19479572772979736,0.15054441720763453,0.14028704166412354,0.07638271290213368,0.07632864907488122,0.5688559456868034,0.9992921981270588,0.9527120368269782,0.9253239000551596,0.08335500792533698,0.12302427341308972,0.0,0.3424341948199423,0.19479572772979736
10.0,10,0,sample_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35229988216483576,0.2093280553817749,0.16555393705664637,0.16415053009986874,0.08224590483007381,0.09092691255894018,0.5941757746141779,1.105549422148154,0.9139283694711022,0.9264141118575984,0.10019406313205398,0.1563363180011712,0.0,0.35229988216483576,0.2093280553817749
10.0,11,0,sample_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3435875279244168,0.19567584991455078,0.16088570806170643,0.13743970394134516,0.08032777075350891,0.07608723154156914,0.5695080118204873,0.9472095494227999,0.9333624657578737,0.8901082041654753,0.05842417132320102,0.09702068006870496,0.0,0.3435875279244168,0.19567584991455078
10.0,12,0,sample_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3502131204765586,0.187180757522583,0.15914286197180136,0.1318573236465454,0.07955774936806792,0.07087454519349656,0.5344767131164976,0.8908565885342085,0.9473862510778067,0.9077879666288172,0.05469095847247313,0.09319326119105314,0.0,0.3502131204765586,0.187180757522583
10.0,13,0,sample_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3555872306259289,0.18486368656158447,0.17980316735584148,0.13126853108406067,0.09398039162224643,0.07107725513703896,0.5198828041045648,0.7562987758418109,0.9353611361954156,0.9261335185385575,0.05879924953843696,0.09631389240022689,0.0,0.3555872306259289,0.18486368656158447
