gen_sample,nn_train_sample,nn_train_K,combined_score,heatmap_mse,impedance_mse,occupancy_hamming,occupancy_exact,occ_pattern_in_train,combined_percentile_vs_train_nn
data_sample_0,sample_4978,47,3.7336483001708984,3.654813051223755,0.00191203854046762,4,False,False,1.0
data_sample_1,sample_762,47,3.5786261558532715,3.533700942993164,0.006463649682700634,2,False,False,1.0
data_sample_2,sample_945,47,3.6142444610595703,3.533160924911499,0.004160298965871334,4,False,False,1.0
data_sample_3,sample_9587,47,3.559262752532959,3.4764206409454346,0.005919089075177908,4,False,False,1.0
data_sample_4,sample_14522,47,3.723154306411743,3.6449248790740967,0.0013061787467449903,4,False,False,1.0
data_sample_5,sample_14742,47,3.5978949069976807,3.516252279281616,0.004719391465187073,4,False,False,1.0
data_sample_6,sample_4570,47,3.645693302154541,3.564326286315918,0.004443940706551075,4,False,False,1.0
data_sample_7,sample_14448,47,3.7523059844970703,3.6734156608581543,0.0019672608468681574,4,False,False,1.0
data_sample_8,sample_2882,47,3.5027666091918945,3.425248146057129,0.000595423043705523,4,False,False,1.0
data_sample_9,sample_6830,47,3.7893218994140625,3.71006441116333,0.0023343965876847506,4,False,False,1.0
data_sample_10,sample_7614,47,3.665696620941162,3.5867011547088623,0.0020724209025502205,4,False,False,1.0
data_sample_11,sample_21696,47,3.611776351928711,3.5326106548309326,0.0022424475755542517,4,False,False,1.0
data_sample_12,sample_14221,47,3.6058053970336914,3.523751974105835,0.005130256060510874,4,False,False,1.0
data_sample_13,sample_16774,47,3.803084135055542,3.7209277153015137,0.005233169998973608,4,False,False,1.0
data_sample_14,sample_24595,47,3.6609458923339844,3.5830509662628174,0.0009718065266497433,4,False,False,1.0
data_sample_15,sample_3999,47,3.7872726917266846,3.709296226501465,0.0010533188469707966,4,False,False,1.0
data_sample_16,sample_2991,47,3.642770290374756,3.5650734901428223,0.0007736404077149928,4,False,False,1.0
data_sample_17,sample_9587,47,3.503038167953491,3.422935962677002,0.0031791124492883682,4,False,False,1.0
data_sample_18,sample_9750,47,3.7191531658172607,3.6383414268493652,0.003888679202646017,4,False,False,1.0
data_sample_19,sample_29298,47,3.692286252975464,3.6063199043273926,0.009043111465871334,4,False,False,1.0
data_sample_20,sample_22053,47,3.589752674102783,3.508780002593994,0.004049590323120356,4,False,False,1.0
data_sample_21,sample_20322,47,3.5030434131622314,3.423834800720215,0.00228551565669477,4,False,False,1.0
data_sample_22,sample_13235,47,3.490784168243408,3.4131264686584473,0.0007346677593886852,4,False,False,1.0
data_sample_23,sample_19465,47,3.8592031002044678,3.7795512676239014,0.002728614956140518,4,False,False,1.0
data_sample_24,sample_18698,47,3.5934085845947266,3.5131032466888428,0.0033821668475866318,4,False,False,1.0
data_sample_25,sample_22335,47,3.73478364944458,3.6940627098083496,0.0022594898473471403,2,False,False,1.0
data_sample_26,sample_4511,47,3.656909465789795,3.5785772800445557,0.0014089609030634165,4,False,False,1.0
data_sample_27,sample_15593,47,3.6556003093719482,3.576049327850342,0.00262781442143023,4,False,False,1.0
data_sample_28,sample_945,47,3.6588189601898193,3.5813159942626953,0.000579833984375,4,False,False,1.0
data_sample_29,sample_8047,47,3.7043633460998535,3.6635451316833496,0.002356855431571603,2,False,False,1.0
data_sample_30,sample_26126,47,3.6862292289733887,3.6084303855895996,0.0008756298921070993,4,False,False,1.0
data_sample_31,sample_24632,47,3.841813564300537,3.7637534141540527,0.0011369449784979224,4,False,False,1.0
data_sample_32,sample_25181,47,3.6160295009613037,3.5380935668945312,0.001012760796584189,4,False,False,1.0
data_sample_33,sample_21445,47,3.709214210510254,3.6308109760284424,0.0014800365315750241,4,False,False,1.0
data_sample_34,sample_23516,47,3.7448172569274902,3.6659154891967773,0.0019787545315921307,4,False,False,1.0
data_sample_35,sample_1327,47,3.6123464107513428,3.4915995597839355,0.005362374242395163,6,False,False,1.0
data_sample_36,sample_9094,47,3.6261770725250244,3.5473318099975586,0.0019220790127292275,4,False,False,1.0
data_sample_37,sample_21639,47,3.5932395458221436,3.5147337913513184,0.0015826865565031767,4,False,False,1.0
data_sample_38,sample_8173,47,3.7507741451263428,3.6722402572631836,0.001610826118849218,4,False,False,1.0
data_sample_39,sample_2639,47,3.6106486320495605,3.530033826828003,0.003691702149808407,4,False,False,1.0
data_sample_40,sample_24930,47,3.686429262161255,3.5685486793518066,0.002496100030839443,6,False,False,1.0
data_sample_41,sample_28191,47,3.5627260208129883,3.485001802444458,0.0008011194295249879,4,False,False,1.0
data_sample_42,sample_1087,47,3.680835247039795,3.601491928100586,0.00242026848718524,4,False,False,1.0
data_sample_43,sample_83,47,3.713745594024658,3.63219952583313,0.004622950684279203,4,False,False,1.0
data_sample_44,sample_24507,47,3.666161298751831,3.588089942932129,0.0011481742840260267,4,False,False,1.0
data_sample_45,sample_29031,47,3.8054559230804443,3.7252025604248047,0.0033302472438663244,4,False,False,1.0
data_sample_46,sample_20877,47,3.5019583702087402,3.4220023155212402,0.0030329981818795204,4,False,False,1.0
data_sample_47,sample_6888,47,3.55633282661438,3.4753518104553223,0.004057780839502811,4,False,False,1.0
data_sample_48,sample_2612,47,3.6313021183013916,3.553558349609375,0.0008205397170968354,4,False,False,1.0
data_sample_49,sample_2684,47,3.6654112339019775,3.587920665740967,0.0005674155545420945,4,False,False,1.0
data_sample_50,sample_19191,47,3.5971169471740723,3.5549821853637695,0.0036732067819684744,2,False,False,1.0
data_sample_51,sample_5569,47,3.561688184738159,3.483977794647217,0.0007872478454373777,4,False,False,1.0
data_sample_52,sample_3320,47,3.699800491333008,3.6205596923828125,0.002317618578672409,4,False,False,1.0
data_sample_53,sample_13106,47,3.654747247695923,3.5763468742370605,0.001477129990234971,4,False,False,1.0
data_sample_54,sample_26633,47,3.454890489578247,3.3749208450317383,0.0030464734882116318,4,False,False,1.0
data_sample_55,sample_14899,47,3.559868335723877,3.4807233810424805,0.002221838105469942,4,False,False,1.0
data_sample_56,sample_27055,47,3.6702773571014404,3.5901496410369873,0.0032044777180999517,4,False,False,1.0
data_sample_57,sample_13733,47,3.727220296859741,3.648056745529175,0.00224046572111547,4,False,False,1.0
data_sample_58,sample_3200,47,3.437403440475464,3.358659505844116,0.0018208822002634406,4,False,False,1.0
data_sample_59,sample_24889,47,3.6021041870117188,3.524017333984375,0.001163631328381598,4,False,False,1.0
data_sample_60,sample_25171,47,3.542236566543579,3.463257312774658,0.002056039171293378,4,False,False,1.0
data_sample_61,sample_12838,47,3.4955546855926514,3.4170050621032715,0.001626415178179741,4,False,False,1.0
data_sample_62,sample_7325,47,3.58915114402771,3.511159896850586,0.001068115234375,4,False,False,1.0
data_sample_63,sample_746,47,3.5660181045532227,3.487879753112793,0.0012151544215157628,4,False,False,1.0
data_sample_64,sample_6888,47,3.5125863552093506,3.4349074363708496,0.0007556733908131719,4,False,False,1.0
data_sample_65,sample_25084,47,3.6713147163391113,3.593139171600342,0.0012524096528068185,4,False,False,1.0
data_sample_66,sample_29076,47,3.466695785522461,3.388197422027588,0.001575288362801075,4,False,False,1.0
data_sample_67,sample_16290,47,3.5962257385253906,3.517819404602051,0.0014832071028649807,4,False,False,1.0
data_sample_68,sample_7143,47,3.6082603931427,3.5301103591918945,0.0012269123690202832,4,False,False,1.0
data_sample_69,sample_20966,47,3.5043020248413086,3.463733196258545,0.002107430249452591,2,False,False,1.0
data_sample_70,sample_9931,47,3.6930110454559326,3.6146860122680664,0.001401826972141862,4,False,False,1.0
data_sample_71,sample_14576,47,3.9131810665130615,3.8332133293151855,0.0030446238815784454,4,False,False,1.0
