candidate_id,mhz,k,badness,quality_score,uncertainty,heatmap_mc_mse,decoder_mc_rce,epistemic_score,disagreement_score,prior_tension_score,peak_bias_score,p99_var,p99_mc_range,peak_loc_spread_px,pred_p99_mean,selected_reason
9,150.0,3,0.7257294654846191,-0.7257294654846191,0.7257294654846191,0.0,0.0,0.7257294654846191,0.6083073019981384,-0.3041536509990692,0.0,0.0,0.0,0.0,2.6265764236450195,worst_uncertainty_stratified_mhz
4,155.0,3,0.5162822008132935,-0.5162822008132935,0.5162822008132935,0.0,0.0,0.5162822008132935,0.6107394695281982,-0.3053697347640991,0.0,0.0,0.0,0.0,5.061104774475098,worst_uncertainty_stratified_mhz
79,180.0,3,0.9554015398025513,-0.9554015398025513,0.9554015398025513,0.0,0.0,0.9554015398025513,0.6081386804580688,-0.3040693402290344,0.0,0.0,0.0,0.0,5.313378810882568,worst_uncertainty_stratified_mhz
37,200.0,3,1.2629485130310059,-1.2629485130310059,1.2629485130310059,0.0,0.0,1.2629485130310059,0.6142197847366333,-0.30710989236831665,0.0,0.0,0.0,0.0,6.375553607940674,worst_uncertainty_stratified_mhz
151,230.0,3,0.9090843200683594,-0.9090843200683594,0.9090843200683594,0.0,0.0,0.9090843200683594,0.6330252289772034,-0.3165126144886017,0.0,0.0,0.0,0.0,2.4462459087371826,worst_uncertainty_stratified_mhz
6,250.0,3,0.6384510397911072,-0.6384510397911072,0.6384510397911072,0.0,0.0,0.6384510397911072,0.6217862367630005,-0.31089311838150024,0.0,0.0,0.0,0.0,6.043229103088379,worst_uncertainty_stratified_mhz
57,265.0,3,0.4863683879375458,-0.4863683879375458,0.4863683879375458,0.0,0.0,0.4863683879375458,0.6075538396835327,-0.30377691984176636,0.0,0.0,0.0,0.0,4.843896865844727,worst_uncertainty_stratified_mhz
15,270.0,3,0.5099111199378967,-0.5099111199378967,0.5099111199378967,0.0,0.0,0.5099111199378967,0.612383246421814,-0.306191623210907,0.0,0.0,0.0,0.0,4.454975128173828,worst_uncertainty_stratified_mhz
123,280.0,3,0.5374327301979065,-0.5374327301979065,0.5374327301979065,0.0,0.0,0.5374327301979065,0.6152777075767517,-0.30763885378837585,0.0,0.0,0.0,0.0,3.119565725326538,worst_uncertainty_stratified_mhz
16,300.0,3,0.5537092685699463,-0.5537092685699463,0.5537092685699463,0.0,0.0,0.5537092685699463,0.623317301273346,-0.311658650636673,0.0,0.0,0.0,0.0,1.9053852558135986,worst_uncertainty_stratified_mhz
296,150.0,4,0.741680383682251,-0.741680383682251,0.741680383682251,0.0,0.0,0.741680383682251,0.6129339933395386,-0.3064669966697693,0.0,0.0,0.0,0.0,2.297889471054077,worst_uncertainty_stratified_mhz
