#Design: H-shape;Power Bus Pin Impedance Power_GND
#Produced on;2026-07-09 21:51:51;by PI/EMI Analysis 2023.0.0.50417;Zuken GmbH - Germany

Frequency;IC1_Port1(8): Magnitude;IC1_Port1(8): Re;IC1_Port1(8): Img
(Hz);(Ω);;
1.00000e+06;9.30148e-02;3.66763e-03;-9.29424e-02
1.10000e+06;8.21259e-02;3.69502e-03;-8.20428e-02
1.20000e+06;7.28412e-02;3.72165e-03;-7.27460e-02
1.30000e+06;6.47902e-02;3.74768e-03;-6.46817e-02
1.40000e+06;5.77083e-02;3.77327e-03;-5.75849e-02
1.50000e+06;5.14018e-02;3.79856e-03;-5.12613e-02
1.60000e+06;4.57253e-02;3.82367e-03;-4.55652e-02
1.70000e+06;4.05678e-02;3.84873e-03;-4.03849e-02
1.80000e+06;3.58435e-02;3.87388e-03;-3.56335e-02
1.90000e+06;3.14848e-02;3.89923e-03;-3.12425e-02
2.00000e+06;2.74388e-02;3.92493e-03;-2.71566e-02
2.10000e+06;2.36634e-02;3.95111e-03;-2.33313e-02
2.20000e+06;2.01268e-02;3.97792e-03;-1.97298e-02
2.30000e+06;1.68062e-02;4.00552e-03;-1.63219e-02
2.40000e+06;1.36899e-02;4.03408e-03;-1.30821e-02
2.50000e+06;1.07838e-02;4.06380e-03;-9.98882e-03
2.60000e+06;8.13035e-03;4.09489e-03;-7.02386e-03
2.70000e+06;5.86838e-03;4.12757e-03;-4.17145e-03
2.80000e+06;4.39704e-03;4.16213e-03;-1.41796e-03
2.90000e+06;4.38054e-03;4.19885e-03;1.24851e-03
3.00000e+06;5.71795e-03;4.23808e-03;3.83845e-03
3.10000e+06;7.66713e-03;4.28019e-03;6.36119e-03
3.20000e+06;9.82820e-03;4.32565e-03;8.82509e-03
3.30000e+06;1.20593e-02;4.37494e-03;1.12377e-02
3.40000e+06;1.43086e-02;4.42866e-03;1.36059e-02
3.50000e+06;1.65560e-02;4.48750e-03;1.59362e-02
3.60000e+06;1.87941e-02;4.55225e-03;1.82345e-02
3.70000e+06;2.10212e-02;4.62384e-03;2.05064e-02
3.80000e+06;2.32383e-02;4.70337e-03;2.27573e-02
3.90000e+06;2.54478e-02;4.79213e-03;2.49926e-02
4.00000e+06;2.76534e-02;4.89165e-03;2.72173e-02
4.10000e+06;2.98590e-02;5.00378e-03;2.94367e-02
4.20000e+06;3.20691e-02;5.13071e-03;3.16560e-02
4.30000e+06;3.42888e-02;5.27510e-03;3.38806e-02
4.40000e+06;3.65235e-02;5.44017e-03;3.61161e-02
4.50000e+06;3.87792e-02;5.62984e-03;3.83684e-02
4.60000e+06;4.10625e-02;5.84894e-03;4.06438e-02
4.70000e+06;4.33804e-02;6.10343e-03;4.29489e-02
4.80000e+06;4.57412e-02;6.40074e-03;4.52911e-02
4.90000e+06;4.81537e-02;6.75016e-03;4.76782e-02
5.00000e+06;5.06280e-02;7.16344e-03;5.01186e-02
5.10000e+06;5.31753e-02;7.65551e-03;5.26213e-02
5.20000e+06;5.58082e-02;8.24549e-03;5.51957e-02
5.30000e+06;5.85406e-02;8.95804e-03;5.78511e-02
5.40000e+06;6.13876e-02;9.82514e-03;6.05963e-02
5.50000e+06;6.43650e-02;1.08885e-02;6.34374e-02
5.60000e+06;6.74883e-02;1.22025e-02;6.63760e-02
5.70000e+06;7.07701e-02;1.38381e-02;6.94040e-02
