epoch,beta,hm_mu_mean,hm_sigma_mean,occ_mu_mean,occ_sigma_mean,imp_mu_mean,imp_sigma_mean,fused_mu_mean,fused_mu_std,fused_sigma_mean,fused_mu_min,fused_mu_max,kl_gaussian,val_recon,val_total
1,0.000000,-0.0339,1.0734,-0.0148,1.0055,-0.0456,1.0306,-0.0608,0.4092,0.4454,-2.6158,0.8183,0.5158,11.6503,1367.8283
25,0.015000,0.0206,0.8974,-0.0389,0.9521,-0.0031,0.7402,0.0012,0.4352,0.5775,-1.2277,1.0754,0.8002,13.0661,473.0668
50,0.030625,-0.0162,0.7618,-0.0460,0.8995,-0.0061,0.6230,-0.0115,0.4500,0.5872,-1.3539,0.7206,0.9563,10.4293,365.2903
75,0.046250,0.0093,0.6852,-0.0407,0.8613,0.0204,0.5794,0.0119,0.3678,0.5917,-1.0792,0.7807,1.0143,9.9028,409.2029
100,0.061875,0.0033,0.6378,-0.0388,0.8282,0.0360,0.5501,0.0221,0.3337,0.6017,-0.9390,0.8166,1.0799,9.1347,395.1422
125,0.077500,-0.0589,0.6624,-0.0501,0.8089,0.0183,0.5248,-0.0154,0.3387,0.6001,-1.1551,0.6471,1.1299,8.4818,315.7375
150,0.093125,-0.0421,0.6069,-0.0619,0.7982,0.0407,0.5178,-0.0059,0.3187,0.6250,-0.8996,0.7362,1.1776,8.1048,317.0154
175,0.101000,-0.0834,0.6499,-0.0627,0.7883,0.0338,0.5125,-0.0204,0.3133,0.6430,-1.1800,0.6872,1.1936,7.9337,344.3978
200,0.102786,-0.0789,0.6504,-0.0797,0.7698,0.0462,0.4937,-0.0209,0.3325,0.6489,-1.1724,0.7227,1.2454,7.4192,190.3290
225,0.104571,-0.0630,0.6325,-0.0837,0.7593,0.0431,0.4874,-0.0199,0.3368,0.6812,-1.0313,0.6791,1.2990,6.5505,401.6705
250,0.106357,-0.0708,0.6185,-0.0838,0.7632,0.0207,0.4910,-0.0317,0.3330,0.7154,-1.1633,0.6244,1.3403,6.2357,115.0590
275,0.108143,-0.1034,0.6304,-0.0802,0.7566,0.0094,0.4948,-0.0488,0.3367,0.7179,-1.1965,0.6530,1.3435,6.1629,330.6493
300,0.109929,-0.0850,0.6488,-0.0897,0.7517,-0.0037,0.4917,-0.0498,0.3290,0.7266,-1.1770,0.5750,1.3637,6.0637,242.4890
325,0.110000,-0.1167,0.6441,-0.0905,0.7394,0.0177,0.4912,-0.0428,0.3321,0.7402,-0.9656,0.6148,1.3813,6.0500,200.8148
350,0.110000,-0.1010,0.6648,-0.0890,0.7406,0.0006,0.4944,-0.0477,0.3326,0.7426,-1.1346,0.5326,1.3874,6.4421,252.0206
375,0.110000,-0.1223,0.6359,-0.0956,0.7451,-0.0012,0.4879,-0.0578,0.3456,0.7577,-1.1636,0.5925,1.4205,6.3200,236.5010
400,0.110000,-0.1477,0.6412,-0.0936,0.7466,-0.0080,0.5008,-0.0735,0.3485,0.7675,-1.0823,0.6120,1.4220,6.3080,176.6941
425,0.110000,-0.1198,0.6387,-0.1013,0.7401,0.0036,0.5076,-0.0538,0.3513,0.7685,-1.0839,0.5499,1.4148,6.2510,168.8577
450,0.110000,-0.1305,0.6578,-0.0948,0.7448,0.0264,0.4980,-0.0469,0.3467,0.7786,-1.0749,0.5989,1.4348,6.1200,98.1159
475,0.110000,-0.1268,0.6530,-0.0895,0.7379,0.0237,0.5134,-0.0507,0.3337,0.7940,-0.9277,0.4801,1.4363,6.2299,105.6361
500,0.110000,-0.1408,0.6372,-0.0912,0.7344,0.0364,0.5042,-0.0479,0.3437,0.7999,-1.0108,0.5405,1.4657,6.4084,169.0908
