#Design: ProKI_design;Power Bus Pin Impedance Power_GND
#Produced on;2026-04-12 16:52:31;by PI/EMI Analysis 2023.0.0.50417;Zuken GmbH - Germany

Frequency;IC1_Port1(8): Magnitude;IC1_Port1(8): Re;IC1_Port1(8): Img
(Hz);(Ω);;
1.00000e+06;3.80257e-02;2.45925e-03;-3.79461e-02
1.10000e+06;3.20556e-02;2.49149e-03;-3.19587e-02
1.20000e+06;2.68622e-02;2.52335e-03;-2.67434e-02
1.30000e+06;2.22672e-02;2.55512e-03;-2.21201e-02
1.40000e+06;1.81452e-02;2.58706e-03;-1.79598e-02
1.50000e+06;1.44078e-02;2.61945e-03;-1.41676e-02
1.60000e+06;1.09969e-02;2.65258e-03;-1.06721e-02
1.70000e+06;7.88990e-03;2.68674e-03;-7.41835e-03
1.80000e+06;5.14280e-03;2.72227e-03;-4.36321e-03
1.90000e+06;3.12777e-03;2.75954e-03;-1.47238e-03
2.00000e+06;3.07860e-03;2.79897e-03;1.28201e-03
2.10000e+06;4.84363e-03;2.84103e-03;3.92291e-03
2.20000e+06;7.08420e-03;2.88628e-03;6.46956e-03
2.30000e+06;9.40799e-03;2.93537e-03;8.93834e-03
2.40000e+06;1.17307e-02;2.98906e-03;1.13435e-02
2.50000e+06;1.40326e-02;3.04826e-03;1.36975e-02
2.60000e+06;1.63117e-02;3.11407e-03;1.60117e-02
2.70000e+06;1.85722e-02;3.18782e-03;1.82966e-02
2.80000e+06;2.08206e-02;3.27111e-03;2.05620e-02
2.90000e+06;2.30644e-02;3.36595e-03;2.28175e-02
3.00000e+06;2.53122e-02;3.47480e-03;2.50726e-02
3.10000e+06;2.75730e-02;3.60073e-03;2.73369e-02
3.20000e+06;2.98568e-02;3.74767e-03;2.96207e-02
3.30000e+06;3.21745e-02;3.92057e-03;3.19348e-02
3.40000e+06;3.45386e-02;4.12587e-03;3.42912e-02
3.50000e+06;3.69630e-02;4.37195e-03;3.67035e-02
3.60000e+06;3.94642e-02;4.66987e-03;3.91869e-02
3.70000e+06;4.20616e-02;5.03447e-03;4.17593e-02
3.80000e+06;4.47787e-02;5.48591e-03;4.44414e-02
3.90000e+06;4.76436e-02;6.05201e-03;4.72576e-02
4.00000e+06;5.06910e-02;6.77186e-03;5.02367e-02
4.10000e+06;5.39638e-02;7.70127e-03;5.34115e-02
4.20000e+06;5.75145e-02;8.92145e-03;5.68183e-02
4.30000e+06;6.14063e-02;1.05525e-02;6.04928e-02
4.40000e+06;6.57124e-02;1.27748e-02;6.44587e-02
4.50000e+06;7.05072e-02;1.58601e-02;6.87002e-02
4.60000e+06;7.58383e-02;2.02128e-02;7.30951e-02
4.70000e+06;8.16516e-02;2.63968e-02;7.72671e-02
4.80000e+06;8.76082e-02;3.50488e-02;8.02919e-02
4.90000e+06;9.27272e-02;4.63810e-02;8.02941e-02
5.00000e+06;9.49926e-02;5.88453e-02;7.45709e-02
5.10000e+06;9.18434e-02;6.78516e-02;6.18981e-02
5.20000e+06;8.25779e-02;6.85065e-02;4.61082e-02
5.30000e+06;7.00522e-02;6.13802e-02;3.37607e-02
5.40000e+06;5.82740e-02;5.13234e-02;2.76003e-02
5.50000e+06;4.95661e-02;4.20157e-02;2.62960e-02
5.60000e+06;4.43828e-02;3.46607e-02;2.77213e-02
5.70000e+06;4.21689e-02;2.92012e-02;3.04221e-02
5.80000e+06;4.20509e-02;2.52511e-02;3.36253e-02
5.90000e+06;4.32404e-02;2.24405e-02;3.69616e-02
6.00000e+06;4.51796e-02;2.04937e-02;4.02642e-02
6.10000e+06;4.75207e-02;1.92239e-02;4.34587e-02
6.20000e+06;5.00558e-02;1.85124e-02;4.65068e-02
6.30000e+06;5.26530e-02;1.82878e-02;4.93750e-02
6.40000e+06;5.52103e-02;1.85072e-02;5.20160e-02
6.50000e+06;5.76241e-02;1.91341e-02;5.43547e-02
6.60000e+06;5.97688e-02;2.01092e-02;5.62843e-02
6.70000e+06;6.14934e-02;2.13140e-02;5.76815e-02
6.80000e+06;6.26497e-02;2.25417e-02;5.84538e-02
6.90000e+06;6.31585e-02;2.35135e-02;5.86183e-02
7.00000e+06;6.30887e-02;2.39679e-02;5.83586e-02
