epoch,train_heatmap_loss,train_tier_a,train_peak_log1p,train_valley_log1p,train_peak_loc,val_heatmap_loss,val_tier_a,val_peak_log1p,val_valley_log1p,val_peak_loc
1,2.5525951385498047,1.6287834644317627,0.0,0.0,0.369524747133255,2.0199293256457387,1.1318128050350753,0.0,0.0,0.35524661228305005
5,0.8127692937850952,0.640855610370636,0.0,0.0,0.06876550614833832,0.6918424706641442,0.5584746687138666,0.0,0.0,0.05334712060097137
10,0.5863019227981567,0.4631994366645813,0.0,0.0,0.049241069704294205,0.5119690825053251,0.4193236477713767,0.0,0.0,0.03705817384675878
15,0.4802960157394409,0.376239150762558,0.0,0.0,0.041622791439294815,0.4038883700071137,0.3207091433428676,0.0,0.0,0.03327169037256084
20,0.4006258547306061,0.31092336773872375,0.0,0.0,0.03588101640343666,0.33822019487782257,0.2695121798521834,0.0,0.0,0.027483205865722535
25,0.38434168696403503,0.2756844758987427,0.0,0.0,0.043462853878736496,0.3062241959278701,0.23144825942855063,0.0,0.0,0.02991037421396684
30,0.3142993152141571,0.2194942831993103,0.0,0.0,0.03792203217744827,0.23918381561347044,0.17358330234152372,0.0,0.0,0.026240205214119672
35,0.2820396423339844,0.1892915517091751,0.0,0.0,0.037099190056324005,0.21663763093166663,0.14905828685382677,0.0,0.0,0.02703173770543819
40,0.25895392894744873,0.1711612194776535,0.0,0.0,0.03511708229780197,0.22129565395944106,0.14813313922269747,0.0,0.0,0.02926500563005932
45,0.24401189386844635,0.15760700404644012,0.0,0.0,0.034561946988105774,0.18682611526035872,0.1251089029787668,0.0,0.0,0.024686885127400766
50,0.23036405444145203,0.1462116688489914,0.0,0.0,0.03366091102361679,0.16337531483401366,0.10742361538234305,0.0,0.0,0.022380679835631547
55,0.22467727959156036,0.13962382078170776,0.0,0.0,0.03402138128876686,0.14509938046580456,0.10009480841824266,0.0,0.0,0.018001828739633324
60,0.20650990307331085,0.13066454231739044,0.0,0.0,0.030338142067193985,0.1281283130574096,0.0888458449658149,0.0,0.0,0.015712987374555055
65,0.2140633910894394,0.13041235506534576,0.0,0.0,0.03346036374568939,0.17722805324799376,0.10342981507543658,0.0,0.0,0.0295192951519714
70,0.21008355915546417,0.12491118162870407,0.0,0.0,0.034068960696458817,0.142208375810274,0.09088114771198054,0.0,0.0,0.020530891279013103
75,0.19108732044696808,0.11666195839643478,0.0,0.0,0.0297701358795166,0.1388018550605722,0.08900509318693088,0.0,0.0,0.01991870468533267
80,0.18368279933929443,0.11174412071704865,0.0,0.0,0.02877548709511757,0.1160114437260263,0.08038939319835986,0.0,0.0,0.014248820207504138
85,0.17831410467624664,0.10758348554372787,0.0,0.0,0.028292249888181686,0.12364050522039496,0.07592549036597945,0.0,0.0,0.019086006135664513
90,0.179697185754776,0.10628542304039001,0.0,0.0,0.029364699497818947,0.11317552951841406,0.07785387650702169,0.0,0.0,0.014128661190307205
95,0.16738209128379822,0.1017499789595604,0.0,0.0,0.02625281736254692,0.11249331527394675,0.07404108964354614,0.0,0.0,0.01538089027404378
100,0.16971099376678467,0.10000873357057571,0.0,0.0,0.02788090705871582,0.1068069386840518,0.07079300172423404,0.0,0.0,0.014405574898942898
105,0.16563299298286438,0.09775318205356598,0.0,0.0,0.02715192176401615,0.11273757396825676,0.07457808519158858,0.0,0.0,0.015263795725431272
110,0.16306641697883606,0.09702489525079727,0.0,0.0,0.026416607201099396,0.10489806365934226,0.06868414961493732,0.0,0.0,0.014485565767384292
115,0.16773413121700287,0.09556571394205093,0.0,0.0,0.028867391869425774,0.10167596098340925,0.06683274220084884,0.0,0.0,0.013937287566969629
120,0.15561261773109436,0.09096617251634598,0.0,0.0,0.02585858851671219,0.10595268739865778,0.0664685513681727,0.0,0.0,0.015793654451889745
125,0.15713940560817719,0.09021680057048798,0.0,0.0,0.026769042015075684,0.09308628416289397,0.06035410083545362,0.0,0.0,0.013092873284664474
130,0.15085408091545105,0.08830761164426804,0.0,0.0,0.025018613785505295,0.10371484554530493,0.06033814720850173,0.0,0.0,0.017350679309275308
135,0.14809849858283997,0.08583278208971024,0.0,0.0,0.024906298145651817,0.08938492423361116,0.05609280951931828,0.0,0.0,0.013316845892842025
140,0.14722353219985962,0.0845680758357048,0.0,0.0,0.025062182918190956,0.09259754667679469,0.06182977952103797,0.0,0.0,0.012307106947292232
145,0.1458747386932373,0.08327958732843399,0.0,0.0,0.025038059800863266,0.09462341698792463,0.060385765965844766,0.0,0.0,0.013695060344199176
150,0.14407208561897278,0.08262845128774643,0.0,0.0,0.024577440693974495,0.0887383501467809,0.05591037051110971,0.0,0.0,0.013131191910758533
155,0.14490436017513275,0.08203807473182678,0.0,0.0,0.025146493688225746,0.0925904300287773,0.05737586005952189,0.0,0.0,0.014085827927140753
160,0.14088758826255798,0.08027355372905731,0.0,0.0,0.024245604872703552,0.10145762737820058,0.060773042341073356,0.0,0.0,0.016273834251498427
165,0.1423608809709549,0.08087372034788132,0.0,0.0,0.0245948676019907,0.08519097148883538,0.053763395755505955,0.0,0.0,0.012571030372723203
170,0.13319182395935059,0.07661578059196472,0.0,0.0,0.022630417719483376,0.08078959177100593,0.052869744782076504,0.0,0.0,0.011167938770125799
175,0.13729114830493927,0.07743605971336365,0.0,0.0,0.02394203282892704,0.08695315333500586,0.057394704694956375,0.0,0.0,0.011823379399020815
180,0.13635848462581635,0.07687587291002274,0.0,0.0,0.023793049156665802,0.08892879545525775,0.0593084395135361,0.0,0.0,0.011848142569060208
185,0.1336197853088379,0.07495348900556564,0.0,0.0,0.023466510698199272,0.08409529085693464,0.05069868997390804,0.0,0.0,0.013358640362371187
190,0.13626113533973694,0.07522845268249512,0.0,0.0,0.024413075298070908,0.0789656772639582,0.05393962022629592,0.0,0.0,0.010010422818118432
195,0.13365231454372406,0.0746992826461792,0.0,0.0,0.023581208661198616,0.07709658766786258,0.04893876166373003,0.0,0.0,0.011263130426081153
200,0.13209421932697296,0.07331515103578568,0.0,0.0,0.023511629551649094,0.07417444485784229,0.04803707904584421,0.0,0.0,0.010454946458390584
205,0.1301170438528061,0.07210568338632584,0.0,0.0,0.023204535245895386,0.08316394230707096,0.05131155067209989,0.0,0.0,0.012740956667729252
210,0.13508784770965576,0.07223308831453323,0.0,0.0,0.025141891092061996,0.0765510781418756,0.05105236064785165,0.0,0.0,0.010199487077001013
215,0.13231261074543,0.07093870639801025,0.0,0.0,0.024549564346671104,0.07950244829710064,0.0457727922523608,0.0,0.0,0.013491862471332479
220,0.13044019043445587,0.07043719291687012,0.0,0.0,0.02400119975209236,0.07713845799692341,0.04563673237552408,0.0,0.0,0.012600690274005705
225,0.12222415953874588,0.06889762729406357,0.0,0.0,0.02133059687912464,0.08275368781200523,0.05137737001714811,0.0,0.0,0.012550527000891381
230,0.12800662219524384,0.07003527134656906,0.0,0.0,0.02318854257464409,0.08316731400014273,0.05205825241944177,0.0,0.0,0.012443624785465133
235,0.11900778114795685,0.06772304326295853,0.0,0.0,0.02051389589905739,0.07671068706473366,0.04887298867106438,0.0,0.0,0.011135079434823468
240,0.1245650127530098,0.06688523292541504,0.0,0.0,0.02307189255952835,0.07329873437357079,0.044267191546536536,0.0,0.0,0.011612617031574412
245,0.12124328315258026,0.0664425864815712,0.0,0.0,0.02192028798162937,0.07133039270268111,0.04448178418672801,0.0,0.0,0.010739443464906977
250,0.12073440104722977,0.06559371203184128,0.0,0.0,0.02205626666545868,0.07043775388859008,0.044918614536360965,0.0,0.0,0.01020765590323695
255,0.12156816571950912,0.0654354989528656,0.0,0.0,0.022453060373663902,0.07634674590793464,0.04417259191147617,0.0,0.0,0.01286966166881427
260,0.12231020629405975,0.06718991696834564,0.0,0.0,0.02204810082912445,0.08625775652993573,0.04659673935972928,0.0,0.0,0.01586440676833437
265,0.12113033980131149,0.0649324581027031,0.0,0.0,0.022479163482785225,0.07630876425266918,0.04263011231774189,0.0,0.0,0.013471460954637313
270,0.11897769570350647,0.06411039084196091,0.0,0.0,0.021946944296360016,0.07219440343438602,0.045624771262290045,0.0,0.0,0.01062785291311438
275,0.11487756669521332,0.06332410126924515,0.0,0.0,0.020621400326490402,0.06955993633534087,0.04329030983190719,0.0,0.0,0.010507850630381883
280,0.11629156768321991,0.06320008635520935,0.0,0.0,0.021236591041088104,0.0699963054003937,0.04321220555836386,0.0,0.0,0.010713639956659795
285,0.11915960162878036,0.06303440779447556,0.0,0.0,0.02245008572936058,0.06647923625394946,0.041779638212072395,0.0,0.0,0.0098798392605179
290,0.11802873015403748,0.06253387778997421,0.0,0.0,0.022197946906089783,0.06838947966124842,0.04052183492099001,0.0,0.0,0.011147057948013147
295,0.11385827511548996,0.06211479380726814,0.0,0.0,0.02069738321006298,0.06405809438212322,0.04221011177112496,0.0,0.0,0.008739193054068773
300,0.11814937740564346,0.06283681839704514,0.0,0.0,0.022125013172626495,0.06828180533614966,0.04266800833204405,0.0,0.0,0.010245518685099694
305,0.11931931972503662,0.06311710178852081,0.0,0.0,0.022480901330709457,0.06505105668892626,0.041747981936879494,0.0,0.0,0.00932122995221957
310,0.11425503343343735,0.06065203249454498,0.0,0.0,0.021441197022795677,0.06713827870419768,0.041289273751238004,0.0,0.0,0.010339602031566895
315,0.11307206004858017,0.06046843156218529,0.0,0.0,0.02104143239557743,0.06005037810063102,0.03858175743473032,0.0,0.0,0.00858744824574904
320,0.11383610963821411,0.0611763596534729,0.0,0.0,0.02106391452252865,0.06587754029149566,0.04231366651550017,0.0,0.0,0.009425549449836784
325,0.1129438504576683,0.0611279234290123,0.0,0.0,0.020726362243294716,0.0695591562025534,0.04014541695271034,0.0,0.0,0.011765495581358996
330,0.11844754219055176,0.06126782298088074,0.0,0.0,0.02287187986075878,0.0665261927849608,0.04032405903512012,0.0,0.0,0.01048085361444315
335,0.10569605231285095,0.05864766612648964,0.0,0.0,0.018819356337189674,0.05929110457744103,0.037420625202968474,0.0,0.0,0.008748191765056607
340,0.115228570997715,0.059812672436237335,0.0,0.0,0.022166363894939423,0.06251230544812693,0.03834068123760119,0.0,0.0,0.009668649708638425
345,0.11146879196166992,0.05999014154076576,0.0,0.0,0.020591452717781067,0.06432403589451248,0.03997070574369587,0.0,0.0,0.009741332147860788
350,0.11032242327928543,0.058867406100034714,0.0,0.0,0.020582003518939018,0.061561808926485925,0.03765269696631067,0.0,0.0,0.009563644776690772
355,0.11172763258218765,0.05814540013670921,0.0,0.0,0.021432889625430107,0.06417105703161714,0.037191318561796284,0.0,0.0,0.010791895422534864
360,0.11107978969812393,0.05844177305698395,0.0,0.0,0.021055204793810844,0.06377737517239618,0.03906823275356345,0.0,0.0,0.009883656990943386
365,0.11481737345457077,0.05901806801557541,0.0,0.0,0.022319739684462547,0.05950858195622762,0.037925905583660456,0.0,0.0,0.008633070533759281
370,0.1086776927113533,0.05832948163151741,0.0,0.0,0.02013927698135376,0.061108777106133966,0.040137632785599085,0.0,0.0,0.008388457788011986
375,0.10932423174381256,0.05727064609527588,0.0,0.0,0.02082143723964691,0.06044504011833603,0.03867320767273017,0.0,0.0,0.008708733069084462
380,0.10967889428138733,0.05671107396483421,0.0,0.0,0.021187128499150276,0.061847080970233906,0.03776751792496019,0.0,0.0,0.00963182527765306
385,0.10810832679271698,0.05621715635061264,0.0,0.0,0.020756466314196587,0.06290390729252758,0.03780921137398058,0.0,0.0,0.010037878327214164
390,0.1021476611495018,0.05543874204158783,0.0,0.0,0.018683573231101036,0.060420162161517015,0.03633504547178745,0.0,0.0,0.009634046693195085
395,0.11156806349754333,0.0572124607861042,0.0,0.0,0.021742234006524086,0.060474014306654694,0.03934972405515082,0.0,0.0,0.00844971621103707
400,0.10550843924283981,0.05563459172844887,0.0,0.0,0.019949542358517647,0.055601707471361575,0.03589012410715629,0.0,0.0,0.007884633334231426
405,0.10885614156723022,0.056520093232393265,0.0,0.0,0.02093443274497986,0.06027470083266008,0.03463665219888987,0.0,0.0,0.01025521950389111
410,0.10431215912103653,0.05560304597020149,0.0,0.0,0.019483638927340508,0.058113292836752095,0.03935298170955455,0.0,0.0,0.007504124518819764
415,0.10338816046714783,0.05492356792092323,0.0,0.0,0.019385822117328644,0.055299513510179,0.03585907495249816,0.0,0.0,0.00777617558236412
420,0.10448611527681351,0.0552167072892189,0.0,0.0,0.019707761704921722,0.07069989519773937,0.03918968141078949,0.0,0.0,0.01260408551477995
425,0.10650765895843506,0.05513767525553703,0.0,0.0,0.020548002794384956,0.06222003975201174,0.03628704600198999,0.0,0.0,0.010373197518838723
430,0.10526859015226364,0.05465174466371536,0.0,0.0,0.020246753469109535,0.05557954516974303,0.03510306749106105,0.0,0.0,0.00819059110200796
435,0.10440187901258469,0.05436079204082489,0.0,0.0,0.020016435533761978,0.05928268753847138,0.03706110382829208,0.0,0.0,0.008888633542597456
440,0.09710133820772171,0.05316799134016037,0.0,0.0,0.01757335104048252,0.05940336212922966,0.03446827348464174,0.0,0.0,0.009974035526030376
445,0.09993309527635574,0.05316998064517975,0.0,0.0,0.01870524324476719,0.057469813407607415,0.035652490220760384,0.0,0.0,0.008726929323340618
450,0.10314767807722092,0.055212609469890594,0.0,0.0,0.019174031913280487,0.05199681619395975,0.03279266886087389,0.0,0.0,0.007681658986416427
455,1.0428533554077148,0.5489621758460999,0.0,0.0,0.19755645096302032,0.06106125726237323,0.034267824591020415,0.0,0.0,0.01071737319119071
460,0.9645875096321106,0.49781468510627747,0.0,0.0,0.18670926988124847,0.05931635038123105,0.03809284267163342,0.0,0.0,0.008489403111575162
465,0.8836921453475952,0.46237996220588684,0.0,0.0,0.1685248464345932,0.06356597457671426,0.04249407389694876,0.0,0.0,0.008428760226612372
470,0.853185772895813,0.44675952196121216,0.0,0.0,0.16257058084011078,0.06272475024471517,0.042948849763863726,0.0,0.0,0.00791036020175559
475,0.7276241183280945,0.3846953213214874,0.0,0.0,0.13717149198055267,0.058173364506718894,0.040705413521964696,0.0,0.0,0.006987180377616257
465,0.924795925617218,0.4872052073478699,0.0,0.0,0.17503641545772552,0.06437465772439874,0.043185867735596954,0.0,0.0,0.008475515959641891
470,0.813797116279602,0.4285535514354706,0.0,0.0,0.15409737825393677,0.05986464351334207,0.040234343866344356,0.0,0.0,0.007852119837678927
475,0.7841461896896362,0.41572481393814087,0.0,0.0,0.14736846089363098,0.06178606553970139,0.04252929395176674,0.0,0.0,0.007702708568759873
480,0.6836698055267334,0.3637750446796417,0.0,0.0,0.1279578059911728,0.05840091641401984,0.04075755388603185,0.0,0.0,0.00705734503715009
470,0.8802217245101929,0.46576523780822754,0.0,0.0,0.16578266024589539,0.06382239153964923,0.04308195756188507,0.0,0.0,0.008296173567186451
475,0.809399425983429,0.42805540561676025,0.0,0.0,0.15253764390945435,0.06355949450548881,0.043559234568981524,0.0,0.0,0.008000104036691085
480,0.7374868392944336,0.3929191529750824,0.0,0.0,0.13782699406147003,0.060796405590785654,0.042019954958900076,0.0,0.0,0.007510580303137257
485,0.7540211081504822,0.4036732614040375,0.0,0.0,0.1401391476392746,0.059431113465561895,0.04148733621982277,0.0,0.0,0.007177510992191284
