epoch,train_total_loss,train_recon_loss,train_kl_loss,train_heatmap_loss,train_occupancy_loss,train_impedance_loss,val_total_loss,val_recon_loss,val_kl_loss,val_heatmap_loss,val_occupancy_loss,val_impedance_loss,val_expert_kl_loss,val_sigma_floor_loss,val_physics_ri_loss,val_physics_critic_sup_loss,val_physics_ar_loss
1,16.220645904541016,14.513993263244629,0.4942796230316162,2.5525951385498047,0.6197856664657593,0.29955488443374634,12.11805616701887,11.198965963770132,0.5617633631320599,2.0199293256457387,0.6142234170371718,0.11013031535135592,0.23132436783587346,nan,0.0,0.0,0.0
5,10.321320533752441,9.463542938232422,1.1121294498443604,0.8127692937850952,0.5821605920791626,0.34398171305656433,8.859254730203764,8.645657659228382,1.1337781988206457,0.6918424706641442,0.5617807134578788,0.27889344544032885,0.6632461867045835,nan,0.0,0.0,0.0
10,9.313389778137207,8.307214736938477,1.4306252002716064,0.5863019227981567,0.4874473214149475,0.45949113368988037,7.7134054866644854,7.500806107547114,1.4769482104504694,0.5119690825053251,0.46406041916276586,0.361264783909412,0.9469809512623021,nan,0.0,0.0,0.0
15,8.371659278869629,7.358613967895508,1.5877546072006226,0.4802960157394409,0.4307006895542145,0.44319620728492737,6.696685376714488,6.475231837705185,1.6158149555081227,0.4038883700071137,0.4062170943275827,0.3481137540822472,1.0623090583118584,nan,0.0,0.0,0.0
20,7.519643783569336,6.539170742034912,1.7002054452896118,0.4006258547306061,0.388687402009964,0.40647321939468384,5.896920811283133,5.677687186361011,1.7191094407618372,0.33822019487782257,0.3521371447974867,0.309425877010236,1.1376760722509498,nan,0.0,0.0,0.0
25,7.6933207511901855,5.7784857749938965,1.8136802911758423,0.38434168696403503,0.33664095401763916,0.3705218434333801,5.1591784732589305,4.915368609089669,1.8217158278480905,0.3062241959278701,0.30234455826178275,0.28325203785805103,1.1988514538019732,nan,0.0,0.0,0.0
30,7.349619388580322,5.531956672668457,1.9984564781188965,0.3142993152141571,0.29476743936538696,0.3578137755393982,4.865726839649222,4.61310136904482,1.9788543884871437,0.23918381561347044,0.2655500112498393,0.2778103846669849,1.258810905159497,nan,0.0,0.0,0.0
35,6.778674125671387,5.002933979034424,2.0904548168182373,0.2820396423339844,0.26337623596191406,0.3445490896701813,4.414058670971563,4.141939840681566,2.091270306071297,0.21663763093166663,0.235092701400564,0.2562800557886968,1.3019396913507597,nan,0.0,0.0,0.0
40,6.410088062286377,4.685997486114502,2.1487038135528564,0.25895392894744873,0.24252882599830627,0.3415105640888214,4.204636241568894,3.925644685661858,2.138272356465866,0.22129565395944106,0.21244048380135186,0.2558978054204274,1.3089902641994706,nan,0.0,0.0,0.0
45,6.0205278396606445,4.354603290557861,2.2008206844329834,0.24401189386844635,0.2195049226284027,0.33114197850227356,4.160259321087697,3.8804001391259697,2.207728970246237,0.18682611526035872,0.19729389887445611,0.3222841199467091,1.3283187802372083,nan,0.0,0.0,0.0
