mhz,k,sample,label,mae_ohm,rmse_ohm,median_abs_diff_ohm,p95_abs_diff_ohm,max_abs_diff_ohm,nrmse_ohm,mape_pct,real_max_ohm,gen_max_ohm,max_diff_ohm,real_p95_ohm,gen_p95_ohm,real_mean_ohm,gen_mean_ohm,max_ratio,mean_ratio,pearson_r,spearman_rho,pattern_mae,pattern_rmse,peak_loc_err_px,peak_real_ohm,peak_gen_ohm
10.0,2,0,sample_0,0.005635385583697039,0.0070100402965025165,0.0051413930922221615,0.01247002163552288,0.07438554610492759,0.02325880722956273,8.011864608735635,0.33959928936830686,0.32451891899108887,0.015080370377217989,0.16298167291135934,0.16628162264823915,0.08718676790365334,0.08914659660318237,0.9555936338816574,1.022478510749415,0.984854784713428,0.9711726386765017,0.002478564221526136,0.013900425140223929,0.0,0.33959928936830686,0.32451891899108887
10.0,3,0,sample_0,0.006994620548345615,0.00926046627354928,0.006018356309241104,0.019627851044404395,0.0990014751535031,0.02846392562938034,8.337354849220695,0.3556261606119194,0.32720017433166504,0.028425986280254334,0.17430473857080342,0.17599803209304798,0.09198719326757616,0.09558327763508527,0.9200677862636926,1.0390933154906539,0.9781374010406814,0.97434227128979,0.015047589721183982,0.0351841963659349,0.0,0.3556261606119194,0.32720017433166504
10.0,4,0,sample_0,0.0050595240881988295,0.007080129959172424,0.0033322363190324417,0.014879210651329255,0.06357505034516286,0.023455596160882972,6.349538391356586,0.33519375338998436,0.3182715177536011,0.016922235636383287,0.1642595209558827,0.16261178255081174,0.08443299365498852,0.08395553534820085,0.949515062660804,0.9943451216625261,0.9851018271537472,0.9800469010705538,0.0040896186542215196,0.016681906063577646,0.0,0.33519375338998436,0.3182715177536011
10.0,5,0,sample_0,0.005015635896700632,0.006425728483739111,0.004234751761067617,0.011712904220828038,0.04584763786633772,0.01975840058941739,6.978864215721978,0.35537374490761664,0.32548320293426514,0.029890541973351503,0.1757206066413674,0.16763193011283872,0.0847064298160054,0.08531648552778995,0.9158898416057104,1.0072020000501694,0.9929497175078071,0.9777377739587806,0.002289612909589739,0.01180392508701931,0.0,0.35537374490761664,0.32548320293426514
10.0,6,0,sample_0,0.004738651184370681,0.0058287494191406695,0.004268164049360996,0.010998897222666573,0.02082181672190213,0.019181991104584413,8.060427088247348,0.3350561906881353,0.3147317171096802,0.020324473578455127,0.1551833017217082,0.15708276629447934,0.07595336306346626,0.08019148216242002,0.9393401043069435,1.0557989656812485,0.9951530220227016,0.985232660050698,0.0007879423748776844,0.006614731315628863,0.0,0.3350561906881353,0.3147317171096802
10.0,7,0,sample_0,0.0063351004876106825,0.009018460614805284,0.004271135929234386,0.020558852532282648,0.03916216915611653,0.028985787200571534,11.111473744106966,0.3424196002559857,0.31971240043640137,0.022707199819584356,0.1436309478023834,0.14210657477378844,0.07000009937749863,0.07460014890262853,0.9336860395765636,1.0657148999221076,0.9759437567628284,0.9413963261479388,0.0075327608789986416,0.02426602891966917,0.0,0.3424196002559857,0.31971240043640137
10.0,8,0,sample_0,0.004681224865424733,0.007120563143135307,0.0028245563035708895,0.015916291123955713,0.07513102134947464,0.022578364356933212,5.846183411896311,0.3489107640700695,0.3270682096481323,0.021842554421937166,0.16115552527430152,0.15412967205047606,0.0809000514371115,0.07901074808516424,0.9373978774195952,0.9766464505474891,0.9876808280606824,0.9810761660699874,0.0018065000305080355,0.011518486519959766,0.0,0.3489107640700695,0.3270682096481323
10.0,9,0,sample_0,0.005348626905941687,0.006878025411191982,0.004453427458502246,0.013042619446852016,0.03597851088380148,0.024231699937850754,7.96479310702826,0.317082209369822,0.3048279285430908,0.01225428082673119,0.15518410555192155,0.1563875436782837,0.08005173404021693,0.08170391153761279,0.9613529852365867,1.0206388720644806,0.9851884141141176,0.9728006067733049,0.008751297622362719,0.023182953954553286,63.0,0.317082209369822,0.3048279285430908
10.0,10,0,sample_0,0.004233582996270277,0.0063696191810914534,0.0031516157396339513,0.01040288489619196,0.08365728449723223,0.02145655480756566,5.975761227069003,0.3329247189101352,0.32538723945617676,0.00753747945395844,0.15323647700734164,0.14921209812164302,0.07805700224629976,0.07660239820296948,0.977359808311521,0.9813648487455302,0.9863092776346394,0.9785678249489006,0.0016836737168097566,0.012378795775418821,0.0,0.3329247189101352,0.32538723945617676
10.0,11,0,sample_0,0.0055951240120896695,0.008476577678556604,0.003707206067051931,0.015386993107542352,0.0968478109156258,0.030405762706010392,8.205847829538053,0.31333750132333194,0.30814099311828613,0.005196508205045802,0.1407999898790341,0.1418066799640655,0.07316983491992714,0.07404545668538634,0.9834156199526097,1.0119669774630138,0.9687796380719008,0.9522651882376503,0.005118034718323674,0.023486959221320994,0.0,0.31333750132333194,0.30814099311828613
10.0,12,0,sample_0,0.005614632912652252,0.007239507863477281,0.004430997080315573,0.014363326888701245,0.05076125576179777,0.023743773950305087,8.842536229370388,0.3369013134402865,0.3149986267089844,0.021902686731302135,0.14310158630598893,0.1419748127460479,0.07052271119048742,0.07263765638663774,0.934987826234212,1.0299895616667047,0.9812899765931685,0.9660775728089106,0.009695313976524672,0.025033824387614548,0.0,0.3369013134402865,0.3149986267089844
10.0,13,0,sample_0,0.003811142910742459,0.005296426481166936,0.002784844258913028,0.011365883662892937,0.032856721317080756,0.01747764224966458,6.312591464484145,0.3313893077610146,0.3072545528411865,0.024134754919828083,0.13844997466884945,0.13593683242797847,0.06875738915299535,0.06968051413972895,0.9271709908720617,1.0134258295450909,0.9880237897579567,0.9723070355618031,0.0014265709896548408,0.009618398084192348,0.0,0.3313893077610146,0.3072545528411865
10.0,14,0,sample_0,0.006465063024062467,0.008726481462895126,0.00486957447666482,0.0187517059386592,0.06585698185667499,0.030458891536799256,10.346074355121777,0.3186272801163893,0.31224119663238525,0.006386083484004046,0.12541029063884515,0.13330760598182678,0.06534370626161419,0.06801026073091236,0.9799575118562626,1.040808130145269,0.965089288181867,0.9187281500677212,0.012280635042478037,0.029768550921306324,0.0,0.3186272801163893,0.31224119663238525
10.0,15,0,sample_0,0.0064971521544019166,0.009669864018355496,0.0038028075238412257,0.019270834309107653,0.04880448626812833,0.03310823800598229,10.947044925158636,0.3252269457761372,0.3141601085662842,0.01106683720985302,0.14374522410920967,0.15084956884384149,0.06978303320494275,0.07467753223050169,0.9659719548039214,1.0701388116963115,0.9720385859216969,0.9263706519914758,0.016284523980389584,0.037060218941563305,63.0,0.3252269457761372,0.3141601085662842
10.0,16,0,sample_0,0.0035792408253131846,0.005031647677667399,0.002642803403383902,0.009536087510445749,0.05080199651539799,0.018304994177043135,5.971729618560449,0.3048784090834481,0.29464006423950195,0.010238344843946146,0.12763250012689709,0.1262536644935608,0.06690944229948945,0.0664619884707711,0.9664182685985355,0.9933125458329853,0.9862461510717971,0.9640940176739482,0.0012467157294000243,0.010123216914690706,0.0,0.3048784090834481,0.29464006423950195
10.0,17,0,sample_0,0.0030239286559691912,0.004034197134821005,0.0024770712979475286,0.007444927900391172,0.03725127814002657,0.014390738529322671,4.427663902610961,0.31345986107913115,0.3097987174987793,0.0036611435803518555,0.14175313331856468,0.14502019882202147,0.07229488367520413,0.07338827706022419,0.9883202156481923,1.015124076966944,0.9935335633411061,0.9870031090115355,0.0005126682483975365,0.0059963593835246284,0.0,0.31345986107913115,0.3097987174987793
10.0,18,0,sample_0,0.004362111546196822,0.00659321774920975,0.0032964068541831426,0.01066981485477085,0.08539514648825233,0.023855349870527263,6.619628120820756,0.30766890348490217,0.3089301586151123,-0.0012612551302101371,0.13176032704668203,0.12878667712211606,0.06880385790469162,0.06805388386294002,1.004099390987923,0.989099825727934,0.9773812808512978,0.962513397519592,0.0022250260625093633,0.015877302140925652,0.0,0.30766890348490217,0.3089301586151123
10.0,19,0,sample_0,0.006116918433830879,0.008963220313828601,0.004516875897008048,0.016758145182771595,0.09816002140752111,0.032243839186626815,9.00545644191633,0.3122840028774325,0.3131890296936035,-0.0009050268161709951,0.1319404792845802,0.1338478922843933,0.06899925230466443,0.06967061278703329,1.0028980889441403,1.0097299674988431,0.9607543525260128,0.9318658397385378,0.006233424695970257,0.025085901245077487,0.0,0.3122840028774325,0.3131890296936035
10.0,20,0,sample_0,0.007109515754373564,0.009552455519612715,0.005660634758644291,0.016870414882835364,0.07529418305149649,0.03707454615271217,10.223754798615508,0.29113154918470147,0.2888503074645996,0.0022812417201018564,0.131306352848945,0.12584251165390012,0.06960992215644111,0.06719449829388331,0.9921642236078833,0.9653005808980882,0.954324178413959,0.9132093478995845,0.00990154469847463,0.028162310235376027,63.0,0.29113154918470147,0.2888503074645996
63.0,2,0,sample_0,0.5243468415128293,0.5434796596667335,0.4998787529289148,0.7591007616852218,0.848412315001811,0.19886656081019974,37.12870096654814,3.293553326427798,3.604855537414551,-0.3113022109867529,2.0993491003112617,2.812772274017334,1.4315252091582036,1.9558720506710328,1.0945186490495944,1.366285440283072,0.9671532792097717,0.9653024628336968,0.10403647143380247,0.11583703254351156,0.0,3.293553326427798,3.604855537414551
63.0,3,0,sample_0,0.16695261663872393,0.17823416759984273,0.17624601525370232,0.25253756600966826,0.31721896778923675,0.0633668101433018,13.65628223514852,3.210530473472076,3.125674247741699,0.08485622573037688,2.041103063733666,2.248814308643341,1.2709320318850044,1.4363285320483166,0.9735694065415278,1.1301379586113678,0.9893868590200249,0.9920524218970528,0.04853573446364208,0.06030484522903847,0.0,3.210530473472076,3.125674247741699
63.0,4,0,sample_0,0.07502936336858271,0.08265335590401267,0.07274181394594853,0.136840314908055,0.18440373326047577,0.039022892148609226,10.791801018135686,2.418359029262936,2.348219633102417,0.07013939616051923,1.3668799548154458,1.4192027926445003,0.794756242143453,0.8673412427132502,0.9709971119623639,1.0913298905008106,0.9908781057289282,0.9895319336180075,0.003119115776795014,0.01318741795191717,0.0,2.418359029262936,2.348219633102417
