mhz,k,pi_norm,max,mean_fg,p95
10.0,2,0.3599516044570672,0.32451891899108887,0.08914659172296524,0.16628162562847137
10.0,3,0.3599516044570672,0.32720017433166504,0.09558327496051788,0.1759980022907257
10.0,4,0.3599516044570672,0.3182715177536011,0.0839555412530899,0.16261178255081177
10.0,5,0.3599516044570672,0.32548320293426514,0.0853164866566658,0.16763192415237427
10.0,6,0.3599516044570672,0.3147317171096802,0.0801914781332016,0.15708276629447937
10.0,7,0.3599516044570672,0.31971240043640137,0.07460014522075653,0.1421065628528595
10.0,8,0.3599516044570672,0.3270682096481323,0.0790107473731041,0.15412966907024384
10.0,9,0.3599516044570672,0.3048279285430908,0.08170391619205475,0.1563875377178192
10.0,10,0.3599516044570672,0.32538723945617676,0.07660239934921265,0.1492120921611786
10.0,11,0.3599516044570672,0.30814099311828613,0.07404544949531555,0.1418066769838333
10.0,12,0.3599516044570672,0.3149986267089844,0.0726376548409462,0.1419747918844223
10.0,13,0.3599516044570672,0.3072545528411865,0.06968051195144653,0.13593681156635284
10.0,14,0.3599516044570672,0.31224119663238525,0.06801026314496994,0.13330760598182678
10.0,15,0.3599516044570672,0.3141601085662842,0.07467752695083618,0.15084955096244812
10.0,16,0.3599516044570672,0.29464006423950195,0.06646198779344559,0.1262536644935608
10.0,17,0.3599516044570672,0.3097987174987793,0.07338827848434448,0.14502020180225372
10.0,18,0.3599516044570672,0.3089301586151123,0.06805387884378433,0.12878666818141937
10.0,19,0.3599516044570672,0.3131890296936035,0.06967061012983322,0.1338478922843933
10.0,20,0.3599516044570672,0.2888503074645996,0.06719449907541275,0.12584251165390015
63.0,2,0.6476755177404777,3.604855537414551,1.9558720588684082,2.812772274017334
63.0,3,0.6476755177404777,3.125674247741699,1.4363285303115845,2.248814344406128
63.0,4,0.6476755177404777,2.348219633102417,0.8673412799835205,1.4192026853561401
63.0,5,0.6476755177404777,2.434469223022461,0.853360116481781,1.4841747283935547
63.0,6,0.6476755177404777,2.2407026290893555,0.7156882882118225,1.2403465509414673
63.0,7,0.6476755177404777,2.2025651931762695,0.6699140071868896,1.1459788084030151
63.0,8,0.6476755177404777,2.2352609634399414,0.6342039108276367,1.1451091766357422
63.0,9,0.6476755177404777,2.1329243183135986,0.6329458355903625,1.1467437744140625
63.0,10,0.6476755177404777,2.156226634979248,0.5803021192550659,1.0795433521270752
63.0,11,0.6476755177404777,2.062936782836914,0.5550302863121033,1.0053136348724365
63.0,12,0.6476755177404777,2.1059083938598633,0.557018518447876,1.0361157655715942
63.0,13,0.6476755177404777,2.0806565284729004,0.5335585474967957,1.006181240081787
63.0,14,0.6476755177404777,2.0731089115142822,0.5211400985717773,0.9862641096115112
63.0,15,0.6476755177404777,2.1131956577301025,0.544998049736023,1.0660234689712524
63.0,16,0.6476755177404777,1.8782258033752441,0.4910711646080017,0.9174889922142029
63.0,17,0.6476755177404777,1.9718694686889648,0.5277292132377625,1.0047398805618286
63.0,18,0.6476755177404777,1.9901068210601807,0.506145715713501,0.9351207613945007
63.0,19,0.6476755177404777,2.0497851371765137,0.49844416975975037,0.956423819065094
63.0,20,0.6476755177404777,1.8787450790405273,0.4911958575248718,0.9117432832717896
150.0,2,0.7832875401420919,9.946329116821289,3.1846511363983154,7.998326301574707
150.0,3,0.7832875401420919,7.122945785522461,2.212186336517334,5.119891166687012
150.0,4,0.7832875401420919,7.976376533508301,2.338085889816284,5.524418354034424
150.0,5,0.7832875401420919,6.725523948669434,1.6158742904663086,3.886991024017334
150.0,6,0.7832875401420919,5.213372230529785,1.377437710762024,2.9500229358673096
150.0,7,0.7832875401420919,4.704848766326904,1.2581510543823242,2.6035094261169434
150.0,8,0.7832875401420919,4.775909900665283,0.9969038367271423,2.456486940383911
150.0,9,0.7832875401420919,4.617708683013916,1.230854868888855,2.4948086738586426
150.0,10,0.7832875401420919,4.729413032531738,1.2546981573104858,2.784311056137085
150.0,11,0.7832875401420919,6.27257776260376,1.6378836631774902,3.1788876056671143
150.0,12,0.7832875401420919,6.842309474945068,1.891497015953064,4.882623672485352
150.0,13,0.7832875401420919,7.742525100708008,1.8005409240722656,4.848166465759277
150.0,14,0.7832875401420919,7.096039772033691,1.5777682065963745,3.7840046882629395
150.0,15,0.7832875401420919,6.404118061065674,1.5530202388763428,3.470142364501953
150.0,16,0.7832875401420919,5.445090293884277,1.289534330368042,2.6201846599578857
150.0,17,0.7832875401420919,5.8997039794921875,1.4401291608810425,2.9349210262298584
150.0,18,0.7832875401420919,5.5558576583862305,1.3392479419708252,2.607905149459839
150.0,19,0.7832875401420919,6.223621845245361,1.3581591844558716,2.887777328491211
150.0,20,0.7832875401420919,5.0662031173706055,1.2507494688034058,2.419963836669922
270.0,2,0.875173287927802,25.147506713867188,6.749466896057129,19.737083435058594
270.0,3,0.875173287927802,24.518112182617188,5.139392852783203,12.995767593383789
270.0,4,0.875173287927802,15.506902694702148,2.9535000324249268,8.790196418762207
270.0,5,0.875173287927802,15.664979934692383,2.0641796588897705,4.97437858581543
270.0,6,0.875173287927802,19.81437873840332,4.088928699493408,11.53847599029541
270.0,7,0.875173287927802,12.047948837280273,1.658052921295166,4.338632106781006
270.0,8,0.875173287927802,17.04295539855957,2.035883903503418,5.8933563232421875
270.0,9,0.875173287927802,14.248259544372559,2.2287709712982178,5.782307147979736
270.0,10,0.875173287927802,10.42851448059082,1.8964920043945312,4.8240580558776855
270.0,11,0.875173287927802,9.014764785766602,2.1830928325653076,4.458184242248535
270.0,12,0.875173287927802,10.571696281433105,2.2532002925872803,5.365843296051025
270.0,13,0.875173287927802,12.594508171081543,2.993098020553589,9.438580513000488
270.0,14,0.875173287927802,18.151201248168945,4.084801197052002,10.731578826904297
270.0,15,0.875173287927802,13.140682220458984,2.8926002979278564,7.005495548248291
270.0,16,0.875173287927802,13.609709739685059,2.7086215019226074,7.157304763793945
270.0,17,0.875173287927802,14.39585018157959,3.182650089263916,7.221157073974609
270.0,18,0.875173287927802,17.62433433532715,3.2315895557403564,8.29599666595459
270.0,19,0.875173287927802,21.26755714416504,3.9812748432159424,13.063166618347168
270.0,20,0.875173287927802,16.95235824584961,3.7776761054992676,10.292431831359863
450.0,2,0.9550281012990035,12.914454460144043,2.802337884902954,6.402626037597656
450.0,3,0.9550281012990035,12.797382354736328,2.5815489292144775,5.90253210067749
450.0,4,0.9550281012990035,13.811636924743652,3.0984079837799072,7.312448501586914
450.0,5,0.9550281012990035,10.204385757446289,2.231130599975586,5.070137023925781
450.0,6,0.9550281012990035,10.71351432800293,2.1851935386657715,4.8351640701293945
450.0,7,0.9550281012990035,10.685148239135742,1.961354374885559,4.503905773162842
450.0,8,0.9550281012990035,9.503018379211426,2.104146718978882,4.750221252441406
450.0,9,0.9550281012990035,9.221415519714355,2.2327301502227783,5.273996829986572
450.0,10,0.9550281012990035,8.6853609085083,1.8580353260040283,3.999380350112915
450.0,11,0.9550281012990035,10.120058059692383,2.0274240970611572,3.9167797565460205
450.0,12,0.9550281012990035,7.618817329406738,1.9624645709991455,3.9560627937316895
450.0,13,0.9550281012990035,10.682791709899902,2.583256483078003,4.98379373550415
450.0,14,0.9550281012990035,11.001208305358887,3.1372358798980713,6.801155090332031
450.0,15,0.9550281012990035,11.22344970703125,2.5075113773345947,4.752077579498291
450.0,16,0.9550281012990035,13.213032722473145,2.7529308795928955,5.650315761566162
450.0,17,0.9550281012990035,11.601248741149902,3.3463826179504395,5.972845554351807
450.0,18,0.9550281012990035,10.619873046875,2.8473949432373047,6.150806427001953
