mhz,k,sample,label,mae_ohm,rmse_ohm,median_abs_diff_ohm,p95_abs_diff_ohm,max_abs_diff_ohm,nrmse_ohm,mape_pct,real_max_ohm,gen_max_ohm,real_p95_ohm,gen_p95_ohm,real_mean_ohm,gen_mean_ohm,max_ratio,mean_ratio,pearson_r,spearman_rho,pattern_mae,pattern_rmse,peak_loc_err_px,peak_real_ohm,peak_gen_ohm
10.0,2,0,sample_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32855590796151807,0.24585175514221191,0.1588491859901686,0.18242713212966916,0.0802224978655922,0.10996307977985391,0.7482798183954956,1.3707262015711628,0.9123296074530741,0.9403357865042408,0.18042136552148563,0.20759513942271696,0.0,0.32855590796151807,0.24585175514221191
10.0,3,0,sample_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36930714054372693,0.25075697898864746,0.1886761579523774,0.1830218136310577,0.09323830419046902,0.0992553247646852,0.6789930425376034,1.0645337839041398,0.9362012512893105,0.8753248412992585,0.08257920934668767,0.10975122449278785,63.0,0.36930714054372693,0.25075697898864746
10.0,4,0,sample_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32745712748304606,0.22958219051361084,0.1574492009519789,0.15553742051124572,0.07956289278771754,0.08493177964415027,0.7011061028912781,1.0674797844613004,0.9566656011434507,0.9491530860214412,0.10070639722440773,0.12797932035398013,0.0,0.32745712748304606,0.22958219051361084
10.0,5,0,sample_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.346349476303601,0.21873486042022705,0.16737617137496075,0.15291253328323365,0.08248522077662239,0.08552469740380773,0.6315437885302003,1.0368487420966785,0.9676289348254336,0.9526507830377822,0.10656850495298185,0.13048983735948166,63.0,0.346349476303601,0.21873486042022705
10.0,6,0,sample_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3684383466756085,0.22256755828857422,0.1879158711896116,0.14987576603889463,0.09388573528875563,0.08027794842536633,0.6040835876525464,0.8550601236541728,0.8535434346183729,0.7376217989017587,0.07246885492156906,0.10512854197753384,0.0,0.3684383466756085,0.22256755828857422
10.0,7,0,sample_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34885207126521145,0.22997772693634033,0.1674126720680648,0.14704483151435851,0.08275654588210131,0.07794397385109277,0.6592413973701248,0.9418466300192767,0.9671070163237264,0.9419045647958364,0.04062774299733314,0.06978272991621262,63.0,0.34885207126521145,0.22997772693634033
10.0,8,0,sample_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37483495389798804,0.2224029302597046,0.19339759436620985,0.14238021373748774,0.10075057762830297,0.07618104300021014,0.593335621309831,0.7561350494809399,0.9204709468370619,0.8989516939019251,0.04535514594223473,0.0723512618410313,63.0,0.37483495389798804,0.2224029302597046
10.0,9,0,sample_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34530627207065945,0.21769201755523682,0.17051902665784016,0.13124736547470092,0.08896112725876666,0.07260706760249772,0.630431692566218,0.8161662272028221,0.9258381445961334,0.9339969494161371,0.03764934857349124,0.0667139925637825,0.0,0.34530627207065945,0.21769201755523682
10.0,10,0,sample_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.359196045778233,0.23736155033111572,0.16534837346874975,0.14056544303894042,0.08224367676323056,0.07329662654783342,0.6608133723099566,0.8912129106149449,0.9443123598842585,0.8647757089293447,0.03161580282608506,0.05684559891544042,0.0,0.359196045778233,0.23736155033111572
10.0,11,0,sample_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3243445745460338,0.21360647678375244,0.14426505778585502,0.13483476042747497,0.07367847812755877,0.07659894457230201,0.6585788496161065,1.0396379854601103,0.9049635203496605,0.9037544445317555,0.05627515332976963,0.08908969120252329,0.0,0.3243445745460338,0.21360647678375244
10.0,12,0,sample_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3225805747340694,0.2137923240661621,0.13508490592555006,0.12844148874282835,0.06730167298673953,0.07257886644287821,0.6627563493009747,1.0784110293540319,0.9382894311023542,0.8289997378252334,0.040368216038367766,0.06703458271456154,0.0,0.3225805747340694,0.2137923240661621
10.0,13,0,sample_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3891103973890702,0.2021322250366211,0.20484603121345477,0.1376821756362915,0.10158343807755675,0.07631827449743009,0.5194726905087291,0.7512865870828545,0.869250600022386,0.8894410633207847,0.05510061001996735,0.0918200931295589,63.0,0.3891103973890702,0.2021322250366211
10.0,14,0,sample_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3570926504153267,0.2145998477935791,0.1691547357390738,0.1366329669952392,0.0810257097044363,0.07388031065880836,0.6009640566502354,0.9118131877931984,0.9729817842288765,0.9441591858340314,0.04378714265587899,0.06989511789973256,63.0,0.3570926504153267,0.2145998477935791
10.0,15,0,sample_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3313732557446656,0.20199179649353027,0.15184126289588268,0.12456825375556946,0.07715265100546846,0.07096655434106057,0.6095597426521706,0.9198200374998206,0.9165045796976699,0.8581864300726798,0.040635572689542016,0.07209857501554323,0.0,0.3313732557446656,0.20199179649353027
10.0,16,0,sample_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3395728291807245,0.20066297054290771,0.15518092719889978,0.12788230180740356,0.07868084929659257,0.07404543205852553,0.5909276399617727,0.9410858260998997,0.9260527106439856,0.8518545002687175,0.05812892328151593,0.08883841750727985,0.0,0.3395728291807245,0.20066297054290771
10.0,17,0,sample_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3331445440441563,0.2096937894821167,0.14030156699024457,0.12209145426750181,0.06785129384032833,0.06840542396465382,0.6294378618258958,1.0081668320965185,0.9497676124491254,0.8422305655989707,0.03357235491588325,0.06022099893862917,0.0,0.3331445440441563,0.2096937894821167
10.0,18,0,sample_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3324626403562785,0.19997644424438477,0.13452300853815444,0.11649135351181025,0.06717759834127625,0.064763037474839,0.6015004995150225,0.964057052856061,0.9067432472959461,0.7632572743778224,0.041066384590769826,0.07350458347179817,0.0,0.3324626403562785,0.19997644424438477
10.0,19,0,sample_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3371978713159791,0.23478317260742188,0.14128569277403946,0.13474591374397277,0.0704919954764433,0.0710394935452299,0.6962771493519093,1.0077668118924163,0.9657372054948885,0.9089073760764526,0.031926927499398634,0.059262891891087945,0.0,0.3371978713159791,0.23478317260742188
10.0,20,0,sample_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2709613697650515,0.17845726013183594,0.11932142912586341,0.10465958714485168,0.06286771444267587,0.06148149361421456,0.658607757580259,0.9779501952512477,0.902087399121651,0.7806653219615256,0.03493800564823618,0.0658741050317984,0.0,0.2709613697650515,0.17845726013183594
70.0,2,0,sample_0,0.008295625756722614,0.0527619956591968,0.0,0.0,0.8070257893697095,0.018285586182743965,0.44010764799920793,3.4726015817646845,2.913522720336914,2.2723461135460625,2.2704909563064573,1.560268787757118,1.5351061437166098,0.8390028777376582,0.9838728786745267,0.9665233740301806,0.9695803735845561,0.05146125000840304,0.07697165973384253,0.0,3.4726015817646845,2.913522720336914
70.0,3,0,sample_0,0.8400968331203685,0.9070724055358311,0.9430334000676734,1.2261456902025945,1.8946791447845754,0.22063719177077734,39.339550386655226,4.578292261219602,2.815434455871582,3.2291752552896775,2.0727033376693726,2.052032903520947,1.209838788617741,0.6149529770564678,0.5895805990936398,0.9079100316219415,0.9057571247707658,0.08535708597575001,0.10915188193603989,0.0,4.578292261219602,2.815434455871582
70.0,4,0,sample_0,0.04138751168737662,0.1187566526388461,0.0,0.3173954896079654,0.9641633003773507,0.04559017536591279,3.079263344510487,2.9484767883839424,1.9843134880065918,1.6443283026891045,1.3732354402542113,0.9597441757435312,0.8473956643631964,0.6729961367931244,0.8829391058369316,0.932011262485282,0.8760485039740797,0.06308714198609258,0.08620979368678237,0.0,2.9484767883839424,1.9843134880065918
70.0,5,0,sample_0,0.035878771404761124,0.11060838845184956,0.0,0.3121974875449026,0.8693052756223096,0.04368875789857375,2.218449950645417,2.848481675761832,2.0183515548706055,1.6103673547306536,1.3049763202667235,0.8933468541067188,0.7556641116078361,0.7085710159363386,0.845879859691726,0.9921371752123249,0.9869343864461538,0.016578919188001976,0.03298970591847053,0.0,2.848481675761832,2.0183515548706055
70.0,6,0,sample_0,0.14022295130485188,0.2418278760683272,0.0,0.517721926379984,1.1033303187851295,0.0876301352897283,9.926971407256218,3.096706335401951,1.9933760166168213,1.7827746150104875,1.3203425407409668,0.961863412078003,0.7699562150003749,0.6437084439774888,0.8004839412042578,0.9642159860449598,0.9575955626334973,0.02559872474634929,0.05262033178295464,0.0,3.096706335401951,1.9933760166168213
70.0,7,0,sample_0,0.14337453848806056,0.23823829610813535,0.0,0.4871402992623498,1.1459425170252713,0.09046350361693868,11.604077298492921,2.94529110978345,1.8364949226379395,1.6045664605663648,1.1406266808509824,0.8708374793939248,0.6531759911414349,0.6235359610252469,0.7500549833891217,0.9744707665765423,0.9543611032737517,0.015748966594274813,0.03676815202711656,63.0,2.94529110978345,1.8364949226379395
