mhz,k,pi_norm,max,mean_fg,p95
10.0,3,0.3599516044570672,0.3457554578781128,0.09165840595960617,0.17711739242076874
10.0,4,0.3599516044570672,0.3220776319503784,0.08296796679496765,0.16521191596984863
10.0,5,0.3599516044570672,0.34487175941467285,0.08527428656816483,0.17422115802764893
10.0,6,0.3599516044570672,0.3175605535507202,0.0804005041718483,0.15855151414871216
10.0,7,0.3599516044570672,0.3383491039276123,0.07402319461107254,0.147271990776062
10.0,8,0.3599516044570672,0.34086596965789795,0.07834591716527939,0.1582743227481842
10.0,9,0.3599516044570672,0.31172144412994385,0.08110807836055756,0.16010577976703644
10.0,10,0.3599516044570672,0.3344578742980957,0.0774187371134758,0.15255466103553772
63.0,3,0.6476755177404777,3.1920552253723145,1.3424320220947266,2.0999081134796143
63.0,4,0.6476755177404777,2.377539873123169,0.882067084312439,1.4817092418670654
63.0,5,0.6476755177404777,2.5870752334594727,0.8815226554870605,1.5588382482528687
63.0,6,0.6476755177404777,2.192758798599243,0.6802456378936768,1.2268362045288086
63.0,7,0.6476755177404777,2.323573350906372,0.652749240398407,1.157545804977417
63.0,8,0.6476755177404777,2.1687653064727783,0.6190273761749268,1.1476739645004272
63.0,9,0.6476755177404777,2.116746187210083,0.6243743300437927,1.1346255540847778
63.0,10,0.6476755177404777,2.1380579471588135,0.5743004083633423,1.0814790725708008
150.0,3,0.7832875401420919,8.68715763092041,2.67560076713562,6.172187805175781
150.0,4,0.7832875401420919,7.457274436950684,2.0183143615722656,4.724283695220947
150.0,5,0.7832875401420919,6.1328301429748535,1.5042704343795776,3.453944206237793
150.0,6,0.7832875401420919,5.143730640411377,1.2584236860275269,2.8234710693359375
150.0,7,0.7832875401420919,4.333494186401367,0.9093935489654541,1.997228741645813
150.0,8,0.7832875401420919,4.785451889038086,0.9945052862167358,2.3005051612854004
150.0,9,0.7832875401420919,4.555527687072754,0.9392434358596802,2.297104835510254
150.0,10,0.7832875401420919,6.474674701690674,1.6991621255874634,3.8829150199890137
270.0,3,0.875173287927802,36.31540298461914,7.7832932472229,22.96527099609375
270.0,4,0.875173287927802,54.272377014160156,9.524827003479004,36.91770935058594
270.0,5,0.875173287927802,22.144407272338867,3.843139410018921,11.26710319519043
270.0,6,0.875173287927802,18.704383850097656,3.077098846435547,9.165550231933594
270.0,7,0.875173287927802,17.504974365234375,3.4160726070404053,9.71378231048584
270.0,8,0.875173287927802,18.236473083496094,2.6259260177612305,8.251185417175293
270.0,9,0.875173287927802,25.37664794921875,4.542326927185059,13.42326831817627
270.0,10,0.875173287927802,22.073467254638672,4.6709065437316895,16.638412475585938
450.0,3,0.9550281012990035,10.645177841186523,2.4695355892181396,5.340153694152832
450.0,4,0.9550281012990035,13.571647644042969,3.2671573162078857,7.393312454223633
450.0,5,0.9550281012990035,10.407546997070312,2.440741539001465,5.742840766906738
450.0,6,0.9550281012990035,10.91910171508789,2.5727481842041016,5.517296314239502
450.0,7,0.9550281012990035,11.498078346252441,2.1684041023254395,5.033783435821533
450.0,8,0.9550281012990035,10.39608097076416,2.1448450088500977,4.895285606384277
450.0,9,0.9550281012990035,8.838181495666504,1.9979127645492554,4.729877471923828
450.0,10,0.9550281012990035,10.797539710998535,2.701747179031372,5.167128562927246
500.0,3,0.9714985834422475,16.710105895996094,4.118302822113037,8.975327491760254
500.0,4,0.9714985834422475,19.508281707763672,4.862993240356445,11.430834770202637
500.0,5,0.9714985834422475,16.04685401916504,4.381483554840088,10.297786712646484
500.0,6,0.9714985834422475,15.508312225341797,3.7573082447052,7.842759609222412
500.0,7,0.9714985834422475,14.635420799255371,2.8136439323425293,6.3298187255859375
500.0,8,0.9714985834422475,13.831269264221191,2.8710038661956787,6.335121154785156
500.0,9,0.9714985834422475,12.848917007446289,2.980086326599121,6.977067947387695
500.0,10,0.9714985834422475,12.75063705444336,3.161334753036499,6.579351902008057
