#Design: H-shape;Power Bus Pin Impedance Power_GND
#Produced on;2026-06-09 19:04:17;by PI/EMI Analysis 2023.0.0.50417;Zuken GmbH - Germany

Frequency;IC1_Port1(8): Magnitude;IC1_Port1(8): Re;IC1_Port1(8): Img
(Hz);(Ω);;
1.00000e+06;1.42940e-01;5.04171e-03;-1.42851e-01
1.10000e+06;1.26979e-01;5.07610e-03;-1.26877e-01
1.20000e+06;1.13422e-01;5.10944e-03;-1.13306e-01
1.30000e+06;1.01714e-01;5.14191e-03;-1.01584e-01
1.40000e+06;9.14586e-02;5.17368e-03;-9.13121e-02
1.50000e+06;8.23658e-02;5.20489e-03;-8.22012e-02
1.60000e+06;7.42175e-02;5.23567e-03;-7.40326e-02
1.70000e+06;6.68469e-02;5.26617e-03;-6.66391e-02
1.80000e+06;6.01247e-02;5.29651e-03;-5.98909e-02
1.90000e+06;5.39489e-02;5.32682e-03;-5.36853e-02
2.00000e+06;4.82384e-02;5.35721e-03;-4.79400e-02
2.10000e+06;4.29278e-02;5.38783e-03;-4.25883e-02
2.20000e+06;3.79645e-02;5.41881e-03;-3.75757e-02
2.30000e+06;3.33060e-02;5.45030e-03;-3.28570e-02
2.40000e+06;2.89187e-02;5.48244e-03;-2.83943e-02
2.50000e+06;2.47775e-02;5.51541e-03;-2.41558e-02
2.60000e+06;2.08660e-02;5.54938e-03;-2.01145e-02
2.70000e+06;1.71803e-02;5.58455e-03;-1.62473e-02
2.80000e+06;1.37369e-02;5.62116e-03;-1.25341e-02
2.90000e+06;1.05958e-02;5.65943e-03;-8.95774e-03
3.00000e+06;7.92266e-03;5.69966e-03;-5.50295e-03
3.10000e+06;6.13371e-03;5.74214e-03;-2.15643e-03
3.20000e+06;5.88968e-03;5.78725e-03;1.09368e-03
3.30000e+06;7.22368e-03;5.83537e-03;4.25794e-03
3.40000e+06;9.41373e-03;5.88698e-03;7.34587e-03
3.50000e+06;1.19487e-02;5.94260e-03;1.03661e-02
3.60000e+06;1.46161e-02;6.00285e-03;1.33266e-02
3.70000e+06;1.73316e-02;6.06845e-03;1.62345e-02
3.80000e+06;2.00596e-02;6.14021e-03;1.90968e-02
3.90000e+06;2.27849e-02;6.21913e-03;2.19197e-02
4.00000e+06;2.55016e-02;6.30633e-03;2.47095e-02
4.10000e+06;2.82083e-02;6.40318e-03;2.74720e-02
4.20000e+06;3.09065e-02;6.51127e-03;3.02128e-02
4.30000e+06;3.35990e-02;6.63253e-03;3.29378e-02
4.40000e+06;3.62895e-02;6.76925e-03;3.56526e-02
4.50000e+06;3.89827e-02;6.92421e-03;3.83628e-02
4.60000e+06;4.16837e-02;7.10079e-03;4.10745e-02
4.70000e+06;4.43984e-02;7.30308e-03;4.37937e-02
4.80000e+06;4.71331e-02;7.53616e-03;4.65267e-02
4.90000e+06;4.98949e-02;7.80626e-03;4.92804e-02
5.00000e+06;5.26915e-02;8.12118e-03;5.20619e-02
5.10000e+06;5.55315e-02;8.49067e-03;5.48786e-02
5.20000e+06;5.84245e-02;8.92707e-03;5.77385e-02
5.30000e+06;6.13807e-02;9.44601e-03;6.06495e-02
5.40000e+06;6.44114e-02;1.00675e-02;6.36197e-02
5.50000e+06;6.75283e-02;1.08174e-02;6.66563e-02
5.60000e+06;7.07436e-02;1.17289e-02;6.97646e-02
5.70000e+06;7.40683e-02;1.28450e-02;7.29460e-02
5.80000e+06;7.75102e-02;1.42213e-02;7.61944e-02
5.90000e+06;8.10708e-02;1.59284e-02;7.94906e-02
6.00000e+06;8.47378e-02;1.80546e-02;8.27920e-02
6.10000e+06;8.84743e-02;2.07048e-02;8.60176e-02
6.20000e+06;9.22009e-02;2.39913e-02;8.90249e-02
6.30000e+06;9.57687e-02;2.80076e-02;9.15818e-02
6.40000e+06;9.89275e-02;3.27702e-02;9.33422e-02
6.50000e+06;1.01304e-01;3.81178e-02;9.38586e-02
6.60000e+06;1.02425e-01;4.35903e-02;9.26869e-02
6.70000e+06;1.01855e-01;4.83876e-02;8.96274e-02
6.80000e+06;9.94290e-02;5.15670e-02;8.50116e-02
6.90000e+06;9.54787e-02;5.24927e-02;7.97540e-02
7.00000e+06;9.07985e-02;5.12045e-02;7.49832e-02
7.10000e+06;8.63236e-02;4.83449e-02;7.15160e-02
7.20000e+06;8.27634e-02;4.47500e-02;6.96220e-02
7.30000e+06;8.04392e-02;4.10977e-02;6.91479e-02
7.40000e+06;7.93394e-02;3.77959e-02;6.97582e-02
7.50000e+06;7.92647e-02;3.50279e-02;7.11051e-02
