gen_sample,nn_train_sample,nn_train_K,combined_score,heatmap_mse,impedance_mse,occupancy_hamming,occupancy_exact
data_sample_0,sample_16653,3,5.2595534324646,5.162161827087402,0.02046884037554264,4,False
data_sample_1,sample_14871,3,4.671256065368652,4.588232517242432,0.006100608967244625,4,False
data_sample_2,sample_27658,3,4.482923984527588,4.434368133544922,0.01009431667625904,2,False
data_sample_3,sample_29383,3,4.922430515289307,4.795527458190918,0.04998026415705681,4,False
data_sample_4,sample_13620,3,4.501964569091797,4.417604446411133,0.007437041494995356,4,False
data_sample_5,sample_23050,3,5.282051086425781,5.184947490692139,0.02018083818256855,4,False
data_sample_6,sample_18846,3,6.041628360748291,5.9740800857543945,0.029086818918585777,2,False
data_sample_7,sample_7692,3,4.941666126251221,4.850254535675049,0.01448884792625904,4,False
data_sample_8,sample_1816,3,4.477930068969727,4.426345348358154,0.013123218901455402,2,False
data_sample_9,sample_26392,3,4.652571201324463,4.568274021148682,0.007374288514256477,4,False
data_sample_10,sample_24780,3,5.814993858337402,5.691274166107178,0.046796657145023346,4,False
data_sample_11,sample_13837,3,4.542034149169922,4.500023365020752,0.003549022600054741,2,False
data_sample_12,sample_9880,3,4.804689884185791,4.762894630432129,0.0033335499465465546,2,False
data_sample_13,sample_25648,3,4.9904465675354,4.940243721008301,0.011741076596081257,2,False
data_sample_14,sample_12637,3,5.383903503417969,5.336159706115723,0.009282100014388561,2,False
data_sample_15,sample_29001,3,4.787147521972656,4.746286392211914,0.002399659249931574,2,False
data_sample_16,sample_4355,3,4.849381923675537,4.798480987548828,0.012439018115401268,2,False
data_sample_17,sample_18519,3,5.028050899505615,4.926202297210693,0.02492585964500904,4,False
data_sample_18,sample_8580,3,5.859027862548828,5.7217183113098145,0.02192496508359909,6,False
data_sample_19,sample_23443,3,4.851910591125488,4.801599025726318,0.011849936097860336,2,False
data_sample_20,sample_13152,3,4.7197089195251465,4.647507190704346,0.03374015539884567,2,False
data_sample_21,sample_25544,3,4.971436500549316,4.880371570587158,0.014141924679279327,4,False
data_sample_22,sample_6501,3,5.229331016540527,5.117403507232666,0.03500485047698021,4,False
