epoch,beta,hm_mu_mean,hm_sigma_mean,occ_mu_mean,occ_sigma_mean,imp_mu_mean,imp_sigma_mean,fused_mu_mean,fused_mu_std,fused_sigma_mean,fused_mu_min,fused_mu_max,kl_gaussian,val_recon,val_total
1,0.000000,0.0190,0.9882,0.0111,0.9993,0.0632,0.9923,0.0321,0.1936,0.4597,-0.3967,0.5738,0.4673,4.8964,15.6161
25,0.110000,-0.2036,0.4401,-0.0546,0.9422,0.0820,0.5408,-0.0176,0.5620,0.7593,-1.3976,1.7232,1.5251,8.6212,10.3547
50,0.110000,-0.1471,0.4244,-0.1110,0.8941,0.0686,0.5259,-0.0235,0.4757,0.8667,-1.1919,1.6006,1.6075,6.8025,7.8795
75,0.110000,-0.1019,0.4447,-0.0963,0.8891,0.0827,0.5172,-0.0244,0.4550,0.9349,-1.1713,1.5142,1.6657,5.8536,7.9140
100,0.110000,-0.0853,0.4659,-0.0789,0.8829,0.1132,0.5165,-0.0151,0.3948,0.9816,-0.9920,1.3072,1.6588,5.2984,6.0415
125,0.110000,-0.0503,0.4596,-0.0795,0.8826,0.0994,0.5176,-0.0256,0.4150,1.0371,-1.0349,1.3406,1.7348,4.9589,6.7051
150,0.110000,-0.0547,0.4813,-0.0580,0.8859,0.1355,0.5165,-0.0290,0.3799,1.0751,-0.8665,1.1416,1.7436,4.6671,5.7113
175,0.110000,-0.0420,0.4898,-0.0477,0.8718,0.1169,0.5188,-0.0338,0.3499,1.0908,-0.8225,1.0035,1.7376,4.4562,5.3777
200,0.110000,-0.0266,0.4931,-0.0404,0.8534,0.1418,0.5158,-0.0322,0.3134,1.1277,-0.7601,0.8872,1.7749,4.1957,5.4397
225,0.110000,-0.0105,0.5035,-0.0458,0.8431,0.1695,0.5234,-0.0134,0.3332,1.1479,-0.7229,0.9240,1.7875,4.0137,5.4027
250,0.110000,0.0041,0.5009,-0.0251,0.8251,0.1539,0.5223,-0.0267,0.3240,1.1661,-0.7317,0.8814,1.8107,3.8857,4.7658
275,0.110000,0.0170,0.5269,-0.0119,0.8116,0.1558,0.5256,-0.0179,0.2922,1.1634,-0.6195,0.7598,1.7844,3.7068,5.4241
300,0.110000,0.0211,0.5172,-0.0045,0.7927,0.1698,0.5272,-0.0020,0.3031,1.1811,-0.6849,0.7605,1.8147,3.6341,5.3492
325,0.110000,0.0226,0.5277,-0.0016,0.7781,0.1651,0.5279,-0.0034,0.2655,1.1916,-0.5495,0.6603,1.8147,3.4422,4.1543
350,0.110000,0.0487,0.5384,-0.0015,0.7688,0.1855,0.5365,0.0216,0.2743,1.1883,-0.6925,0.7518,1.7934,3.4302,4.1025
375,0.110000,0.0314,0.5469,-0.0229,0.7514,0.1816,0.5361,0.0073,0.2628,1.1978,-0.5667,0.6785,1.8027,3.3170,3.9173
400,0.110000,0.0388,0.5440,-0.0414,0.7389,0.1727,0.5309,-0.0101,0.2579,1.2035,-0.6007,0.6244,1.8243,3.1394,4.3848
425,0.110000,0.0284,0.5424,-0.0292,0.7275,0.1848,0.5354,-0.0026,0.2640,1.2121,-0.5835,0.6193,1.8322,3.0931,4.3192
450,0.110000,0.0549,0.5489,-0.0495,0.7181,0.2011,0.5382,0.0106,0.2587,1.2209,-0.6112,0.7261,1.8472,2.9824,3.9915
475,0.110000,0.0577,0.5485,-0.0442,0.7169,0.1999,0.5293,0.0091,0.2585,1.2360,-0.5911,0.6045,1.8841,2.9325,3.9649
500,0.110000,0.0374,0.5474,-0.0387,0.7130,0.2082,0.5273,-0.0008,0.2381,1.2388,-0.6452,0.6223,1.8909,2.8210,3.7106
525,0.110000,-0.2703,0.5573,0.1236,0.6856,0.0949,0.5392,0.0172,0.2436,1.2643,-0.6360,0.6458,1.9056,2.6894,3.5847
550,0.110000,-0.2810,0.5499,0.1012,0.6765,0.0741,0.5413,-0.0081,0.2793,1.2780,-0.5671,0.6797,1.9394,2.7637,3.5839
575,0.110000,-0.2779,0.5491,0.1494,0.6780,0.0972,0.5409,0.0256,0.2462,1.2976,-0.6225,0.5783,1.9571,2.5384,3.1850
600,0.110000,-0.2942,0.5614,0.1450,0.6759,0.1222,0.5380,0.0314,0.2264,1.2848,-0.6527,0.5229,1.9396,2.4746,3.2786
